segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
FBV1_0001,EmberDispatch Wildfire Crew Rotation,"The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.",BACKGROUND,BACKGROUND,EmberDispatch; fuel break map; strike team board,source context,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact+entity_jaccard_lt_0.5
FBV1_0002,EmberDispatch Wildfire Crew Rotation,"The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",METHOD,METHOD,EmberDispatch; fatigue log; strike team board,,0.000000,ACTIVE,ACTIVE,maps_to,maps_to,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0003,EmberDispatch Wildfire Crew Rotation,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,NEXT_STEP,NEXT_STEP,EmberDispatch; engine crew roster; fuel break map,air tanker slot; desk decision; fuel break map,0.200000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0004,EmberDispatch Wildfire Crew Rotation,"The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.",LIMITATION,LIMITATION,EmberDispatch; fuel break map; strike team board,,0.000000,LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0005,EmberDispatch Wildfire Crew Rotation,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,RESULT,air tanker slot; EmberDispatch; engine crew roster,human review,0.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0006,EmberDispatch Wildfire Crew Rotation,"In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.",DEFINE,DEFINE,air tanker slot; EmberDispatch; strike team board,,0.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0007,EmberDispatch Wildfire Crew Rotation,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,RESULT,air tanker slot; EmberDispatch; strike team board,human review,0.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0008,EmberDispatch Wildfire Crew Rotation,"For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.",EXAMPLE,EXAMPLE,EmberDispatch; fatigue log; fuel break map,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0009,EmberDispatch Wildfire Crew Rotation,"The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.",DEFINE,DEFINE,EmberDispatch; fatigue log; fuel break map,,0.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0010,EmberDispatch Wildfire Crew Rotation,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,NEXT_STEP,NEXT_STEP,EmberDispatch; fatigue log; fuel break map,,0.000000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0011,EmberDispatch Wildfire Crew Rotation,One routine case has strike team board showing a normal queue while engine crew roster carries a late change from the field. The desk uses that case to demonstrate why air tanker slot is checked before closure.,EXAMPLE,EXAMPLE,air tanker slot; EmberDispatch; fatigue log,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0012,EmberDispatch Wildfire Crew Rotation,"EmberDispatch Wildfire Crew Rotation is a field-office packet used during ordinary handoffs, not an audit of software or policy. The packet brings together the strike team board, fuel break map, and engine crew roster so a supervisor can see where the next routing choice begins.",BACKGROUND,BACKGROUND,EmberDispatch; fatigue log; strike team board,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,answer+entity_exact+entity_jaccard_lt_0.5
FBV1_0013,EmberDispatch Wildfire Crew Rotation,"The EmberDispatch desk is not sufficient when air tanker slot is missing from the handoff, even if strike team board looks complete. A coordinator still needs the missing evidence before the route can be trusted.",CLAIM,CLAIM,EmberDispatch; fuel break map; strike team board,,0.000000,NEGATED,NEGATED,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0014,EmberDispatch Wildfire Crew Rotation,The routing decision is more reliable when strike team board and fuel break map are reviewed together instead of in separate calls. That pairing keeps engine crew roster from being treated as a side note after the main choice is already made.,CLAIM,CLAIM,air tanker slot; EmberDispatch; fuel break map,,0.000000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0015,EmberDispatch Wildfire Crew Rotation,The EmberDispatch record cannot settle disputes when fuel break map and air tanker slot describe different versions of the same event. Human review is still required before engine crew roster is treated as final.,LIMITATION,LIMITATION,air tanker slot; EmberDispatch; fuel break map,human review,0.000000,NEGATED,NEGATED,limits,limits,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0016,EmberDispatch Wildfire Crew Rotation,"The coordinator should require the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",METHOD,METHOD,EmberDispatch; fatigue log; fuel break map,,0.000000,ACTIVE,ACTIVE,requires,maps_to,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0017,TrackWindow Rail Possession Planning,"The TrackWindow desk is not sufficient when ballast train is missing from the handoff, even if possession calendar looks complete. A coordinator still needs the missing evidence before the route can be trusted.",CLAIM,CLAIM,ballast train; control room; TrackWindow,,0.000000,NEGATED,NEGATED,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0018,TrackWindow Rail Possession Planning,"During the trial week, teams found that pairing possession calendar with ballast train reduced repeated phone calls at the desk. The review also showed that night crew was the field most often used for retrieval.",RESULT,RESULT,possession calendar; signal isolation plan; TrackWindow,retrieval,0.000000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,supports_retrieval,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0019,TrackWindow Rail Possession Planning,"Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.",METHOD,METHOD,control room; night crew; TrackWindow,,0.000000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0020,TrackWindow Rail Possession Planning,The routing decision is more reliable when possession calendar and signal isolation plan are reviewed together instead of in separate calls. That pairing keeps night crew from being treated as a side note after the main choice is already made.,CLAIM,CLAIM,possession calendar; signal isolation plan; TrackWindow,,0.000000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0021,TrackWindow Rail Possession Planning,"Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.",METHOD,METHOD,night crew; possession calendar; TrackWindow,,0.000000,ACTIVE,ACTIVE,maps_to,recommends,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0022,TrackWindow Rail Possession Planning,The next review should compare possession calendar entries with actual outcomes from control room. That test would show whether TrackWindow is routing hard cases earlier or merely documenting them later.,NEXT_STEP,NEXT_STEP,night crew; possession calendar; TrackWindow,controls,0.000000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0023,TrackWindow Rail Possession Planning,"The term ballast train refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole TrackWindow file because it only covers the visible queue state.",DEFINE,DEFINE,ballast train; control room; TrackWindow,,0.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0024,TrackWindow Rail Possession Planning,"The possession calendar can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when control room is already working from a printed copy.",LIMITATION,LIMITATION,control room; possession calendar; TrackWindow,controls,0.000000,LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0025,TrackWindow Rail Possession Planning,A sample of completed handoffs showed that TrackWindow made the oldest unresolved cases easier to find. Reviewers reported that signal isolation plan gave the clearest evidence when a route was challenged.,RESULT,RESULT,control room; signal isolation plan; TrackWindow,human review,0.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0026,TrackWindow Rail Possession Planning,The next review should compare possession calendar entries with actual outcomes from control room. That test would show whether TrackWindow is routing hard cases earlier or merely documenting them later.,NEXT_STEP,NEXT_STEP,control room; possession calendar; TrackWindow,controls,0.000000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0027,TrackWindow Rail Possession Planning,One routine case has possession calendar showing a normal queue while night crew carries a late change from the field. The desk uses that case to demonstrate why ballast train is checked before closure.,EXAMPLE,EXAMPLE,ballast train; possession calendar; TrackWindow,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0028,TrackWindow Rail Possession Planning,"TrackWindow Rail Possession Planning is a field-office packet used during ordinary handoffs, not an audit of software or policy. The packet brings together the possession calendar, signal isolation plan, and night crew so a supervisor can see where the next routing choice begins.",BACKGROUND,BACKGROUND,ballast train; control room; TrackWindow,field-office packet; night crew; possession calendar; signal isolation plan; trackwindow rail possession planning,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,answer+entity_exact+entity_jaccard_lt_0.5
FBV1_0029,TrackWindow Rail Possession Planning,One routine case has possession calendar showing a normal queue while night crew carries a late change from the field. The desk uses that case to demonstrate why ballast train is checked before closure.,EXAMPLE,EXAMPLE,ballast train; signal isolation plan; TrackWindow,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
