doc_id,title,segment_id,source_doc,source_topic,segment_index,route_question,text,segment_text,role,entities,operative_status,relation,answer_relevance,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevance,annotation_notes,gold_answer_relevant,answer_relevant,gold_entities_original,entity_canonicalisation_status
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB001,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,1,How should a permit-triage assistant route civic service requests?,"CivicAid Permit Triage is a routing layer for council service requests, separating planning questions, permit evidence, payment status, and escalation cases before a human officer reviews the file.","CivicAid Permit Triage is a routing layer for council service requests, separating planning questions, permit evidence, payment status, and escalation cases before a human officer reviews the file.",DEFINE,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",OPERATIVE,SUPPORTS,RELEVANT,DEFINE,CivicAid Permit Triage; council service requests; human officer; payment status; permit evidence; planning questions,ACTIVE,supports_retrieval,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB002,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,2,How should a permit-triage assistant route civic service requests?,"The starting problem is that residents often submit one long message containing a complaint, a permit query, and missing-document evidence in the same paragraph.","The starting problem is that residents often submit one long message containing a complaint, a permit query, and missing-document evidence in the same paragraph.",BACKGROUND,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",NON_OPERATIVE,CONTEXT,RELEVANT,BACKGROUND,complaint; missing-document evidence; permit query; residents,DESCRIPTIVE,sets_context,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB003,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,3,How should a permit-triage assistant route civic service requests?,"The first pass should classify each sentence into request type, required evidence, deadline sensitivity, and whether the user is asking for status or a new decision.","The first pass should classify each sentence into request type, required evidence, deadline sensitivity, and whether the user is asking for status or a new decision.",METHOD,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",OPERATIVE,SUPPORTS,RELEVANT,METHOD,deadline sensitivity; new decision; request type; required evidence; status,ACTIVE,supports_retrieval,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB004,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,4,How should a permit-triage assistant route civic service requests?,"The assistant must not issue planning permission, promise approval, or treat a partial screenshot as sufficient legal evidence.","The assistant must not issue planning permission, promise approval, or treat a partial screenshot as sufficient legal evidence.",LIMITATION,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",OPERATIVE,CONSTRAINS,RELEVANT,LIMITATION,approval; assistant; legal evidence; partial screenshot; planning permission,ACTIVE,limits,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB005,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,5,How should a permit-triage assistant route civic service requests?,A pilot review of fifty archived requests found that most routing errors came from missing attachments rather than from misreading the resident's intent.,A pilot review of fifty archived requests found that most routing errors came from missing attachments rather than from misreading the resident's intent.,RESULT,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",NON_OPERATIVE,RESULT_OF,RELEVANT,RESULT,archived requests; missing attachments; pilot review; resident intent; routing errors,DESCRIPTIVE,reports_usefulness,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,TB006,TB_DOC_01_civicaid_permit_triage,CivicAid Permit Triage,6,How should a permit-triage assistant route civic service requests?,"Next, build a blind annotation batch from unseen council-style messages and compare the route classifier against the current manual triage spreadsheet.","Next, build a blind annotation batch from unseen council-style messages and compare the route classifier against the current manual triage spreadsheet.",NEXT_STEP,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",OPERATIVE,NEXT_STEP,RELEVANT,NEXT_STEP,blind annotation batch; council-style messages; manual triage spreadsheet; route classifier,ACTIVE,proposes_next_test,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,TB007,TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,1,How should container-shipping exceptions be routed and audited?,"HarborFlow is a logistics exception tracker for containers that are delayed, inspected, damaged, or missing gate-out confirmation.","HarborFlow is a logistics exception tracker for containers that are delayed, inspected, damaged, or missing gate-out confirmation.",DEFINE,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",OPERATIVE,SUPPORTS,RELEVANT,DEFINE,containers; gate-out confirmation; HarborFlow; logistics exception tracker,ACTIVE,supports_retrieval,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,TB008,TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,2,How should container-shipping exceptions be routed and audited?,"The port team currently handles exceptions through email chains, which makes it difficult to distinguish a customs hold from a carrier delay.","The port team currently handles exceptions through email chains, which makes it difficult to distinguish a customs hold from a carrier delay.",BACKGROUND,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",NON_OPERATIVE,CONTEXT,RELEVANT,BACKGROUND,carrier delay; customs hold; email chains; port team,DESCRIPTIVE,sets_context,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,TB009,TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,3,How should container-shipping exceptions be routed and audited?,"Each exception should be routed by cause, accountable party, last verified timestamp, and financial exposure before the operations lead sees it.","Each exception should be routed by cause, accountable party, last verified timestamp, and financial exposure before the operations lead sees it.",METHOD,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",OPERATIVE,SUPPORTS,RELEVANT,METHOD,accountable party; cause; exception; financial exposure; last verified timestamp; operations lead,ACTIVE,supports_retrieval,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,TB010,TB_DOC_02_harborflow_container_exceptions,HarborFlow Container Exceptions,4,How should container-shipping exceptions be routed and audited?,"For example, a refrigerated container with a temperature alarm and a missing inspection seal should route to both cold-chain risk and compliance review.","For example, a refrigerated container with a temperature alarm and a missing inspection seal should route to both cold-chain risk and compliance review.",EXAMPLE,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",NON_OPERATIVE,EXEMPLIFIES,RELEVANT,EXAMPLE,cold-chain risk; compliance review; inspection seal; refrigerated container; temperature alarm,DESCRIPTIVE,gives_example,RELEVANT,assistant_generated_external_blind_gold; review labels if validator expects different enum names,YES,RELEVANT,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",PROPOSED_DELIMITER_ONLY_NOT_EVALUATOR_INPUT
