segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,entity_precision,entity_recall,entity_f1,matched_pairs,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,CivicAid Permit Triage,"CivicAid Permit Triage is a routing layer for council service requests, separating planning questions, permit evidence, payment status, and escalation cases before a human officer reviews the file.",DEFINE,DEFINE,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB002,CivicAid Permit Triage,"The starting problem is that residents often submit one long message containing a complaint, a permit query, and missing-document evidence in the same paragraph.",BACKGROUND,BACKGROUND,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB003,CivicAid Permit Triage,"The first pass should classify each sentence into request type, required evidence, deadline sensitivity, and whether the user is asking for status or a new decision.",METHOD,METHOD,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB004,CivicAid Permit Triage,"The assistant must not issue planning permission, promise approval, or treat a partial screenshot as sufficient legal evidence.",LIMITATION,LIMITATION,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,limits,limits,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB005,CivicAid Permit Triage,A pilot review of fifty archived requests found that most routing errors came from missing attachments rather than from misreading the resident's intent.,RESULT,RESULT,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB006,CivicAid Permit Triage,"Next, build a blind annotation batch from unseen council-style messages and compare the route classifier against the current manual triage spreadsheet.",NEXT_STEP,NEXT_STEP,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB007,HarborFlow Container Exceptions,"HarborFlow is a logistics exception tracker for containers that are delayed, inspected, damaged, or missing gate-out confirmation.",DEFINE,DEFINE,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB008,HarborFlow Container Exceptions,"The port team currently handles exceptions through email chains, which makes it difficult to distinguish a customs hold from a carrier delay.",BACKGROUND,BACKGROUND,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB009,HarborFlow Container Exceptions,"Each exception should be routed by cause, accountable party, last verified timestamp, and financial exposure before the operations lead sees it.",METHOD,METHOD,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB010,HarborFlow Container Exceptions,"For example, a refrigerated container with a temperature alarm and a missing inspection seal should route to both cold-chain risk and compliance review.",EXAMPLE,EXAMPLE,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB011,HarborFlow Container Exceptions,The system should not infer cargo value from commodity notes unless the value is present in a verified shipment record.,LIMITATION,LIMITATION,"[""cargo value"", ""commodity notes"", ""verified shipment record""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,limits,limits,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB012,HarborFlow Container Exceptions,Add a rule that flags any exception whose dwell time passes forty-eight hours without a confirmed owner.,NEXT_STEP,NEXT_STEP,"[""exception"", ""dwell time"", ""forty-eight hours"", ""confirmed owner""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB013,ClinicPulse Backlog Monitor,"ClinicPulse is a backlog monitor that groups appointment delays by pathway, urgency, clinician dependency, and patient-contact status.",DEFINE,DEFINE,"[""ClinicPulse"", ""backlog monitor"", ""appointment delays"", ""pathway"", ""urgency"", ""clinician dependency"", ""patient-contact status""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB014,ClinicPulse Backlog Monitor,The clinic manager needs a clearer difference between patients waiting for clinical review and patients waiting only for administrative booking.,BACKGROUND,BACKGROUND,"[""clinic manager"", ""clinical review"", ""administrative booking"", ""patients""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB015,ClinicPulse Backlog Monitor,"The route map should extract pathway name, current wait age, blocker type, and the next responsible role from every backlog note.",METHOD,METHOD,"[""route map"", ""pathway name"", ""current wait age"", ""blocker type"", ""responsible role"", ""backlog note""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB016,ClinicPulse Backlog Monitor,"Change the existing urgent flag so that it depends on clinical risk wording, not merely the number of days since referral.",METHOD,METHOD,"[""urgent flag"", ""clinical risk wording"", ""days since referral""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,maps_to,maps_to,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB017,ClinicPulse Backlog Monitor,The first sample showed that administrative blockers were over-counted because two booking teams used different names for the same queue.,RESULT,RESULT,"[""administrative blockers"", ""booking teams"", ""queue"", ""sample""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB018,ClinicPulse Backlog Monitor,Do not expose patient identifiers in the model prompt; use synthetic IDs and keep the re-identification key outside the evaluation folder.,LIMITATION,LIMITATION,"[""patient identifiers"", ""model prompt"", ""synthetic IDs"", ""re-identification key"", ""evaluation folder""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,limits,limits,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB019,GridLens Battery Maintenance,"GridLens is a maintenance-routing tool for battery storage sites, focused on inverter faults, thermal alerts, state-of-charge anomalies, and technician dispatch.",DEFINE,DEFINE,"[""GridLens"", ""battery storage sites"", ""inverter faults"", ""thermal alerts"", ""state-of-charge anomalies"", ""technician dispatch""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB020,GridLens Battery Maintenance,"The maintenance team receives telemetry summaries and engineer notes in separate systems, so repeated faults are often missed.",BACKGROUND,BACKGROUND,"[""maintenance team"", ""telemetry summaries"", ""engineer notes"", ""repeated faults""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB021,GridLens Battery Maintenance,"Normalize every note into asset, symptom, severity, recurrence count, safety implication, and recommended intervention.",METHOD,METHOD,"[""asset"", ""symptom"", ""severity"", ""recurrence count"", ""safety implication"", ""recommended intervention""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB022,GridLens Battery Maintenance,"If the alert is caused by a planned firmware test, route it as scheduled work rather than as an operational incident.",LIMITATION,LIMITATION,"[""alert"", ""planned firmware test"", ""scheduled work"", ""operational incident""]","[""route""]",0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,limits,limits,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB023,GridLens Battery Maintenance,"In the dry run, the model correctly grouped inverter trips but confused balancing events with thermal warnings.",RESULT,RESULT,"[""dry run"", ""model"", ""inverter trips"", ""balancing events"", ""thermal warnings""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB024,GridLens Battery Maintenance,Create a small blind set from new engineer notes before changing the production alert rules.,NEXT_STEP,NEXT_STEP,"[""blind set"", ""engineer notes"", ""production alert rules""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
