segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,entity_precision,entity_recall,entity_f1,matched_pairs,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
FBV2_0001,Blood Bank Platelet Allocation,A second pass should track platelet expiry window from intake to closure and record when trauma cooler appears. The team can then see whether blood bank platelet allocation case 1-01 predicts a route change.,NEXT_STEP,NEXT_STEP,"[""platelet expiry window"", ""trauma cooler"", ""blood bank platelet allocation case 1-01""]","[""allocation case 1-01"", ""allocation case 1-01 predicts"", ""bank platelet allocation"", ""bank platelet allocation case"", ""blood bank platelet"", ""blood bank platelet allocation"", ""case 1-01 predicts"", ""platelet allocation case""]",0.222222,0.250000,0.666667,0.363636,"[{""gold"": ""blood bank platelet allocation case 1-01"", ""pred"": ""blood bank platelet allocation"", ""score"": 0.9245578050613403}, {""gold"": ""platelet expiry window"", ""pred"": ""blood bank platelet"", ""score"": 0.5136239528656006}]",ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0002,Blood Bank Platelet Allocation,A sample handoff begins with crossmatch tray in place and donor batch record missing from the packet. blood bank platelet allocation case 1-02 gives the reviewer the reason for keeping the file open.,EXAMPLE,EXAMPLE,"[""crossmatch tray"", ""donor batch record"", ""blood bank platelet allocation case 1-02""]","[""allocation case 1-02"", ""allocation case 1-02 gives"", ""bank platelet allocation"", ""bank platelet allocation case"", ""batch record missing"", ""blood bank platelet"", ""blood bank platelet allocation"", ""case 1-02 gives""]",0.222222,0.250000,0.666667,0.363636,"[{""gold"": ""blood bank platelet allocation case 1-02"", ""pred"": ""blood bank platelet allocation"", ""score"": 0.9198813438415527}, {""gold"": ""donor batch record"", ""pred"": ""batch record missing"", ""score"": 0.5572950839996338}]",DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0003,Blood Bank Platelet Allocation,"Sort oncology ward request by time, attach night courier sheet, and send blood bank platelet allocation case 1-03 to the lane with the matching staff owner. Leave disputed entries open.",METHOD,RESULT,"[""oncology ward request"", ""night courier sheet"", ""blood bank platelet allocation case 1-03""]","[""Leave disputed entries"", ""Leave disputed entries open"", ""matching staff owner Leave"", ""owner Leave disputed"", ""owner Leave disputed entries"", ""Sort oncology ward"", ""Sort oncology ward request"", ""staff owner Leave""]",0.100000,0.125000,0.333333,0.181818,"[{""gold"": ""oncology ward request"", ""pred"": ""Sort oncology ward"", ""score"": 0.8000848293304443}]",ACTIVE,DESCRIPTIVE,recommends,reports_usefulness,YES,YES,role+status+relation+entity_exact+entity_jaccard_lt_0.5
FBV2_0004,Blood Bank Platelet Allocation,"On this desk, trauma cooler is the shared reference the team checks before any reassignment. It links blood fridge log with blood bank platelet allocation case 1-04 so the same object is visible to everyone.",DEFINE,LIMITATION,"[""trauma cooler"", ""blood fridge log"", ""blood bank platelet allocation case 1-04""]","[""allocation case 1-04"", ""bank platelet allocation"", ""bank platelet allocation case"", ""blood bank platelet"", ""blood bank platelet allocation"", ""blood fridge log"", ""desk trauma cooler"", ""links blood fridge""]",0.375000,0.375000,1.000000,0.545455,"[{""gold"": ""blood fridge log"", ""pred"": ""blood fridge log"", ""score"": 1.0}, {""gold"": ""blood bank platelet allocation case 1-04"", ""pred"": ""blood bank platelet allocation"", ""score"": 0.9319548606872559}, {""gold"": ""trauma cooler"", ""pred"": ""desk trauma cooler"", ""score"": 0.8288776278495789}]",DESCRIPTIVE,LIMITED,defines,warns_about,YES,YES,role+status+relation+entity_exact+entity_jaccard_lt_0.5
FBV2_0005,Blood Bank Platelet Allocation,donor batch record sits beside compatibility hold at the opening desk while blood bank platelet allocation case 1-05 waits for review. Staff read the packet to understand the day before any routing choice moves.,BACKGROUND,BACKGROUND,"[""donor batch record"", ""compatibility hold"", ""blood bank platelet allocation case 1-05""]","[""review Staff read"", ""allocation case 1-05"", ""allocation case 1-05 waits"", ""any routing choice"", ""any routing choice moves"", ""bank platelet allocation"", ""bank platelet allocation case"", ""batch record sits""]",0.222222,0.250000,0.666667,0.363636,"[{""gold"": ""blood bank platelet allocation case 1-05"", ""pred"": ""bank platelet allocation case"", ""score"": 0.8843187689781189}, {""gold"": ""donor batch record"", ""pred"": ""batch record sits"", ""score"": 0.571027398109436}]",DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact+entity_jaccard_lt_0.5
FBV2_0006,Blood Bank Platelet Allocation,A coordinator should treat night courier sheet with care when platelet expiry window has no matching timestamp. blood bank platelet allocation case 1-06 remains open until the file catches up.,LIMITATION,LIMITATION,"[""night courier sheet"", ""platelet expiry window"", ""blood bank platelet allocation case 1-06""]","[""1-06 remains open"", ""1-06 remains open until"", ""allocation case 1-06"", ""allocation case 1-06 remains"", ""bank platelet allocation"", ""bank platelet allocation case"", ""blood bank platelet"", ""blood bank platelet allocation""]",0.222222,0.250000,0.666667,0.363636,"[{""gold"": ""blood bank platelet allocation case 1-06"", ""pred"": ""blood bank platelet allocation"", ""score"": 0.9135308861732483}, {""gold"": ""platelet expiry window"", ""pred"": ""blood bank platelet"", ""score"": 0.5136239528656006}]",LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0007,Blood Bank Platelet Allocation,A desk sample showed blood fridge log reducing search time when crossmatch tray was also attached. blood bank platelet allocation case 1-07 was the field most often opened during review.,RESULT,RESULT,"[""blood fridge log"", ""crossmatch tray"", ""blood bank platelet allocation case 1-07""]","[""allocation case 1-07"", ""allocation case 1-07 was"", ""also attached blood"", ""also attached blood bank"", ""attached blood bank"", ""attached blood bank platelet"", ""bank platelet allocation"", ""bank platelet allocation case""]",0.100000,0.125000,0.333333,0.181818,"[{""gold"": ""blood bank platelet allocation case 1-07"", ""pred"": ""bank platelet allocation case"", ""score"": 0.8886396288871765}]",DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV2_0008,Blood Bank Platelet Allocation,The safer choice comes from reading compatibility hold beside oncology ward request. Treating blood bank platelet allocation case 1-08 alone as decisive makes the handoff weaker.,CLAIM,CLAIM,"[""compatibility hold"", ""oncology ward request"", ""blood bank platelet allocation case 1-08""]","[""compatibility hold"", ""oncology ward request"", ""blood bank"", ""platelet allocation case 1-08""]",0.750000,0.750000,1.000000,0.857143,"[{""gold"": ""compatibility hold"", ""pred"": ""compatibility hold"", ""score"": 1.0}, {""gold"": ""oncology ward request"", ""pred"": ""oncology ward request"", ""score"": 1.0}, {""gold"": ""blood bank platelet allocation case 1-08"", ""pred"": ""platelet allocation case 1-08"", ""score"": 0.8459218740463257}]",NEGATED,ACTIVE,asserts,asserts,YES,YES,status+entity_exact
FBV2_0009,Blood Bank Platelet Allocation,"One Tuesday file carries platelet expiry window, trauma cooler, and a late note about blood bank platelet allocation case 1-09. The desk uses that mix to show how a small mismatch changes routing.",EXAMPLE,EXAMPLE,"[""platelet expiry window"", ""trauma cooler"", ""blood bank platelet allocation case 1-09""]","[""One Tuesday file"", ""One Tuesday file carries"", ""Tuesday file carries"", ""Tuesday file carries platelet"", ""about blood bank"", ""about blood bank platelet"", ""allocation case 1-09"", ""bank platelet allocation""]",0.100000,0.125000,0.333333,0.181818,"[{""gold"": ""blood bank platelet allocation case 1-09"", ""pred"": ""about blood bank platelet"", ""score"": 0.8519082069396973}]",DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0010,Blood Bank Platelet Allocation,"First compare crossmatch tray with donor batch record, then place blood bank platelet allocation case 1-10 in the matching queue. If the two records disagree, hold the case for desk review.",METHOD,METHOD,"[""crossmatch tray"", ""donor batch record"", ""blood bank platelet allocation case 1-10""]","[""First compare crossmatch"", ""First compare crossmatch tray"", ""allocation case 1-10"", ""bank platelet allocation"", ""bank platelet allocation case"", ""blood bank platelet"", ""blood bank platelet allocation"", ""compare crossmatch tray""]",0.222222,0.250000,0.666667,0.363636,"[{""gold"": ""blood bank platelet allocation case 1-10"", ""pred"": ""blood bank platelet allocation"", ""score"": 0.9372384548187256}, {""gold"": ""crossmatch tray"", ""pred"": ""First compare crossmatch tray"", ""score"": 0.9075309634208679}]",ACTIVE,ACTIVE,requires,recommends,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
