gold,pred,count
BACKGROUND,BACKGROUND,4
BACKGROUND,CLAIM,1
BACKGROUND,DEFINE,0
BACKGROUND,METHOD,0
BACKGROUND,RESULT,2
BACKGROUND,LIMITATION,4
BACKGROUND,NEXT_STEP,0
BACKGROUND,EXAMPLE,1
CLAIM,BACKGROUND,0
CLAIM,CLAIM,0
CLAIM,DEFINE,0
CLAIM,METHOD,0
CLAIM,RESULT,0
CLAIM,LIMITATION,0
CLAIM,NEXT_STEP,0
CLAIM,EXAMPLE,0
DEFINE,BACKGROUND,7
DEFINE,CLAIM,0
DEFINE,DEFINE,1
DEFINE,METHOD,2
DEFINE,RESULT,0
DEFINE,LIMITATION,1
DEFINE,NEXT_STEP,0
DEFINE,EXAMPLE,1
METHOD,BACKGROUND,8
METHOD,CLAIM,1
METHOD,DEFINE,0
METHOD,METHOD,3
METHOD,RESULT,1
METHOD,LIMITATION,1
METHOD,NEXT_STEP,0
METHOD,EXAMPLE,1
RESULT,BACKGROUND,1
RESULT,CLAIM,3
RESULT,DEFINE,0
RESULT,METHOD,0
RESULT,RESULT,0
RESULT,LIMITATION,4
RESULT,NEXT_STEP,0
RESULT,EXAMPLE,0
LIMITATION,BACKGROUND,3
LIMITATION,CLAIM,5
LIMITATION,DEFINE,0
LIMITATION,METHOD,1
LIMITATION,RESULT,0
LIMITATION,LIMITATION,1
LIMITATION,NEXT_STEP,2
LIMITATION,EXAMPLE,0
NEXT_STEP,BACKGROUND,3
NEXT_STEP,CLAIM,3
NEXT_STEP,DEFINE,1
NEXT_STEP,METHOD,0
NEXT_STEP,RESULT,1
NEXT_STEP,LIMITATION,1
NEXT_STEP,NEXT_STEP,0
NEXT_STEP,EXAMPLE,0
EXAMPLE,BACKGROUND,3
EXAMPLE,CLAIM,0
EXAMPLE,DEFINE,0
EXAMPLE,METHOD,0
EXAMPLE,RESULT,0
EXAMPLE,LIMITATION,1
EXAMPLE,NEXT_STEP,0
EXAMPLE,EXAMPLE,0
