segment_id,title,segment_index,sample_role,gold_role,notes,text
DOC0001_S0001,01_nist_ai_rmf_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# NIST AI Risk Management Framework — Route Notes
DOC0001_S0002,01_nist_ai_rmf_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://www.nist.gov/itl/ai-risk-management-framework - PDF URL: https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0001_S0004,01_nist_ai_rmf_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE AI risk management is the structured process of identifying, measuring, prioritising, and responding to potential harms that may arise from AI design, development, deployment, or use."
DOC0002_S0001,02_ncsc_secure_ai_development_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# NCSC Secure AI System Development — Route Notes
DOC0002_S0002,02_ncsc_secure_ai_development_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development - PDF URL: https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0002_S0007,02_ncsc_secure_ai_development_route_notes.md,6,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,"### EXAMPLE Secure operation includes logging, monitoring, update management, incident response planning, and information sharing after deployment."
DOC0002_S0009,02_ncsc_secure_ai_development_route_notes.md,8,CLAIM,NEXT_STEP,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,"### NEXT_STEP RouteMap should test whether scattered passages about design, deployment, and maintenance are linked as a single lifecycle chain."
DOC0003_S0001,03_owasp_llm_top10_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# OWASP Top 10 for LLM Applications — Route Notes
DOC0003_S0002,03_owasp_llm_top10_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://owasp.org/www-project-top-10-for-large-language-model-applications/ - Alternate URL: https://genai.owasp.org/llm-top-10/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0003_S0004,03_owasp_llm_top10_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE An LLM application risk is a vulnerability pattern that can allow the model, surrounding tools, data pipeline, or agent workflow to behave insecurely or expose sensitive information."
DOC0003_S0007,03_owasp_llm_top10_route_notes.md,6,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,### EXAMPLE Prompt injection should be annotated as a threat route where untrusted input modifies the model's intended instruction path.
DOC0004_S0001,04_ico_ai_data_protection_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# ICO AI and Data Protection Guidance — Route Notes
DOC0004_S0002,04_ico_ai_data_protection_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0004_S0004,04_ico_ai_data_protection_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE Personal data in AI includes information relating to an identified or identifiable person, including data used in training, testing, deployment, profiling, or explanation."
DOC0004_S0008,04_ico_ai_data_protection_route_notes.md,7,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,### EXAMPLE A model that predicts user behaviour from behavioural data may require a privacy assessment even if it does not directly reveal the training data.
DOC0005_S0001,05_google_saif_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# Google Secure AI Framework — Route Notes
DOC0005_S0002,05_google_saif_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://safety.google/intl/en_sg/safety/saif/ - Alternate URL: https://cloud.google.com/use-cases/secure-ai-framework - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0005_S0004,05_google_saif_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE A secure AI framework is a set of practices for protecting AI systems, data, models, users, and deployment environments across the lifecycle."
DOC0005_S0007,05_google_saif_route_notes.md,6,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,### EXAMPLE A data poisoning scenario should be labelled as a risk route where untrusted data enters training or retrieval and changes downstream behaviour.
DOC0005_S0009,05_google_saif_route_notes.md,8,CLAIM,NEXT_STEP,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,### NEXT_STEP RouteMap should test whether the system links security controls to the risks they mitigate.
DOC0006_S0001,06_microsoft_responsible_ai_standard_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# Microsoft Responsible AI Standard — Route Notes
DOC0006_S0002,06_microsoft_responsible_ai_standard_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://www.microsoft.com/en-us/ai/principles-and-approach - PDF URL: https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/Microsoft-Responsible-AI-Standard-General-Requirements.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0006_S0004,06_microsoft_responsible_ai_standard_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE A responsible AI standard converts broad principles into product-development requirements, governance checkpoints, and review practices."
DOC0006_S0010,06_microsoft_responsible_ai_standard_route_notes.md,9,CLAIM,NEXT_STEP,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,### NEXT_STEP RouteMap should test whether it can distinguish aspirational principle language from enforceable process language.
DOC0007_S0001,07_cisa_ai_roadmap_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://www.cisa.gov/resources-tools/resources/roadmap-ai - PDF URL: https://www.cisa.gov/sites/default/files/2025-04/ARCHIVE_20232024CISARoadmapAI508.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0007_S0003,07_cisa_ai_roadmap_route_notes.md,2,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE An AI roadmap is a strategic plan that links organisational mission, capabilities, risks, governance, and operational priorities."
DOC0007_S0009,07_cisa_ai_roadmap_route_notes.md,8,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,### EXAMPLE A passage about using AI to improve cyber operations should be treated differently from a passage warning about adversarial AI misuse.
DOC0008_S0001,08_eu_ai_act_risk_management_route_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# EU AI Act Risk Management — Route Notes
DOC0008_S0002,08_eu_ai_act_risk_management_route_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-9 - Alternate URL: https://artificialintelligenceact.eu/article/9/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0008_S0004,08_eu_ai_act_risk_management_route_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE A risk management system for high-risk AI is a continuous process for identifying, analysing, evaluating, mitigating, and reviewing risks across the system lifecycle."
DOC0008_S0008,08_eu_ai_act_risk_management_route_notes.md,7,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,### EXAMPLE A model used in a high-risk setting may require special attention to vulnerable groups and foreseeable misuse.
DOC0009_S0001,09_route_extraction_benchmark_design_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# Route Extraction Benchmark Design — Seed Document
DOC0009_S0002,09_route_extraction_benchmark_design_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: local://routemap-benchmark-design - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0009_S0009,09_route_extraction_benchmark_design_notes.md,8,CLAIM,NEXT_STEP,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,### NEXT_STEP The next benchmark version should include 100 to 300 human-labelled passages and 20 to 75 QA queries.
DOC0010_S0001,10_long_context_agent_memory_notes.md,0,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,# Long-Context Agent Memory — Seed Document
DOC0010_S0002,10_long_context_agent_memory_notes.md,1,CLAIM,BACKGROUND,Corrected metadata/title row from CLAIM to BACKGROUND,"## Source Metadata - Primary URL: local://long-context-agent-memory - Benchmark note: original RouteMap-oriented route-note document, not a copied source page."
DOC0010_S0004,10_long_context_agent_memory_notes.md,3,CLAIM,DEFINE,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,"### DEFINE Agent memory routing is the process of storing and retrieving information according to task role, entity, dependency, and state transition."
DOC0010_S0009,10_long_context_agent_memory_notes.md,8,CLAIM,NEXT_STEP,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,### NEXT_STEP A practical implementation should combine route retrieval with neural embeddings and keyword fallback.
DOC0010_S0010,10_long_context_agent_memory_notes.md,9,CLAIM,EXAMPLE,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,"### EXAMPLE A coding agent may need the route from request handler to permission check to database write, not just files containing the word permission."
DOC0001_S0008,01_nist_ai_rmf_route_notes.md,7,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,"### RESULT A RouteMap annotation should classify NIST-style material as strong METHOD and GOVERNANCE content because the framework defines roles, lifecycle steps, controls, and limitations."
DOC0001_S0009,01_nist_ai_rmf_route_notes.md,8,METHOD,NEXT_STEP,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,"### NEXT_STEP For a RouteMap benchmark, use this document to test whether the system can distinguish definitions of risk from methods for managing risk and limitations around measurement."
DOC0001_S0010,01_nist_ai_rmf_route_notes.md,9,METHOD,EXAMPLE,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,"### EXAMPLE A passage that explains mapping system context should usually be labelled METHOD, while a passage explaining why risk measurement is difficult should usually be labelled LIMITATION."
DOC0003_S0009,03_owasp_llm_top10_route_notes.md,8,METHOD,NEXT_STEP,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,"### NEXT_STEP For RouteMap, this source is useful for testing whether the extractor identifies risk definitions, mitigation methods, and concrete examples."
DOC0003_S0010,03_owasp_llm_top10_route_notes.md,9,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,"### RESULT This document should create labels across DEFINE, METHOD, CLAIM, LIMITATION, and EXAMPLE."
DOC0004_S0009,04_ico_ai_data_protection_route_notes.md,8,METHOD,NEXT_STEP,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,### NEXT_STEP RouteMap should test whether privacy definitions are separated from compliance methods and limitations about fairness or explainability.
DOC0005_S0010,05_google_saif_route_notes.md,9,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,"### RESULT This document is useful for retrieval because the relevant concepts are security roles, threat routes, lifecycle methods, and mitigations."
DOC0006_S0007,06_microsoft_responsible_ai_standard_route_notes.md,6,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,### RESULT This document should produce RouteMap labels where principle statements are CLAIMs and product-development requirements are METHODs.
DOC0006_S0009,06_microsoft_responsible_ai_standard_route_notes.md,8,METHOD,EXAMPLE,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,"### EXAMPLE A fairness review should be labelled METHOD when it describes an assessment step, but LIMITATION when it describes unresolved fairness uncertainty."
DOC0007_S0007,07_cisa_ai_roadmap_route_notes.md,6,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,"### RESULT This document is useful because it contains strategic CLAIMs, METHOD-like actions, and LIMITATION passages about adoption constraints."
DOC0007_S0008,07_cisa_ai_roadmap_route_notes.md,7,METHOD,NEXT_STEP,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,### NEXT_STEP RouteMap should test whether strategic goals can be separated from concrete methods and risk limitations.
DOC0008_S0009,08_eu_ai_act_risk_management_route_notes.md,8,METHOD,NEXT_STEP,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,"### NEXT_STEP RouteMap should test whether legal obligations, methods, and limitations are retrieved as linked but distinct passages."
DOC0008_S0010,08_eu_ai_act_risk_management_route_notes.md,9,METHOD,RESULT,Heading matched semantic role; corrected sample_role from METHOD to RESULT,"### RESULT This document is especially useful for multi-source QA because the final answer may need definition, method, and limitation passages together."
DOC0009_S0003,09_route_extraction_benchmark_design_notes.md,2,METHOD,BACKGROUND,Heading matched semantic role; corrected sample_role from METHOD to BACKGROUND,"### BACKGROUND A RouteMap benchmark needs documents that contain definitions, methods, claims, examples, limitations, results, and next steps."
DOC0009_S0010,09_route_extraction_benchmark_design_notes.md,9,METHOD,EXAMPLE,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,"### EXAMPLE A question asking for a compliance process may require a DEFINE passage, a METHOD passage, and a LIMITATION passage."
DOC0009_S0004,09_route_extraction_benchmark_design_notes.md,3,RESULT,DEFINE,Heading matched semantic role; corrected sample_role from RESULT to DEFINE,"### DEFINE A route label describes the job a passage performs in a document, such as defining a term, stating a claim, reporting a result, or identifying a limitation."
DOC0002_S0003,02_ncsc_secure_ai_development_route_notes.md,2,LIMITATION,BACKGROUND,Heading matched semantic role; corrected sample_role from LIMITATION to BACKGROUND,### BACKGROUND The NCSC guidance treats AI security as a lifecycle problem rather than a one-time deployment checklist.
DOC0005_S0005,05_google_saif_route_notes.md,4,LIMITATION,CLAIM,Heading matched semantic role; corrected sample_role from LIMITATION to CLAIM,"### CLAIM Security for AI needs to be designed into the system rather than added after deployment because model behaviour, data pipelines, and tool integrations can all create new attack surfaces."
DOC0009_S0006,09_route_extraction_benchmark_design_notes.md,5,LIMITATION,CLAIM,Heading matched semantic role; corrected sample_role from LIMITATION to CLAIM,### CLAIM Route-based retrieval should be most useful when the answer depends on structural roles rather than simple keyword overlap.
