segment_id,title,text,gold_role,pred_role,pred_role_boundary_augmented,gold_relation,pred_relation,pred_relation_boundary_augmented,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_answer_relevant,pred_answer_relevant
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,CLAIM,BACKGROUND,sets_context,asserts,sets_context,AI safety evaluation; policy context; risk management,governance; evaluation,0.000000,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,CLAIM,BACKGROUND,sets_context,asserts,sets_context,model release governance; evidence selection; human review; audit trail,human review,0.250000,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,CLAIM,BACKGROUND,sets_context,asserts,sets_context,privacy; consent boundary; RouteMap,privacy; RouteMap,0.666667,DESCRIPTIVE,ACTIVE,MAYBE,YES
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,BACKGROUND,sets_context,sets_context,sets_context,retrieval trace; route segment; RouteMap,retrieval trace; retrieval; RouteMap segment; documentation,0.166667,DESCRIPTIVE,DESCRIPTIVE,MAYBE,MAYBE
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",BACKGROUND,CLAIM,BACKGROUND,sets_context,asserts,sets_context,agent memory; benchmark; risk management; source context,benchmark; agent memory,0.500000,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,CLAIM,BACKGROUND,sets_context,asserts,sets_context,tool-use security; permission boundary; incident response,permission boundary,0.333333,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",BACKGROUND,CLAIM,RESULT,sets_context,asserts,reports_usefulness,benchmark; source context; gold labels; mismatch review,mismatch review; gold labels; benchmark; source context,1.000000,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,CLAIM,CLAIM,sets_context,asserts,asserts,evidence selection; policy context; human review,human review; retrieval; source context; RouteMap segment,0.166667,DESCRIPTIVE,ACTIVE,MAYBE,YES
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,CLAIM,METHOD,sets_context,asserts,recommends,model release governance; audit trail; human review,governance; audit,0.000000,DESCRIPTIVE,ACTIVE,NO,YES
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,BACKGROUND,LIMITATION,sets_context,sets_context,limits,incident response; source context; human review,monitoring; incident response,0.250000,DESCRIPTIVE,DESCRIPTIVE,NO,MAYBE
HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,CLAIM,CLAIM,CLAIM,asserts,asserts,asserts,AI safety evaluation; evaluation; audit trail,evaluation,0.333333,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",CLAIM,CLAIM,METHOD,asserts,asserts,recommends,model release governance; evidence selection; risk management,governance,0.000000,ACTIVE,ACTIVE,YES,YES
