setting,model,prediction_column,taxonomy,boundary_pair,accuracy,count
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,ALL,0.600000,40
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,CLAIM_vs_DEFINE,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,METHOD_vs_EXAMPLE,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,RESULT_vs_CLAIM,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,fine_8,RESULT_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,ALL,0.600000,40
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,CLAIM_vs_DEFINE,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,METHOD_vs_EXAMPLE,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,RESULT_vs_CLAIM,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_5,RESULT_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,ALL,0.600000,40
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,CLAIM_vs_DEFINE,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,METHOD_vs_EXAMPLE,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,RESULT_vs_CLAIM,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_4,RESULT_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,ALL,0.775000,40
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,CLAIM_vs_DEFINE,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,CLAIM_vs_METHOD,0.600000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,METHOD_vs_EXAMPLE,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,RESULT_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_nb,pred_A_existing_train_dev_word_unigram_nb,coarse_3,RESULT_vs_METHOD,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,ALL,0.575000,40
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,BACKGROUND_vs_CLAIM,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,CLAIM_vs_DEFINE,0.200000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,METHOD_vs_EXAMPLE,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,RESULT_vs_CLAIM,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,fine_8,RESULT_vs_METHOD,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,ALL,0.600000,40
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,CLAIM_vs_DEFINE,0.200000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,METHOD_vs_EXAMPLE,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,RESULT_vs_CLAIM,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_5,RESULT_vs_METHOD,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,ALL,0.600000,40
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,BACKGROUND_vs_CLAIM,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,CLAIM_vs_DEFINE,0.200000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,CLAIM_vs_METHOD,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,METHOD_vs_EXAMPLE,0.400000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,RESULT_vs_CLAIM,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_4,RESULT_vs_METHOD,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,ALL,0.825000,40
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,BACKGROUND_vs_CLAIM,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,BACKGROUND_vs_EXAMPLE,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,BACKGROUND_vs_RESULT,1.000000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,CLAIM_vs_DEFINE,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,CLAIM_vs_METHOD,0.600000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,METHOD_vs_EXAMPLE,0.800000,5
A_existing_train_dev,word_unigram_bigram_nb,pred_A_existing_train_dev_word_unigram_bigram_nb,coarse_3,RESULT_vs_CLAIM,0.800000,5
