segment_id,source_doc,text,gold_entities_raw,gold_entities_parsed,gold_entities_current_evaluator_parse,gold_parse_format,combined_entities_raw,combined_entities_parsed,D_entities_raw,D_entities_parsed,R6_entities_raw,R6_entities_parsed,current_combined_entity_jaccard,current_D_entity_jaccard,current_R6_entity_jaccard,combined_lowercase_trim_jaccard,D_lowercase_trim_jaccard,R6_lowercase_trim_jaccard,combined_punctuation_stripped_jaccard,D_punctuation_stripped_jaccard,R6_punctuation_stripped_jaccard,combined_alias_candidate_jaccard,D_alias_candidate_jaccard,R6_alias_candidate_jaccard,gold_only_entities,predicted_only_entities,mismatch_bucket
TB001,TB_DOC_01_civicaid_permit_triage,"CivicAid Permit Triage is a routing layer for council service requests, separating planning questions, permit evidence, payment status, and escalation cases before a human officer reviews the file.","[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",CivicAid Permit Triage; council service requests; human officer; payment status; permit evidence; planning questions,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",json_list,incident response,incident response,incident response,incident response,incident response,incident response,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,CivicAid Permit Triage; council service requests; human officer; payment status; permit evidence; planning questions,incident response,delimiter_format_mismatch
TB002,TB_DOC_01_civicaid_permit_triage,"The starting problem is that residents often submit one long message containing a complaint, a permit query, and missing-document evidence in the same paragraph.","[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",complaint; missing-document evidence; permit query; residents,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,complaint; missing-document evidence; permit query; residents,,empty_prediction_entities
TB003,TB_DOC_01_civicaid_permit_triage,"The first pass should classify each sentence into request type, required evidence, deadline sensitivity, and whether the user is asking for status or a new decision.","[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",deadline sensitivity; new decision; request type; required evidence; status,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,deadline sensitivity; new decision; request type; required evidence; status,,empty_prediction_entities
TB004,TB_DOC_01_civicaid_permit_triage,"The assistant must not issue planning permission, promise approval, or treat a partial screenshot as sufficient legal evidence.","[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",approval; assistant; legal evidence; partial screenshot; planning permission,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",json_list,permission boundary,permission boundary,permission boundary,permission boundary,permission boundary,permission boundary,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,approval; assistant; legal evidence; partial screenshot; planning permission,permission boundary,delimiter_format_mismatch
TB005,TB_DOC_01_civicaid_permit_triage,A pilot review of fifty archived requests found that most routing errors came from missing attachments rather than from misreading the resident's intent.,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",archived requests; missing attachments; pilot review; resident intent; routing errors,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,archived requests; missing attachments; pilot review; resident intent; routing errors,,empty_prediction_entities
TB006,TB_DOC_01_civicaid_permit_triage,"Next, build a blind annotation batch from unseen council-style messages and compare the route classifier against the current manual triage spreadsheet.","[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",blind annotation batch; council-style messages; manual triage spreadsheet; route classifier,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,blind annotation batch; council-style messages; manual triage spreadsheet; route classifier,,empty_prediction_entities
TB007,TB_DOC_02_harborflow_container_exceptions,"HarborFlow is a logistics exception tracker for containers that are delayed, inspected, damaged, or missing gate-out confirmation.","[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",containers; gate-out confirmation; HarborFlow; logistics exception tracker,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,containers; gate-out confirmation; HarborFlow; logistics exception tracker,,empty_prediction_entities
TB008,TB_DOC_02_harborflow_container_exceptions,"The port team currently handles exceptions through email chains, which makes it difficult to distinguish a customs hold from a carrier delay.","[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",carrier delay; customs hold; email chains; port team,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,carrier delay; customs hold; email chains; port team,,empty_prediction_entities
TB009,TB_DOC_02_harborflow_container_exceptions,"Each exception should be routed by cause, accountable party, last verified timestamp, and financial exposure before the operations lead sees it.","[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",accountable party; cause; exception; financial exposure; last verified timestamp; operations lead,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,accountable party; cause; exception; financial exposure; last verified timestamp; operations lead,,empty_prediction_entities
TB010,TB_DOC_02_harborflow_container_exceptions,"For example, a refrigerated container with a temperature alarm and a missing inspection seal should route to both cold-chain risk and compliance review.","[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",cold-chain risk; compliance review; inspection seal; refrigerated container; temperature alarm,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",json_list,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,cold-chain risk; compliance review; inspection seal; refrigerated container; temperature alarm,,empty_prediction_entities
