task_id,family,size_class,route_decidable,route_answerable,route_checkable,full_expansion_feasible,ground_truth,claimed_answer,raw_correct,route_answer,route_correct,verdict,caught_wrong,false_rejection,catchable,blind_spot,route_seconds,full_expansion_checked,full_expansion_answer,full_expansion_seconds
harb_00000,digital_root,small,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,1.2599863111972809e-05,True,1,2.700136974453926e-06
harb_00001,mod_m,small,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,4.899920895695686e-06,True,0,2.600019797682762e-06
harb_00002,last_k_digits,small,True,True,True,True,80099,80109,False,80099,True,RULED_OUT_WRONG,True,False,True,False,9.09995287656784e-06,True,80099,4.500150680541992e-06
harb_00003,divisibility,small,True,True,True,True,False,True,False,False,True,RULED_OUT_WRONG,True,False,True,False,1.4799879863858223e-05,True,False,6.09993003308773e-06
harb_00004,impossibility,small,False,False,True,True,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,3.0011869966983795e-07,True,True,3.7997961044311523e-06
harb_00005,linear_recurrence_residue,small,True,True,True,False,0,65,False,0,True,RULED_OUT_WRONG,True,False,True,False,5.6099845096468925e-05,False,,0.0
harb_00006,fibonacci_state,small,True,True,True,True,3,3,True,3,True,NOT_RULED_OUT,False,False,False,False,1.5700003132224083e-05,False,,5.00003807246685e-06
harb_00007,pascal_row_entry,small,False,False,False,True,0,0,True,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,3.0011869966983795e-07,False,,0.0
harb_00008,digital_root,large,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,4.1997991502285e-06,True,1,5.430006422102451e-05
harb_00009,mod_m,large,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,1.650000922381878e-05,True,0,1.2299977242946625e-05
harb_00010,last_k_digits,large,True,True,True,True,1,9,False,1,True,RULED_OUT_WRONG,True,False,True,False,3.600027412176132e-06,True,1,1.5700003132224083e-05
harb_00011,divisibility,large,True,True,True,True,True,False,False,True,True,RULED_OUT_WRONG,True,False,True,False,3.300141543149948e-06,True,True,9.609991684556007e-05
harb_00012,impossibility,large,False,False,True,True,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,3.0011869966983795e-07,True,True,1.6200123354792595e-05
harb_00013,linear_recurrence_residue,large,True,True,True,False,36,36,True,36,True,NOT_RULED_OUT,False,False,False,False,0.00031400006264448166,False,,0.0
harb_00014,fibonacci_state,large,True,True,True,False,10,18,False,10,True,RULED_OUT_WRONG,True,False,True,False,1.1999858543276787e-05,False,,0.0
harb_00015,pascal_row_entry,large,False,False,False,False,0,51,False,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,3.0011869966983795e-07,False,,0.0
harb_00016,digital_root,huge,True,True,True,False,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,3.7997961044311523e-06,False,,0.0
harb_00017,mod_m,huge,True,True,True,False,11,11,True,11,True,NOT_RULED_OUT,False,False,False,False,1.2699980288743973e-05,False,,0.0
harb_00018,last_k_digits,huge,True,True,True,False,0,18,False,0,True,RULED_OUT_WRONG,True,False,True,False,0.0030869999900460243,False,,0.0
harb_00019,divisibility,huge,True,True,True,False,True,True,True,True,True,NOT_RULED_OUT,False,False,False,False,0.000197600107640028,False,,0.0
harb_00020,impossibility,huge,False,False,True,False,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,2.998858690261841e-07,False,,0.0
harb_00021,linear_recurrence_residue,huge,True,True,True,False,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,0.00021609989926218987,False,,0.0
harb_00022,fibonacci_state,huge,True,True,True,False,7,7,True,7,True,NOT_RULED_OUT,False,False,False,False,5.91999851167202e-05,False,,0.0
harb_00023,pascal_row_entry,huge,False,False,False,False,0,24,False,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,2.998858690261841e-07,False,,0.0
harb_00024,digital_root,small,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,4.00003045797348e-06,True,1,3.400025889277458e-06
harb_00025,mod_m,small,True,True,True,True,0,25,False,0,True,RULED_OUT_WRONG,True,False,True,False,2.8999056667089462e-06,True,0,1.4998950064182281e-06
harb_00026,last_k_digits,small,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,5.899928510189056e-06,True,0,2.500135451555252e-06
harb_00027,divisibility,small,True,True,True,True,False,True,False,False,True,RULED_OUT_WRONG,True,False,True,False,7.300172001123428e-06,True,False,5.19980676472187e-06
harb_00028,impossibility,small,False,False,True,True,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,2.00001522898674e-07,True,True,1.009996049106121e-05
harb_00029,linear_recurrence_residue,small,True,True,True,False,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,5.159992724657059e-05,False,,0.0
harb_00030,fibonacci_state,small,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,1.8999911844730377e-05,False,,4.600035026669502e-06
harb_00031,pascal_row_entry,small,False,False,False,True,0,55,False,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,2.00001522898674e-07,False,,0.0
harb_00032,digital_root,large,True,True,True,True,1,61,False,1,True,RULED_OUT_WRONG,True,False,True,False,3.400025889277458e-06,True,1,8.179992437362671e-05
harb_00033,mod_m,large,True,True,True,True,73,132,False,73,True,RULED_OUT_WRONG,True,False,True,False,1.7799902707338333e-05,True,73,9.399838745594025e-06
harb_00034,last_k_digits,large,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,1.6600126400589943e-05,True,0,1.1399853974580765e-05
harb_00035,divisibility,large,True,True,True,True,False,False,True,False,True,NOT_RULED_OUT,False,False,False,False,3.300141543149948e-06,True,False,1.850002445280552e-05
harb_00036,impossibility,large,False,False,True,True,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,2.00001522898674e-07,True,True,0.0001191999763250351
harb_00037,linear_recurrence_residue,large,True,True,True,False,10,22,False,10,True,RULED_OUT_WRONG,True,False,True,False,8.290004916489124e-05,False,,0.0
harb_00038,fibonacci_state,large,True,True,True,False,8,76,False,8,True,RULED_OUT_WRONG,True,False,True,False,2.0200153812766075e-05,False,,0.0
harb_00039,pascal_row_entry,large,False,False,False,False,0,0,True,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,3.0011869966983795e-07,False,,0.0
harb_00040,digital_root,huge,True,True,True,False,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,5.90016134083271e-06,False,,0.0
harb_00041,mod_m,huge,True,True,True,False,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,4.00003045797348e-06,False,,0.0
harb_00042,last_k_digits,huge,True,True,True,False,0,10,False,0,True,RULED_OUT_WRONG,True,False,True,False,3.90014611184597e-06,False,,0.0
harb_00043,divisibility,huge,True,True,True,False,False,False,True,False,True,NOT_RULED_OUT,False,False,False,False,7.800012826919556e-05,False,,0.0
harb_00044,impossibility,huge,False,False,True,False,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,2.00001522898674e-07,False,,0.0
harb_00045,linear_recurrence_residue,huge,True,True,True,False,25,45,False,25,True,RULED_OUT_WRONG,True,False,True,False,0.00029690004885196686,False,,0.0
harb_00046,fibonacci_state,huge,True,True,True,False,8,62,False,8,True,RULED_OUT_WRONG,True,False,True,False,5.150004290044308e-05,False,,0.0
harb_00047,pascal_row_entry,huge,False,False,False,False,0,0,True,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,2.00001522898674e-07,False,,0.0
harb_00048,digital_root,small,True,True,True,True,9,107,False,9,True,RULED_OUT_WRONG,True,False,True,False,3.200024366378784e-06,True,9,2.700136974453926e-06
harb_00049,mod_m,small,True,True,True,True,7,48,False,7,True,RULED_OUT_WRONG,True,False,True,False,4.800036549568176e-06,True,7,1.600012183189392e-06
harb_00050,last_k_digits,small,True,True,True,True,641,641,True,641,True,NOT_RULED_OUT,False,False,False,False,3.200024366378784e-06,True,641,1.800013706088066e-06
harb_00051,divisibility,small,True,True,True,True,True,True,True,True,True,NOT_RULED_OUT,False,False,False,False,2.6999041438102722e-06,True,True,1.90013088285923e-06
harb_00052,impossibility,small,False,False,True,True,False,False,True,,False,NOT_RULED_OUT,False,False,False,False,2.00001522898674e-07,True,False,6.00004568696022e-06
harb_00053,linear_recurrence_residue,small,True,True,True,False,6,15,False,6,True,RULED_OUT_WRONG,True,False,True,False,5.519995465874672e-05,False,,0.0
