segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,entity_precision,entity_recall,entity_f1,matched_pairs,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,CivicAid Permit Triage,"CivicAid Permit Triage is a routing layer for council service requests, separating planning questions, permit evidence, payment status, and escalation cases before a human officer reviews the file.",DEFINE,EXAMPLE,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]","[""incident response""]",0.000000,0.000000,0.000000,0.000000,[],ACTIVE,DESCRIPTIVE,supports_retrieval,gives_example,YES,YES,role+status+relation+entity_exact+entity_jaccard_lt_0.5
TB002,CivicAid Permit Triage,"The starting problem is that residents often submit one long message containing a complaint, a permit query, and missing-document evidence in the same paragraph.",BACKGROUND,RESULT,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]","[""civicaid permit triage"", ""civicaid permit triage the"", ""long message containing"", ""often submit one"", ""often submit one long"", ""one long message""]",0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,reports_usefulness,YES,YES,role+relation+entity_exact+entity_jaccard_lt_0.5
TB003,CivicAid Permit Triage,"The first pass should classify each sentence into request type, required evidence, deadline sensitivity, and whether the user is asking for status or a new decision.",METHOD,METHOD,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]","[""civicaid permit"", ""civicaid permit triage"", ""civicaid permit triage the"", ""classify each sentence"", ""evidence deadline sensitivity"", ""request type required""]",0.222222,0.333333,0.400000,0.363636,"[{""gold"": ""request type"", ""pred"": ""request type required"", ""score"": 0.9110286235809326}, {""gold"": ""deadline sensitivity"", ""pred"": ""evidence deadline sensitivity"", ""score"": 0.7628426551818848}]",ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
TB004,CivicAid Permit Triage,"The assistant must not issue planning permission, promise approval, or treat a partial screenshot as sufficient legal evidence.",LIMITATION,CLAIM,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]","[""permission boundary""]",0.200000,1.000000,0.200000,0.333333,"[{""gold"": ""planning permission"", ""pred"": ""permission boundary"", ""score"": 0.598781943321228}]",ACTIVE,ACTIVE,limits,asserts,YES,YES,role+relation+entity_exact+entity_jaccard_lt_0.5
TB005,CivicAid Permit Triage,A pilot review of fifty archived requests found that most routing errors came from missing attachments rather than from misreading the resident's intent.,RESULT,RESULT,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]","[""archived request found"", ""civicaid permit triage"", ""civicaid permit triage a"", ""fifty archived request"", ""fifty archived request found"", ""most routing error""]",0.222222,0.333333,0.400000,0.363636,"[{""gold"": ""routing errors"", ""pred"": ""most routing error"", ""score"": 0.874769926071167}, {""gold"": ""archived requests"", ""pred"": ""archived request found"", ""score"": 0.841169536113739}]",DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB006,CivicAid Permit Triage,"Next, build a blind annotation batch from unseen council-style messages and compare the route classifier against the current manual triage spreadsheet.",NEXT_STEP,NEXT_STEP,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]","[""blind annotation batch"", ""civicaid permit triage"", ""civicaid permit triage next"", ""permit triage next"", ""permit triage next build"", ""triage next build""]",0.250000,0.333333,0.500000,0.400000,"[{""gold"": ""blind annotation batch"", ""pred"": ""blind annotation batch"", ""score"": 1.000000238418579}, {""gold"": ""manual triage spreadsheet"", ""pred"": ""triage next build"", ""score"": 0.5072206854820251}]",ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
TB007,HarborFlow Container Exceptions,"HarborFlow is a logistics exception tracker for containers that are delayed, inspected, damaged, or missing gate-out confirmation.",DEFINE,RESULT,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]","[""container"", ""container exception"", ""container exception harborflow"", ""delayed inspected damaged"", ""harborflow container exception"", ""harborflow container exception harborflow""]",0.250000,0.333333,0.500000,0.400000,"[{""gold"": ""containers"", ""pred"": ""container"", ""score"": 0.918444812297821}, {""gold"": ""HarborFlow"", ""pred"": ""harborflow container exception harborflow"", ""score"": 0.7145272493362427}]",ACTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,role+status+relation+entity_exact+entity_jaccard_lt_0.5
TB008,HarborFlow Container Exceptions,"The port team currently handles exceptions through email chains, which makes it difficult to distinguish a customs hold from a carrier delay.",BACKGROUND,DEFINE,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]","[""container exception"", ""currently handle exception"", ""currently handle exception through"", ""exception through email"", ""harborflow container exception"", ""harborflow container exception the""]",0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,defines,YES,YES,role+relation+entity_exact+entity_jaccard_lt_0.5
TB009,HarborFlow Container Exceptions,"Each exception should be routed by cause, accountable party, last verified timestamp, and financial exposure before the operations lead sees it.",METHOD,METHOD,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]","[""accountable party last"", ""container exception each"", ""container exception each exception"", ""exception each exception"", ""harborflow container exception"", ""harborflow container exception each""]",0.200000,0.333333,0.333333,0.333333,"[{""gold"": ""accountable party"", ""pred"": ""accountable party last"", ""score"": 0.895616352558136}, {""gold"": ""exception"", ""pred"": ""exception each exception"", ""score"": 0.8138440847396851}]",ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
TB010,HarborFlow Container Exceptions,"For example, a refrigerated container with a temperature alarm and a missing inspection seal should route to both cold-chain risk and compliance review.",EXAMPLE,CLAIM,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]","[""both cold-chain risk"", ""container exception"", ""harborflow container"", ""harborflow container exception"", ""harborflow container exception for"", ""missing inspection seal""]",0.222222,0.333333,0.400000,0.363636,"[{""gold"": ""cold-chain risk"", ""pred"": ""both cold-chain risk"", ""score"": 0.9633667469024658}, {""gold"": ""inspection seal"", ""pred"": ""missing inspection seal"", ""score"": 0.8671697378158569}]",DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,role+status+relation+entity_exact+entity_jaccard_lt_0.5
TB011,HarborFlow Container Exceptions,The system should not infer cargo value from commodity notes unless the value is present in a verified shipment record.,LIMITATION,CLAIM,"[""cargo value"", ""commodity notes"", ""verified shipment record""]","[""commodity note unles"", ""container exception"", ""harborflow container exception"", ""harborflow container exception the"", ""infer cargo value"", ""verified shipment record""]",0.500000,0.500000,1.000000,0.666667,"[{""gold"": ""verified shipment record"", ""pred"": ""verified shipment record"", ""score"": 0.9999999403953552}, {""gold"": ""cargo value"", ""pred"": ""infer cargo value"", ""score"": 0.8687366247177124}, {""gold"": ""commodity notes"", ""pred"": ""commodity note unles"", ""score"": 0.8052115440368652}]",ACTIVE,ACTIVE,limits,recommends,YES,YES,role+relation+entity_exact
