segment_id,title,text,original_gold_role,adjudicated_role,pred_role,adjudication_status,rubric_issue,adjudication_reason
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Policy overview frames source context rather than a reusable thesis.
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,NONE,Release archive describes document contents and rationale.
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,NONE,Privacy handbook gives context before annotation work.
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,NONE,Tool-use security note records vocabulary context.
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Evidence selection primer describes policy context for reviewers.
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,NONE,Governance catalog summarizes terminology and approval roles.
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,CLAIM,METHOD,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Sentence asserts a thesis about consent boundaries losing force.
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,CLAIM,LIMITATION,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Sentence asserts a reusable thesis about benchmark design weakness.
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,METHOD,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Sentence asserts the value condition for human review.
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,CLAIM,LIMITATION,ACCEPT_GOLD,LIMITATION_CLAIM_BOUNDARY,Sentence argues what an audit trail demonstrates without answer support.
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Colon form gives the identity of route provenance.
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,"Names the visible sequence, so the sentence defines retrieval trace."
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Covers gives the boundary of consent boundary.
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Denotes gives the identity of model release governance.
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Describes what agent memory routing means.
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,"Names records that reconstruct a decision, so this defines audit trail."
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Labels identifies what a control surface means.
