segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
EXPAND_S0003,CLAIM,EXAMPLE,LIMITATION,EXAMPLE,NO,NO,NO,YES,NO,YES,consent boundary; incident response; risk management,consent boundary; human review; incident response; RouteMap,consent boundary; human review; incident response; RouteMap,consent boundary; human review; incident response; RouteMap,0.400000,0.400000,0.400000,NO,NO,NO,ACTIVE,DESCRIPTIVE,NEGATED,DESCRIPTIVE,NO,NO,NO,asserts,gives_example,limits,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
EXPAND_S0004,CLAIM,DEFINE,LIMITATION,DEFINE,NO,NO,NO,YES,NO,YES,permission boundary; answer support; risk management,answer support; permission boundary; RouteMap,answer support; permission boundary; RouteMap,answer support; permission boundary; RouteMap,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,NEGATED,DESCRIPTIVE,NO,NO,NO,asserts,defines,limits,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
EXPAND_S0014,CLAIM,EXAMPLE,LIMITATION,EXAMPLE,NO,NO,NO,YES,NO,YES,incident response; risk management,incident response,incident response,incident response,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,asserts,gives_example,limits,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
EXPAND_S0028,DEFINE,BACKGROUND,DEFINE,BACKGROUND,NO,YES,NO,NO,YES,NO,model release governance; route extraction,benchmark; governance; model release governance; route extraction; RouteMap; RouteMap segment,benchmark; governance; model release governance; route extraction; RouteMap; RouteMap segment,benchmark; governance; model release governance; route extraction; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,sets_context,defines,sets_context,NO,YES,NO,YES,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; relation; answer; multiple
EXPAND_S0029,DEFINE,CLAIM,DEFINE,DEFINE,NO,YES,YES,YES,YES,YES,privacy; human review,human review; privacy,human review; privacy,human review; privacy,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,asserts,defines,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,D_strict_win,status; relation; multiple
EXPAND_S0039,DEFINE,CLAIM,DEFINE,DEFINE,NO,YES,YES,YES,YES,YES,evidence selection; incident response,evidence selection; incident response,evidence selection; incident response,evidence selection; incident response,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,asserts,defines,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,D_strict_win,status; relation; multiple
EXPAND_S0053,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,LLM application security; privacy; evaluation,benchmark; LLM application security; privacy,benchmark; LLM application security; privacy,benchmark; LLM application security; privacy,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,sets_context,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
EXPAND_S0054,RESULT,RESULT,LIMITATION,RESULT,YES,NO,YES,YES,NO,YES,AI safety evaluation; retrieval trace; evaluation,AI safety evaluation; evaluation; retrieval; retrieval trace,AI safety evaluation; evaluation; retrieval; retrieval trace,AI safety evaluation; evaluation; retrieval; retrieval trace,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,YES,NO,YES,reports_usefulness,reports_usefulness,limits,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
EXPAND_S0064,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,evaluation; route extraction,evaluation; mismatch review; route extraction; RouteMap,evaluation; mismatch review; route extraction; RouteMap,evaluation; mismatch review; route extraction; RouteMap,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,sets_context,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
EXPAND_S0078,CLAIM,NEXT_STEP,LIMITATION,NEXT_STEP,NO,NO,NO,YES,NO,YES,RouteMap segment; gold labels; risk management,gold labels; human review; RouteMap; RouteMap segment,gold labels; human review; RouteMap; RouteMap segment,gold labels; human review; RouteMap; RouteMap segment,0.400000,0.400000,0.400000,NO,NO,NO,ACTIVE,ACTIVE,NEGATED,ACTIVE,YES,NO,YES,asserts,proposes_next_test,limits,proposes_next_test,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; relation; multiple
EXPAND_S0079,CLAIM,DEFINE,LIMITATION,DEFINE,NO,NO,NO,YES,NO,YES,secure AI development; LLM application security; risk management,answer support; LLM application security; RouteMap; secure AI development,answer support; LLM application security; RouteMap; secure AI development,answer support; LLM application security; RouteMap; secure AI development,0.400000,0.400000,0.400000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,asserts,defines,limits,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
EXPAND_S0089,CLAIM,BACKGROUND,CLAIM,BACKGROUND,NO,YES,NO,NO,YES,NO,route extraction; privacy; risk management,route extraction; RouteMap,route extraction; RouteMap,route extraction; RouteMap,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,asserts,sets_context,asserts,sets_context,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
