variant,population,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB001,CivicAid Permit Triage; council service requests; planning questions; permit evidence; payment status; human officer,incident response,6,1,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB002,residents; complaint; permit query; missing-document evidence,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB003,request type; required evidence; deadline sensitivity; status; new decision,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB004,assistant; planning permission; approval; partial screenshot; legal evidence,permission boundary,5,1,1,1.000000,0.200000,0.333333,0.200000,"[{""gold"": ""planning permission"", ""pred"": ""permission boundary"", ""score"": 0.598781943321228}]"
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB005,pilot review; archived requests; routing errors; missing attachments; resident intent,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB006,blind annotation batch; council-style messages; route classifier; manual triage spreadsheet,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB007,HarborFlow; logistics exception tracker; containers; gate-out confirmation,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB008,port team; email chains; customs hold; carrier delay,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB009,exception; cause; accountable party; last verified timestamp; financial exposure; operations lead,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB010,refrigerated container; temperature alarm; inspection seal; cold-chain risk; compliance review,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB011,cargo value; commodity notes; verified shipment record,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
combined_v3,scored_rows,M4_embedding_cosine,0.5,TB012,exception; dwell time; forty-eight hours; confirmed owner,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
