doc_id,title,segment_id,source_doc,source_topic,segment_index,route_question,text,segment_text,role,entities,operative_status,relation,answer_relevance,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevance,annotation_notes,gold_answer_relevant,answer_relevant
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0001,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,1,How should a wildfire operations desk route crew rotation decisions?,"The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.","The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.",BACKGROUND,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]",DESCRIPTIVE,sets_context,PARTIAL,BACKGROUND,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]",DESCRIPTIVE,sets_context,PARTIAL,fresh_blind_v1_gold_by_construction_seed_20260622,MAYBE,PARTIAL
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0002,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,2,How should a wildfire operations desk route crew rotation decisions?,"The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.","The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",METHOD,"[""EmberDispatch"", ""fatigue log"", ""strike team board""]",ACTIVE,maps_to,RELEVANT,METHOD,"[""EmberDispatch"", ""fatigue log"", ""strike team board""]",ACTIVE,maps_to,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0003,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,3,How should a wildfire operations desk route crew rotation decisions?,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""engine crew roster""]",ACTIVE,proposes_next_test,RELEVANT,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""engine crew roster""]",ACTIVE,proposes_next_test,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0004,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,4,How should a wildfire operations desk route crew rotation decisions?,"The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.","The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.",LIMITATION,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]",LIMITED,warns_about,RELEVANT,LIMITATION,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]",LIMITED,warns_about,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0005,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,5,How should a wildfire operations desk route crew rotation decisions?,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""engine crew roster""]",DESCRIPTIVE,supports_retrieval,RELEVANT,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""engine crew roster""]",DESCRIPTIVE,supports_retrieval,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0006,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,6,How should a wildfire operations desk route crew rotation decisions?,"In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.","In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.",DEFINE,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]",DESCRIPTIVE,defines,RELEVANT,DEFINE,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]",DESCRIPTIVE,defines,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0007,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,7,How should a wildfire operations desk route crew rotation decisions?,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]",DESCRIPTIVE,supports_retrieval,RELEVANT,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]",DESCRIPTIVE,supports_retrieval,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0008,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,8,How should a wildfire operations desk route crew rotation decisions?,"For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.","For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.",EXAMPLE,"[""EmberDispatch"", ""fatigue log"", ""fuel break map""]",DESCRIPTIVE,gives_example,RELEVANT,EXAMPLE,"[""EmberDispatch"", ""fatigue log"", ""fuel break map""]",DESCRIPTIVE,gives_example,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0009,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,9,How should a wildfire operations desk route crew rotation decisions?,"The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.","The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.",DEFINE,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",DESCRIPTIVE,defines,RELEVANT,DEFINE,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",DESCRIPTIVE,defines,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0010,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,10,How should a wildfire operations desk route crew rotation decisions?,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",ACTIVE,proposes_next_test,RELEVANT,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",ACTIVE,proposes_next_test,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0011,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,11,How should a wildfire operations desk route crew rotation decisions?,One routine case has strike team board showing a normal queue while engine crew roster carries a late change from the field. The desk uses that case to demonstrate why air tanker slot is checked before closure.,One routine case has strike team board showing a normal queue while engine crew roster carries a late change from the field. The desk uses that case to demonstrate why air tanker slot is checked before closure.,EXAMPLE,"[""EmberDispatch"", ""air tanker slot"", ""fatigue log""]",DESCRIPTIVE,gives_example,RELEVANT,EXAMPLE,"[""EmberDispatch"", ""air tanker slot"", ""fatigue log""]",DESCRIPTIVE,gives_example,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0012,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,12,How should a wildfire operations desk route crew rotation decisions?,"EmberDispatch Wildfire Crew Rotation is a field-office packet used during ordinary handoffs, not an audit of software or policy. The packet brings together the strike team board, fuel break map, and engine crew roster so a supervisor can see where the next routing choice begins.","EmberDispatch Wildfire Crew Rotation is a field-office packet used during ordinary handoffs, not an audit of software or policy. The packet brings together the strike team board, fuel break map, and engine crew roster so a supervisor can see where the next routing choice begins.",BACKGROUND,"[""EmberDispatch"", ""strike team board"", ""fatigue log""]",DESCRIPTIVE,sets_context,NOT_RELEVANT,BACKGROUND,"[""EmberDispatch"", ""strike team board"", ""fatigue log""]",DESCRIPTIVE,sets_context,NOT_RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,NO,NOT_RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0013,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,13,How should a wildfire operations desk route crew rotation decisions?,"The EmberDispatch desk is not sufficient when air tanker slot is missing from the handoff, even if strike team board looks complete. A coordinator still needs the missing evidence before the route can be trusted.","The EmberDispatch desk is not sufficient when air tanker slot is missing from the handoff, even if strike team board looks complete. A coordinator still needs the missing evidence before the route can be trusted.",CLAIM,"[""EmberDispatch"", ""fuel break map"", ""strike team board""]",NEGATED,asserts,RELEVANT,CLAIM,"[""EmberDispatch"", ""fuel break map"", ""strike team board""]",NEGATED,asserts,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0014,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,14,How should a wildfire operations desk route crew rotation decisions?,The routing decision is more reliable when strike team board and fuel break map are reviewed together instead of in separate calls. That pairing keeps engine crew roster from being treated as a side note after the main choice is already made.,The routing decision is more reliable when strike team board and fuel break map are reviewed together instead of in separate calls. That pairing keeps engine crew roster from being treated as a side note after the main choice is already made.,CLAIM,"[""EmberDispatch"", ""air tanker slot"", ""fuel break map""]",ACTIVE,asserts,RELEVANT,CLAIM,"[""EmberDispatch"", ""air tanker slot"", ""fuel break map""]",ACTIVE,asserts,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0015,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,15,How should a wildfire operations desk route crew rotation decisions?,The EmberDispatch record cannot settle disputes when fuel break map and air tanker slot describe different versions of the same event. Human review is still required before engine crew roster is treated as final.,The EmberDispatch record cannot settle disputes when fuel break map and air tanker slot describe different versions of the same event. Human review is still required before engine crew roster is treated as final.,LIMITATION,"[""fuel break map"", ""EmberDispatch"", ""air tanker slot""]",NEGATED,limits,RELEVANT,LIMITATION,"[""fuel break map"", ""EmberDispatch"", ""air tanker slot""]",NEGATED,limits,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0016,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,16,How should a wildfire operations desk route crew rotation decisions?,"The coordinator should require the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.","The coordinator should require the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",METHOD,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",ACTIVE,requires,RELEVANT,METHOD,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",ACTIVE,requires,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0017,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,1,How should a rail maintenance office route track possession requests?,"The TrackWindow desk is not sufficient when ballast train is missing from the handoff, even if possession calendar looks complete. A coordinator still needs the missing evidence before the route can be trusted.","The TrackWindow desk is not sufficient when ballast train is missing from the handoff, even if possession calendar looks complete. A coordinator still needs the missing evidence before the route can be trusted.",CLAIM,"[""TrackWindow"", ""ballast train"", ""control room""]",NEGATED,asserts,RELEVANT,CLAIM,"[""TrackWindow"", ""ballast train"", ""control room""]",NEGATED,asserts,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0018,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,2,How should a rail maintenance office route track possession requests?,"During the trial week, teams found that pairing possession calendar with ballast train reduced repeated phone calls at the desk. The review also showed that night crew was the field most often used for retrieval.","During the trial week, teams found that pairing possession calendar with ballast train reduced repeated phone calls at the desk. The review also showed that night crew was the field most often used for retrieval.",RESULT,"[""possession calendar"", ""signal isolation plan"", ""TrackWindow""]",DESCRIPTIVE,reports_usefulness,RELEVANT,RESULT,"[""possession calendar"", ""signal isolation plan"", ""TrackWindow""]",DESCRIPTIVE,reports_usefulness,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0019,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,3,How should a rail maintenance office route track possession requests?,"Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.","Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.",METHOD,"[""TrackWindow"", ""night crew"", ""control room""]",ACTIVE,recommends,RELEVANT,METHOD,"[""TrackWindow"", ""night crew"", ""control room""]",ACTIVE,recommends,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0020,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,4,How should a rail maintenance office route track possession requests?,The routing decision is more reliable when possession calendar and signal isolation plan are reviewed together instead of in separate calls. That pairing keeps night crew from being treated as a side note after the main choice is already made.,The routing decision is more reliable when possession calendar and signal isolation plan are reviewed together instead of in separate calls. That pairing keeps night crew from being treated as a side note after the main choice is already made.,CLAIM,"[""TrackWindow"", ""possession calendar"", ""signal isolation plan""]",ACTIVE,asserts,RELEVANT,CLAIM,"[""TrackWindow"", ""possession calendar"", ""signal isolation plan""]",ACTIVE,asserts,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0021,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,5,How should a rail maintenance office route track possession requests?,"Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.","Operators first sort the ballast train by urgency, then attach the matching night crew entry to each open case. The final pass sends exceptions back to the supervisor queue rather than closing them silently.",METHOD,"[""TrackWindow"", ""night crew"", ""possession calendar""]",ACTIVE,maps_to,RELEVANT,METHOD,"[""TrackWindow"", ""night crew"", ""possession calendar""]",ACTIVE,maps_to,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0022,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,6,How should a rail maintenance office route track possession requests?,The next review should compare possession calendar entries with actual outcomes from control room. That test would show whether TrackWindow is routing hard cases earlier or merely documenting them later.,The next review should compare possession calendar entries with actual outcomes from control room. That test would show whether TrackWindow is routing hard cases earlier or merely documenting them later.,NEXT_STEP,"[""TrackWindow"", ""possession calendar"", ""night crew""]",ACTIVE,proposes_next_test,RELEVANT,NEXT_STEP,"[""TrackWindow"", ""possession calendar"", ""night crew""]",ACTIVE,proposes_next_test,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,FBV1_0023,FBV1_DOC_02_rail_track_possessions,TrackWindow Rail Possession Planning,7,How should a rail maintenance office route track possession requests?,"The term ballast train refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole TrackWindow file because it only covers the visible queue state.","The term ballast train refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole TrackWindow file because it only covers the visible queue state.",DEFINE,"[""TrackWindow"", ""ballast train"", ""control room""]",DESCRIPTIVE,defines,RELEVANT,DEFINE,"[""TrackWindow"", ""ballast train"", ""control room""]",DESCRIPTIVE,defines,RELEVANT,fresh_blind_v1_gold_by_construction_seed_20260622,YES,RELEVANT
