task_id,family,size_class,route_decidable,route_answerable,route_checkable,full_expansion_feasible,ground_truth,claimed_answer,raw_correct,route_answer,route_correct,verdict,caught_wrong,false_rejection,catchable,blind_spot,route_seconds,full_expansion_checked,full_expansion_answer,full_expansion_seconds
harb_00000,digital_root,small,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,1.0799849405884743e-05,True,1,2.800021320581436e-06
harb_00001,mod_m,small,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,5.299923941493034e-06,True,0,2.500135451555252e-06
harb_00002,last_k_digits,small,True,True,True,True,80099,180099,False,80099,True,NOT_RULED_OUT,False,False,False,True,8.800067007541656e-06,True,80099,4.600035026669502e-06
harb_00003,divisibility,small,True,True,True,True,False,False,True,False,True,NOT_RULED_OUT,False,False,False,False,2.750009298324585e-05,True,False,8.200062438845634e-06
harb_00004,impossibility,small,False,False,True,True,True,False,False,,False,RULED_OUT_WRONG,True,False,True,False,3.0011869966983795e-07,True,True,4.09991480410099e-06
harb_00005,linear_recurrence_residue,small,True,True,True,False,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,5.630007945001125e-05,False,,0.0
harb_00006,fibonacci_state,small,True,True,True,True,3,3,True,3,True,NOT_RULED_OUT,False,False,False,False,1.5900004655122757e-05,False,,5.00003807246685e-06
harb_00007,pascal_row_entry,small,False,False,False,True,0,9,False,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,2.998858690261841e-07,False,,0.0
harb_00008,digital_root,large,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,4.299916326999664e-06,True,1,5.5999960750341415e-05
harb_00009,mod_m,large,True,True,True,True,0,0,True,0,True,NOT_RULED_OUT,False,False,False,False,1.6700010746717453e-05,True,0,1.1799857020378113e-05
harb_00010,last_k_digits,large,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,3.600027412176132e-06,True,1,1.5700003132224083e-05
harb_00011,divisibility,large,True,True,True,True,True,True,True,True,True,NOT_RULED_OUT,False,False,False,False,3.200024366378784e-06,True,True,0.0001431000418961048
harb_00012,impossibility,large,False,False,True,True,True,True,True,,False,NOT_RULED_OUT,False,False,False,False,2.00001522898674e-07,True,True,1.9600149244070053e-05
harb_00013,linear_recurrence_residue,large,True,True,True,False,36,73,False,36,True,NOT_RULED_OUT,False,False,False,True,0.0002649999223649502,False,,0.0
harb_00014,fibonacci_state,large,True,True,True,False,10,10,True,10,True,NOT_RULED_OUT,False,False,False,False,1.1800089851021767e-05,False,,0.0
harb_00015,pascal_row_entry,large,False,False,False,False,0,0,True,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,2.00001522898674e-07,False,,0.0
harb_00016,digital_root,huge,True,True,True,False,1,10,False,1,True,NOT_RULED_OUT,False,False,False,True,4.00003045797348e-06,False,,0.0
harb_00017,mod_m,huge,True,True,True,False,11,48,False,11,True,NOT_RULED_OUT,False,False,False,True,1.2699980288743973e-05,False,,0.0
harb_00018,last_k_digits,huge,True,True,True,False,0,100000,False,0,True,NOT_RULED_OUT,False,False,False,True,0.0018128000665456057,False,,0.0
harb_00019,divisibility,huge,True,True,True,False,True,True,True,True,True,NOT_RULED_OUT,False,False,False,False,7.369997911155224e-05,False,,0.0
harb_00020,impossibility,huge,False,False,True,False,True,False,False,,False,RULED_OUT_WRONG,True,False,True,False,3.0011869966983795e-07,False,,0.0
harb_00021,linear_recurrence_residue,huge,True,True,True,False,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,0.0002631999086588621,False,,0.0
harb_00022,fibonacci_state,huge,True,True,True,False,7,44,False,7,True,NOT_RULED_OUT,False,False,False,True,5.240016616880894e-05,False,,0.0
harb_00023,pascal_row_entry,huge,False,False,False,False,0,0,True,,False,NOT_ROUTE_DECIDABLE,False,False,False,False,4.00003045797348e-07,False,,0.0
harb_00024,digital_root,small,True,True,True,True,1,1,True,1,True,NOT_RULED_OUT,False,False,False,False,3.00002284348011e-06,True,1,2.100132405757904e-06
