variant,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
noun_chunks_topk,M1_normalized_exact,1.0,TB001,CivicAid Permit Triage; council service requests; planning questions; permit evidence; payment status; human officer,CivicAid Permit Triage; CivicAid Permit; council service requests; council service requests separating; evidence payment status; human officer reviews; Permit; permit evidence payment,6,8,2,0.250000,0.333333,0.285714,0.166667,"[{""gold"": ""CivicAid Permit Triage"", ""pred"": ""CivicAid Permit Triage"", ""score"": 1.0}, {""gold"": ""council service requests"", ""pred"": ""council service requests"", ""score"": 1.0}]"
noun_chunks_topk,M1_normalized_exact,1.0,TB002,residents; complaint; permit query; missing-document evidence,long message containing; often submit one; often submit one long; one long message; one long message containing; residents often submit; residents often submit one; submit one long,4,8,0,0.000000,0.000000,0.000000,0.000000,[]
noun_chunks_topk,M1_normalized_exact,1.0,TB003,request type; required evidence; deadline sensitivity; status; new decision,classify each sentence; evidence deadline sensitivity; request type required; request type required evidence; required evidence deadline; required evidence deadline sensitivity; type required evidence; type required evidence deadline,5,8,0,0.000000,0.000000,0.000000,0.000000,[]
noun_chunks_topk,M1_normalized_exact,1.0,TB004,assistant; planning permission; approval; partial screenshot; legal evidence,issue planning permission; issue planning permission promise; permission promise approval; planning permission promise; planning permission promise approval; sufficient legal evidence; assistant must; issue planning,5,8,0,0.000000,0.000000,0.000000,0.000000,[]
noun_chunks_topk,M1_normalized_exact,1.0,TB005,pilot review; archived requests; routing errors; missing attachments; resident intent,archived requests found; fifty archived requests; fifty archived requests found; most routing errors; most routing errors came; resident s intent; routing errors came; archived requests,5,8,1,0.125000,0.200000,0.153846,0.083333,"[{""gold"": ""archived requests"", ""pred"": ""archived requests"", ""score"": 1.0}]"
noun_chunks_topk,M1_normalized_exact,1.0,TB006,blind annotation batch; council-style messages; route classifier; manual triage spreadsheet,blind annotation batch; current manual triage; current manual triage spreadsheet; manual triage spreadsheet; Next build; route classifier against; unseen council-style messages; annotation batch,4,8,2,0.250000,0.500000,0.333333,0.200000,"[{""gold"": ""blind annotation batch"", ""pred"": ""blind annotation batch"", ""score"": 1.0}, {""gold"": ""manual triage spreadsheet"", ""pred"": ""manual triage spreadsheet"", ""score"": 1.0}]"
noun_chunks_topk,M1_normalized_exact,1.0,TB007,HarborFlow; logistics exception tracker; containers; gate-out confirmation,delayed inspected damaged; logistics exception tracker; missing gate-out confirmation; delayed inspected; exception tracker; gate-out confirmation; inspected damaged; logistics exception,4,8,2,0.250000,0.500000,0.333333,0.200000,"[{""gold"": ""gate-out confirmation"", ""pred"": ""gate-out confirmation"", ""score"": 1.0}, {""gold"": ""logistics exception tracker"", ""pred"": ""logistics exception tracker"", ""score"": 1.0}]"
noun_chunks_topk,M1_normalized_exact,1.0,TB008,port team; email chains; customs hold; carrier delay,currently handles exceptions; currently handles exceptions through; exceptions through email; exceptions through email chains; handles exceptions through; handles exceptions through email; port team currently; port team currently handles,4,8,0,0.000000,0.000000,0.000000,0.000000,[]
noun_chunks_topk,M1_normalized_exact,1.0,TB009,exception; cause; accountable party; last verified timestamp; financial exposure; operations lead,accountable party last; accountable party last verified; cause accountable party; cause accountable party last; Each exception; last verified timestamp; operations lead sees; party last verified,6,8,1,0.125000,0.166667,0.142857,0.076923,"[{""gold"": ""last verified timestamp"", ""pred"": ""last verified timestamp"", ""score"": 1.0}]"
noun_chunks_topk,M1_normalized_exact,1.0,TB010,refrigerated container; temperature alarm; inspection seal; cold-chain risk; compliance review,both cold-chain risk; missing inspection seal; both cold-chain; cold-chain risk; compliance review; inspection seal; missing inspection; refrigerated container,5,8,4,0.500000,0.800000,0.615385,0.444444,"[{""gold"": ""cold-chain risk"", ""pred"": ""cold-chain risk"", ""score"": 1.0}, {""gold"": ""compliance review"", ""pred"": ""compliance review"", ""score"": 1.0}, {""gold"": ""inspection seal"", ""pred"": ""inspection seal"", ""score"": 1.0}, {""gold"": ""refrigerated container"", ""pred"": ""refrigerated container"", ""score"": 1.0}]"
