variant,population,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
D,all_gold_rows,M0_exact_canonical,1.0,TB001,CivicAid Permit Triage; council service requests; planning questions; permit evidence; payment status; human officer,incident response,6,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB002,residents; complaint; permit query; missing-document evidence,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB003,request type; required evidence; deadline sensitivity; status; new decision,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB004,assistant; planning permission; approval; partial screenshot; legal evidence,permission boundary,5,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB005,pilot review; archived requests; routing errors; missing attachments; resident intent,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB006,blind annotation batch; council-style messages; route classifier; manual triage spreadsheet,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB007,HarborFlow; logistics exception tracker; containers; gate-out confirmation,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB008,port team; email chains; customs hold; carrier delay,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB009,exception; cause; accountable party; last verified timestamp; financial exposure; operations lead,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB010,refrigerated container; temperature alarm; inspection seal; cold-chain risk; compliance review,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB011,cargo value; commodity notes; verified shipment record,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB012,exception; dwell time; forty-eight hours; confirmed owner,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB013,ClinicPulse; backlog monitor; appointment delays; pathway; urgency; clinician dependency; patient-contact status,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB014,clinic manager; clinical review; administrative booking; patients,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB015,route map; pathway name; current wait age; blocker type; responsible role; backlog note,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB016,urgent flag; clinical risk wording; days since referral,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB017,administrative blockers; booking teams; queue; sample,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB018,patient identifiers; model prompt; synthetic IDs; re-identification key; evaluation folder,evaluation,5,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB019,GridLens; battery storage sites; inverter faults; thermal alerts; state-of-charge anomalies; technician dispatch,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB020,maintenance team; telemetry summaries; engineer notes; repeated faults,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB021,asset; symptom; severity; recurrence count; safety implication; recommended intervention,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB022,alert; planned firmware test; scheduled work; operational incident,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB023,dry run; model; inverter trips; balancing events; thermal warnings,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB024,blind set; engineer notes; production alert rules,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB025,TutorTrail; tutoring notes; learning routes; concept gap; practice need; confidence issue; assessment target; parent follow-up,,8,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB026,tutors; ability; behaviour; homework completion; lesson plan,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB027,topic; misconception; evidence sentence; exercise type; conceptual issue; fluency-based issue,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB028,pupil; linear equations; wording; transfer practice; basic algebra,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB029,special educational need; frustration note; tutor; support plan,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB030,reviewer column; senior tutors; borderline cases; gold set,human review,4,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB031,FraudSieve; invoice-control router; vendor identity changes; bank-detail changes; duplicate invoice patterns; approval bypasses,controls,6,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB032,finance reviewers; alerts; vendor; invoice; approver,controls; human review,5,2,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB033,payment risk; evidence field; control; approval gate,controls,4,1,1,1.000000,0.250000,0.400000,0.250000,"[{""gold"": ""control"", ""pred"": ""controls"", ""score"": 1.0}]"
D,all_gold_rows,M0_exact_canonical,1.0,TB034,duplicate check; invoice number; supplier name; gross amount; purchase-order reference,controls,5,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB035,historic alerts; precision; duplicate invoices; recall; supplier names,controls,5,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB036,tool; payment; case; approver; evidence,controls,5,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB037,RiverWatch; field notes; water levels; blocked culverts; pump status; road closures; flood-response routes,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB038,duty officer; photos; resident calls; sensor messages; field deployment,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB039,location; hazard type; confidence; immediate action; agency notification,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB040,standing water; test basin; scheduled drill; public-road closure route,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB041,trial; blocked culvert reports; bridge-depth notes; severity rule,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB042,blind review set; storm event; false alarms; missed deployments,evaluation,4,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB043,LawBrief Disclosure Tracker; litigation notes; evidence request; privilege issue; disclosure deadline; client instruction; counsel review,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
