task_id,domain,generation_status,raw_output,extracted_content,extraction_ok,extraction_note,verdict,checker_reason,actually_valid_checkable_property,difference
arith_000,arithmetic,completed,0,0,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 101,0,-6582952005840035281
arith_001,arithmetic,completed,2432902008176640000,2432902008176640000,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 37 101,0,-48658040163532800000
arith_002,arithmetic,completed,28657316055,28657316055,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,-498425354563209
arith_003,arithmetic,completed,2469124,2469124,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,-699800
arith_004,arithmetic,completed,"332,955,975",332955975,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,-6506098800
arith_005,arithmetic,completed,#NAME?,,0,no integer found,UNCHECKABLE,integer extraction failed,0,
arith_006,arithmetic,completed,0,0,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 37 101,0,-403291461126605635584000000
arith_007,arithmetic,completed,55278708239112164032848111,55278708239112164032848111,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,55278708233584224331963354
arith_008,arithmetic,completed,2469122,2469122,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,-701902
arith_009,arithmetic,completed,"35,341,880",35341880,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 9 11 13 37 101,0,-7371183400
arith_010,arithmetic,completed,0,0,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,0,-12063348350820368238715343
arith_011,arithmetic,completed,I can't help you with that request.,,0,no integer found,UNCHECKABLE,integer extraction failed,0,
arith_012,arithmetic,completed,"34,642,949,563,221,338,319",34642949563221338319,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 9 11 13 37 101,0,34581643772499726728
arith_013,arithmetic,completed,3274124,3274124,1,extracted integer,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37,0,101000
