segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
DOC0004_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,ICO AI guidance; data protection; AI systems; data,data protection,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0010_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,agent memory,agent memory,1.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,none
DOC0004_S0009,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,ICO AI guidance; data protection; RouteMap; fairness; data,privacy; RouteMap,0.166667,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0002_S0009,NEXT_STEP,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,NCSC secure AI guidance; RouteMap,RouteMap; RouteMap segment,0.333333,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,role+entity
DOC0003_S0009,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,OWASP LLM Top 10; RouteMap; AI risk,controls; RouteMap,0.250000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0002_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NCSC secure AI guidance,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0009_S0003,BACKGROUND,NEXT_STEP,CONTEXT,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,RouteMap; benchmark,benchmark; RouteMap,1.000000,DESCRIPTIVE,ACTIVE,sets_context,proposes_next_test,MAYBE,YES,role+status+relation+answer
DOC0002_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NCSC secure AI guidance; RouteMap; benchmark; data,benchmark; RouteMap; secure AI development,0.400000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0009_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,RouteMap; benchmark,benchmark; RouteMap; RouteMap segment,0.666667,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0006_S0009,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,Microsoft Responsible AI Standard; fairness,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
DOC0007_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CISA AI roadmap; RouteMap; tool risk; benchmark; data,benchmark; RouteMap,0.400000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0005_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,Google SAIF; AI systems; model behavior; data,secure AI development,0.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0005_S0008,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,Google SAIF; monitoring,,0.000000,NEGATED,NEGATED,limits,limits,YES,YES,entity
DOC0001_S0010,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,NIST AI RMF; AI risk; measurement,evaluation; RouteMap; RouteMap segment,0.200000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
DOC0009_S0007,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,retrieval; benchmark,benchmark; retrieval,1.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation
DOC0007_S0006,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CISA AI roadmap,,0.000000,NEGATED,NEGATED,limits,limits,YES,YES,entity
DOC0001_S0006,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,NIST AI RMF; AI risk; AI systems,controls; governance,0.000000,ACTIVE,ACTIVE,maps_to,recommends,YES,YES,entity+relation
DOC0001_S0007,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,NIST AI RMF; AI risk; AI systems; measurement,evaluation,0.250000,LIMITED,LIMITED,warns_about,limits,YES,YES,entity+relation
DOC0004_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,ICO AI guidance; data protection; data,data protection,0.333333,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0008_S0009,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,RouteMap; AI risk,retrieval; RouteMap; RouteMap segment,0.250000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0003_S0005,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,OWASP LLM Top 10; tool risk; retrieval; model behavior,LLM application security; retrieval,0.500000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
DOC0010_S0005,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,agent memory,RouteMap; RouteMap segment,0.000000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
DOC0010_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,agent memory; long-context systems,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0009_S0009,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,benchmark,benchmark; RouteMap; RouteMap segment,0.333333,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0009_S0006,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,RouteMap; retrieval; benchmark,benchmark; retrieval,0.666667,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
DOC0005_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,Google SAIF; RouteMap; benchmark; data,benchmark; RouteMap; secure AI development,0.400000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0006_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,Microsoft Responsible AI Standard; responsible AI; governance,governance,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0009_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,RouteMap; benchmark; data,benchmark; RouteMap,0.666667,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0006_S0005,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,Microsoft Responsible AI Standard,governance,0.000000,NEGATED,ACTIVE,asserts,asserts,YES,YES,entity+status
DOC0003_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,OWASP LLM Top 10; RouteMap; benchmark; model behavior; data,benchmark; RouteMap,0.400000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0001_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NIST AI RMF; risk management; AI risk,AI risk management; risk management,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0010_S0010,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,agent memory; data,permission boundary,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
DOC0006_S0010,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,Microsoft Responsible AI Standard; RouteMap,RouteMap,0.500000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0007_S0005,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,CISA AI roadmap; AI risk,,0.000000,ACTIVE,ACTIVE,maps_to,recommends,YES,YES,entity+relation
DOC0002_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,NCSC secure AI guidance; secure AI development; AI systems,controls; secure AI development,0.250000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0008_S0008,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,AI risk; model behavior,,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
DOC0008_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,high-risk AI; risk management; AI risk,risk management,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0006_S0008,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,Microsoft Responsible AI Standard; AI risk,,0.000000,LIMITED,LIMITED,warns_about,limits,YES,YES,entity+relation
DOC0010_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,RouteMap; benchmark; agent memory; long-context systems; data,agent memory; benchmark; RouteMap,0.600000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0001_S0009,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,NIST AI RMF; RouteMap; AI risk; benchmark; measurement,benchmark; evaluation; RouteMap,0.600000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
DOC0002_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NCSC secure AI guidance; secure AI development; AI systems,secure AI development,0.333333,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0009_S0008,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,benchmark,benchmark; RouteMap; RouteMap segment,0.333333,LIMITED,LIMITED,warns_about,limits,YES,YES,entity+relation
DOC0002_S0008,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,NCSC secure AI guidance; model behavior,controls,0.000000,NEGATED,NEGATED,limits,limits,YES,YES,entity
DOC0001_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NIST AI RMF; RouteMap; AI risk; benchmark; data,AI risk management; benchmark; risk management; RouteMap,0.285714,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
DOC0004_S0005,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,ICO AI guidance; data protection; AI risk; AI systems; data,data protection,0.200000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
DOC0004_S0010,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,ICO AI guidance; AI risk; data,,0.000000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
DOC0006_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,Microsoft Responsible AI Standard; responsible AI; AI systems,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0005_S0009,NEXT_STEP,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,Google SAIF; RouteMap; AI risk,controls; RouteMap,0.250000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,role+entity
DOC0001_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,NIST AI RMF; risk management; AI risk; AI systems,AI risk management; risk management,0.200000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0010_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,agent memory; long-context systems,agent memory,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0006_S0006,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,Microsoft Responsible AI Standard; responsible AI; AI risk; monitoring; human oversight,controls; governance,0.000000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
DOC0006_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,Microsoft Responsible AI Standard; responsible AI,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0003_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,OWASP LLM Top 10,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
DOC0008_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,EU AI Act; high-risk AI; AI risk; AI systems,,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
DOC0003_S0004,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,OWASP LLM Top 10; tool risk; AI risk; model behavior; data,,0.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
DOC0002_S0010,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,NCSC secure AI guidance; retrieval,retrieval,0.500000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,entity+relation
