model,segment_id,title,text,gold_entities,pred_entities,exact,jaccard,precision,recall,f1,zero_overlap,missing_entities,extra_entities
pred_entities_current,HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,AI safety evaluation; policy context; risk management,evaluation; governance,NO,0.000000,0.000000,0.000000,0.000000,YES,AI safety evaluation; policy context; risk management,evaluation; governance
pred_entities_current,HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",audit trail; evidence selection; human review; model release governance,human review,NO,0.250000,1.000000,0.250000,0.400000,NO,audit trail; evidence selection; model release governance,
pred_entities_current,HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,consent boundary; privacy; RouteMap,privacy; RouteMap,NO,0.666667,1.000000,0.666667,0.800000,NO,consent boundary,
pred_entities_current,HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap segment; documentation,NO,0.400000,0.500000,0.666667,0.571429,NO,RouteMap,retrieval; documentation
pred_entities_current,HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",agent memory; benchmark; risk management; source context,agent memory; benchmark,NO,0.500000,1.000000,0.500000,0.666667,NO,risk management; source context,
pred_entities_current,HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,incident response; permission boundary; tool-use security,permission boundary,NO,0.333333,1.000000,0.333333,0.500000,NO,incident response; tool-use security,
pred_entities_current,HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",benchmark; gold labels; mismatch review; source context,benchmark; gold labels; mismatch review; source context,YES,1.000000,1.000000,1.000000,1.000000,NO,,
pred_entities_current,HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,evidence selection; human review; policy context,human review; retrieval; RouteMap segment; source context,NO,0.166667,0.250000,0.333333,0.285714,NO,evidence selection; policy context,retrieval; RouteMap segment; source context
pred_entities_current,HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",audit trail; human review; model release governance,governance; audit,NO,0.000000,0.000000,0.000000,0.000000,YES,audit trail; human review; model release governance,governance; audit
pred_entities_current,HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,human review; incident response; source context,incident response; monitoring,NO,0.250000,0.500000,0.333333,0.400000,NO,human review; source context,monitoring
pred_entities_current,HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,AI safety evaluation; audit trail; evaluation,evaluation,NO,0.333333,1.000000,0.333333,0.500000,NO,AI safety evaluation; audit trail,
pred_entities_current,HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",evidence selection; model release governance; risk management,governance,NO,0.000000,0.000000,0.000000,0.000000,YES,evidence selection; model release governance; risk management,governance
pred_entities_current,HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,answer support; consent boundary; permission boundary,permission boundary; privacy,NO,0.250000,0.500000,0.333333,0.400000,NO,answer support; consent boundary,privacy
pred_entities_current,HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",answer support; evidence selection; retrieval trace,answer support; retrieval; retrieval trace; RouteMap segment,NO,0.400000,0.500000,0.666667,0.571429,NO,evidence selection,retrieval; RouteMap segment
pred_entities_current,HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,agent memory; route provenance; source context,agent memory; evaluation; route provenance,NO,0.500000,0.666667,0.666667,0.666667,NO,source context,evaluation
