setting,model,metric_type,label,accuracy,f1,count
A_existing_train_dev,word_unigram_nb,overall,ALL,0.600000,,40
A_existing_train_dev,word_unigram_nb,boundary_pair,BACKGROUND_vs_CLAIM,0.800000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,0.600000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,CLAIM_vs_DEFINE,0.400000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,CLAIM_vs_METHOD,0.400000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,METHOD_vs_EXAMPLE,0.800000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,RESULT_vs_CLAIM,0.400000,,5
A_existing_train_dev,word_unigram_nb,boundary_pair,RESULT_vs_METHOD,0.400000,,5
A_existing_train_dev,word_unigram_nb,per_role_f1,BACKGROUND,,0.608696,9
A_existing_train_dev,word_unigram_nb,per_role_f1,CLAIM,,0.333333,10
A_existing_train_dev,word_unigram_nb,per_role_f1,DEFINE,,0.666667,2
A_existing_train_dev,word_unigram_nb,per_role_f1,METHOD,,0.666667,7
A_existing_train_dev,word_unigram_nb,per_role_f1,RESULT,,0.666667,8
A_existing_train_dev,word_unigram_nb,per_role_f1,LIMITATION,,0.000000,0
A_existing_train_dev,word_unigram_nb,per_role_f1,NEXT_STEP,,0.000000,0
A_existing_train_dev,word_unigram_nb,per_role_f1,EXAMPLE,,0.727273,4
A_existing_train_dev,word_unigram_bigram_nb,overall,ALL,0.575000,,40
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_CLAIM,0.600000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,0.600000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,CLAIM_vs_DEFINE,0.200000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,CLAIM_vs_METHOD,0.400000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,METHOD_vs_EXAMPLE,0.400000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,RESULT_vs_CLAIM,0.600000,,5
A_existing_train_dev,word_unigram_bigram_nb,boundary_pair,RESULT_vs_METHOD,0.800000,,5
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,BACKGROUND,,0.736842,9
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,CLAIM,,0.000000,10
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,DEFINE,,0.400000,2
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,METHOD,,0.615385,7
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,RESULT,,0.875000,8
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,LIMITATION,,0.000000,0
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,NEXT_STEP,,0.000000,0
A_existing_train_dev,word_unigram_bigram_nb,per_role_f1,EXAMPLE,,0.727273,4
A_existing_train_dev,char_3_5gram_nb,overall,ALL,0.550000,,40
A_existing_train_dev,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_CLAIM,0.800000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,0.400000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_RESULT,0.800000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,CLAIM_vs_DEFINE,0.200000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,CLAIM_vs_METHOD,0.400000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,METHOD_vs_EXAMPLE,0.800000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,RESULT_vs_CLAIM,0.400000,,5
A_existing_train_dev,char_3_5gram_nb,boundary_pair,RESULT_vs_METHOD,0.600000,,5
A_existing_train_dev,char_3_5gram_nb,per_role_f1,BACKGROUND,,0.705882,9
A_existing_train_dev,char_3_5gram_nb,per_role_f1,CLAIM,,0.333333,10
A_existing_train_dev,char_3_5gram_nb,per_role_f1,DEFINE,,0.000000,2
A_existing_train_dev,char_3_5gram_nb,per_role_f1,METHOD,,0.636364,7
A_existing_train_dev,char_3_5gram_nb,per_role_f1,RESULT,,0.769231,8
A_existing_train_dev,char_3_5gram_nb,per_role_f1,LIMITATION,,0.000000,0
A_existing_train_dev,char_3_5gram_nb,per_role_f1,NEXT_STEP,,0.000000,0
A_existing_train_dev,char_3_5gram_nb,per_role_f1,EXAMPLE,,0.400000,4
A_existing_train_dev,simple_centroid_tfidf_like,overall,ALL,0.625000,,40
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_CLAIM,1.000000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_EXAMPLE,0.400000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,CLAIM_vs_DEFINE,0.400000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,CLAIM_vs_METHOD,0.400000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,METHOD_vs_EXAMPLE,0.400000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,RESULT_vs_CLAIM,0.600000,,5
A_existing_train_dev,simple_centroid_tfidf_like,boundary_pair,RESULT_vs_METHOD,0.800000,,5
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,BACKGROUND,,0.666667,9
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,CLAIM,,0.461538,10
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,DEFINE,,0.250000,2
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,METHOD,,0.714286,7
