segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
EXPAND_S0003,CLAIM,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,consent boundary; incident response; risk management,consent boundary; human review; incident response; RouteMap,0.400000,ACTIVE,DESCRIPTIVE,asserts,gives_example,YES,YES,role+entity+status+relation
EXPAND_S0004,CLAIM,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,permission boundary; answer support; risk management,answer support; permission boundary; RouteMap,0.500000,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,role+entity+status+relation
EXPAND_S0014,CLAIM,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,incident response; risk management,incident response,0.500000,ACTIVE,DESCRIPTIVE,asserts,gives_example,YES,YES,role+entity+status+relation
EXPAND_S0028,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,model release governance; route extraction,benchmark; governance; model release governance; route extraction; RouteMap; RouteMap segment,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,MAYBE,role+entity+relation+answer
EXPAND_S0029,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,privacy; human review,human review; privacy,1.000000,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,status+relation
EXPAND_S0039,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,evidence selection; incident response,evidence selection; incident response,1.000000,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,status+relation
EXPAND_S0053,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,LLM application security; privacy; evaluation,benchmark; LLM application security; privacy,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0054,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,AI safety evaluation; retrieval trace; evaluation,AI safety evaluation; evaluation; retrieval; retrieval trace,0.750000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0064,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,evaluation; route extraction,evaluation; mismatch review; route extraction; RouteMap,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0078,CLAIM,NEXT_STEP,ASSERTION,ACTION,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,RouteMap segment; gold labels; risk management,gold labels; human review; RouteMap; RouteMap segment,0.400000,ACTIVE,ACTIVE,asserts,proposes_next_test,YES,YES,role+entity+relation
EXPAND_S0079,CLAIM,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,secure AI development; LLM application security; risk management,answer support; LLM application security; RouteMap; secure AI development,0.400000,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,role+entity+status+relation
EXPAND_S0089,CLAIM,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,route extraction; privacy; risk management,route extraction; RouteMap,0.250000,ACTIVE,DESCRIPTIVE,asserts,sets_context,YES,NO,role+entity+status+relation+answer
EXPAND_S0103,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,mismatch review; answer support; source context,answer support; benchmark; mismatch review,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0104,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,gold labels; risk management; source context,gold labels; policy context,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
EXPAND_S0114,BACKGROUND,METHOD,CONTEXT,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,route provenance; gold labels; source context,gold labels; human review; route provenance; RouteMap; RouteMap segment,0.333333,DESCRIPTIVE,ACTIVE,sets_context,recommends,MAYBE,YES,role+entity+status+relation+answer
EXPAND_S0128,CLAIM,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,risk management; human review,risk management,0.500000,ACTIVE,DESCRIPTIVE,asserts,sets_context,YES,NO,role+entity+status+relation+answer
EXPAND_S0129,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,source context; incident response; risk management,human review; incident response; RouteMap; source context,0.400000,ACTIVE,LIMITED,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0139,CLAIM,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,permission boundary; answer support; risk management,answer support; permission boundary; RouteMap,0.500000,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,role+entity+status+relation
EXPAND_S0153,BACKGROUND,METHOD,CONTEXT,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,policy context; retrieval trace; source context,human review; policy context; retrieval; retrieval trace; RouteMap; RouteMap segment,0.285714,DESCRIPTIVE,ACTIVE,sets_context,recommends,MAYBE,YES,role+entity+status+relation+answer
EXPAND_S0154,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,controls; route extraction; source context,benchmark; controls; route extraction; RouteMap,0.400000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0164,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,privacy; human review; source context,policy context; privacy,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
EXPAND_S0178,EXAMPLE,CLAIM,INSTANCE,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,audit trail; LLM application security,audit trail; LLM application security; retrieval; retrieval trace,0.500000,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,role+entity+status+relation
EXPAND_S0179,EXAMPLE,DEFINE,INSTANCE,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,answer support; privacy,answer support; audit trail; privacy; RouteMap; RouteMap segment,0.400000,DESCRIPTIVE,DESCRIPTIVE,gives_example,defines,YES,YES,role+entity+relation
EXPAND_S0189,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,AI safety evaluation; retrieval trace,AI safety evaluation; evaluation; human review; model release governance; retrieval; retrieval trace,0.333333,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
EXPAND_S0203,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,incident response; risk management; source context,incident response; policy context,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
EXPAND_S0204,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,agent memory; gold labels; source context,agent memory; gold labels; human review; RouteMap; RouteMap segment,0.333333,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0214,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,secure AI development; LLM application security; source context,benchmark; LLM application security; secure AI development,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0228,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,evidence selection; incident response; evaluation,evidence selection; evaluation; incident response,1.000000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,none
EXPAND_S0229,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,tool-use security; answer support; evaluation,answer support; LLM application security; mismatch review; tool-use security,0.400000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0239,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,gold labels; risk management; evaluation,benchmark; gold labels; risk management,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,MAYBE,role+entity+relation+answer
EXPAND_S0253,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,evaluation; route extraction; controls,audit trail; evidence selection; evaluation; route extraction; RouteMap,0.333333,ACTIVE,ACTIVE,recommends,asserts,YES,YES,entity+relation
EXPAND_S0254,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,human review; controls,controls; human review; RouteMap,0.666667,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0264,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,source context; incident response; controls,human review; incident response; source context,0.500000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0278,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,route extraction; privacy,audit trail; privacy; route extraction; RouteMap; RouteMap segment,0.400000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
EXPAND_S0279,EXAMPLE,EXAMPLE,INSTANCE,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,benchmark; retrieval trace,benchmark; human review; model release governance; retrieval; retrieval trace,0.400000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity
EXPAND_S0289,EXAMPLE,BACKGROUND,INSTANCE,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,controls; route extraction,controls; retrieval; retrieval trace; route extraction; RouteMap,0.400000,DESCRIPTIVE,DESCRIPTIVE,gives_example,sets_context,YES,MAYBE,role+entity+relation+answer
EXPAND_S0303,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,route provenance; gold labels; evaluation,evaluation; gold labels; route provenance,1.000000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,none
EXPAND_S0304,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,RouteMap; LLM application security; evaluation,LLM application security; mismatch review; RouteMap,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0314,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,answer support; privacy; evaluation,answer support; benchmark; privacy,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,defines,YES,YES,entity+relation
EXPAND_S0328,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,permission boundary; answer support; controls,answer support; audit trail; evidence selection; permission boundary,0.400000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0329,METHOD,DEFINE,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,retrieval trace; risk management; controls,human review; retrieval; retrieval trace; risk management; RouteMap,0.333333,ACTIVE,DESCRIPTIVE,recommends,defines,YES,YES,role+entity+status+relation
EXPAND_S0339,METHOD,EXAMPLE,ACTION,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,agent memory; gold labels; controls,agent memory; gold labels; human review,0.500000,ACTIVE,DESCRIPTIVE,recommends,gives_example,YES,YES,role+entity+status+relation
EXPAND_S0353,CLAIM,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,privacy; human review; risk management,privacy,0.333333,ACTIVE,DESCRIPTIVE,asserts,gives_example,YES,YES,role+entity+status+relation
EXPAND_S0354,CLAIM,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,consent boundary; incident response; risk management,consent boundary; human review; incident response; RouteMap,0.400000,ACTIVE,DESCRIPTIVE,asserts,gives_example,YES,YES,role+entity+status+relation
EXPAND_S0364,CLAIM,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,tool-use security; answer support; risk management,answer support; LLM application security; RouteMap; tool-use security,0.400000,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,role+entity+status+relation
EXPAND_S0378,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,AI safety evaluation; retrieval trace; controls,AI safety evaluation; evaluation; human review; retrieval; retrieval trace,0.333333,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0379,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,model release governance; route extraction; controls,audit trail; evidence selection; governance; model release governance; route extraction; RouteMap,0.285714,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0389,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,human review; controls,controls; human review; RouteMap,0.666667,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0417,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,audit trail; secure AI development; RouteMap,audit trail; benchmark; secure AI development,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0418,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,answer support; LLM application security; RouteMap,answer support,0.333333,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,entity+status+relation
EXPAND_S0419,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,policy context; AI safety evaluation; route extraction,AI safety evaluation; evaluation; policy context,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
EXPAND_S0420,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,controls; model release governance; benchmark,audit trail; controls; evidence selection; governance; model release governance,0.333333,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity
EXPAND_S0421,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,risk management; privacy; RouteMap,benchmark; evaluation; privacy; risk management,0.400000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
EXPAND_S0422,LIMITATION,DEFINE,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,source context; consent boundary; human review,consent boundary; retrieval; RouteMap; RouteMap segment; source context,0.333333,LIMITED,DESCRIPTIVE,limits,defines,YES,YES,role+entity+status+relation
EXPAND_S0423,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,mismatch review; permission boundary; evidence selection,evaluation; mismatch review; permission boundary,0.500000,ACTIVE,DESCRIPTIVE,proposes_next_test,reports_usefulness,YES,YES,entity+status+relation
EXPAND_S0424,EXAMPLE,METHOD,INSTANCE,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,gold labels; retrieval trace; tool-use security,audit trail; gold labels; retrieval; retrieval trace; RouteMap; RouteMap segment,0.285714,DESCRIPTIVE,ACTIVE,gives_example,recommends,YES,YES,role+entity+status+relation
