segment_id,title,text,original_gold_role,adjudicated_role,pred_role,adjudication_status,rubric_issue,adjudication_reason
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Policy overview frames source context rather than a reusable thesis.
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,BACKGROUND,EXAMPLE,ACCEPT_GOLD,NONE,Release archive describes document contents and rationale.
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,BACKGROUND,NEXT_STEP,ACCEPT_GOLD,NONE,Privacy handbook gives context before annotation work.
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,RESULT,ACCEPT_GOLD,NONE,Documentation page introduces diagrams for unfamiliar teams.
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,BACKGROUND,EXAMPLE,ACCEPT_GOLD,NONE,Tool-use security note records vocabulary context.
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,BACKGROUND,LIMITATION,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Evidence selection primer describes policy context for reviewers.
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,BACKGROUND,CLAIM,ACCEPT_GOLD,NONE,Governance catalog summarizes terminology and approval roles.
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,BACKGROUND,LIMITATION,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Playbook provides contextual background and explicitly avoids recommending a classifier.
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,CLAIM,LIMITATION,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Sentence asserts a thesis about consent boundaries losing force.
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,DEFINE,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Sentence argues why retrieval traces matter for answer support.
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,DEFINE,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Sentence asserts a behaviour risk of agent memory without provenance.
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,METHOD,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Sentence asserts a thesis about controls failing to affect review behaviour.
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,CLAIM,BACKGROUND,ACCEPT_GOLD,BACKGROUND_CLAIM_BOUNDARY,Sentence asserts a reusable thesis about benchmark design weakness.
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,METHOD,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Sentence asserts the value condition for human review.
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,CLAIM,DEFINE,ACCEPT_GOLD,LIMITATION_CLAIM_BOUNDARY,Sentence argues what an audit trail demonstrates without answer support.
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Denotes gives the identity of model release governance.
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,"Names records that reconstruct a decision, so this defines audit trail."
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Labels identifies what a control surface means.
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,DEFINE,METHOD,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Names a decision point and gives term identity.
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,METHOD,EXAMPLE,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Before launch collect describes an approval procedure.
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,METHOD,METHOD,DEFINE,ACCEPT_GOLD,NONE,Map consent records before selecting evidence is a procedure.
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,METHOD,CLAIM,ACCEPT_GOLD,NONE,Rank memory candidates describes a reusable procedure.
