doc_id,segment_id,title,segment_index,text,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,notes
DOC0001,DOC0001_S0001,01_nist_ai_rmf_route_notes.md,0,# NIST AI Risk Management Framework — Route Notes,,,,,,
DOC0001,DOC0001_S0002,01_nist_ai_rmf_route_notes.md,1,"## Source Metadata - Primary URL: https://www.nist.gov/itl/ai-risk-management-framework - PDF URL: https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",,,,,,
DOC0001,DOC0001_S0003,01_nist_ai_rmf_route_notes.md,2,"### BACKGROUND NIST developed the AI Risk Management Framework to help organisations manage risks to individuals, organisations, and society from AI systems. It is intended as a voluntary framework that can be used across sectors and technologies.",,,,,,
DOC0001,DOC0001_S0004,01_nist_ai_rmf_route_notes.md,3,"### DEFINE AI risk management is the structured process of identifying, measuring, prioritising, and responding to potential harms that may arise from AI design, development, deployment, or use.",,,,,,
DOC0001,DOC0001_S0005,01_nist_ai_rmf_route_notes.md,4,"### CLAIM AI risk is not only a model property. It also depends on data, people, deployment setting, organisational process, affected communities, and monitoring over time.",,,,,,
DOC0001,DOC0001_S0006,01_nist_ai_rmf_route_notes.md,5,"### METHOD The framework can be operationalised by mapping the AI system context, measuring risks and impacts, managing mitigations, and governing the process with accountability structures.",,,,,,
DOC0001,DOC0001_S0007,01_nist_ai_rmf_route_notes.md,6,"### LIMITATION Risk measurement for AI systems remains difficult because harms can be contextual, delayed, distributed across actors, or difficult to quantify before deployment.",,,,,,
DOC0001,DOC0001_S0008,01_nist_ai_rmf_route_notes.md,7,"### RESULT A RouteMap annotation should classify NIST-style material as strong METHOD and GOVERNANCE content because the framework defines roles, lifecycle steps, controls, and limitations.",,,,,,
DOC0001,DOC0001_S0009,01_nist_ai_rmf_route_notes.md,8,"### NEXT_STEP For a RouteMap benchmark, use this document to test whether the system can distinguish definitions of risk from methods for managing risk and limitations around measurement.",,,,,,
DOC0001,DOC0001_S0010,01_nist_ai_rmf_route_notes.md,9,"### EXAMPLE A passage that explains mapping system context should usually be labelled METHOD, while a passage explaining why risk measurement is difficult should usually be labelled LIMITATION.",,,,,,
DOC0002,DOC0002_S0001,02_ncsc_secure_ai_development_route_notes.md,0,# NCSC Secure AI System Development — Route Notes,,,,,,
DOC0002,DOC0002_S0002,02_ncsc_secure_ai_development_route_notes.md,1,"## Source Metadata - Primary URL: https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development - PDF URL: https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",,,,,,
DOC0002,DOC0002_S0003,02_ncsc_secure_ai_development_route_notes.md,2,### BACKGROUND The NCSC guidance treats AI security as a lifecycle problem rather than a one-time deployment checklist.,,,,,,
