id,passage,gold_entities,question,gold_answer
extract_0000,"In the alloy review, Brimhollow approved the turbine for Mirelle without amendment. The turbine remains in force pending the next alloy cycle.",Brimhollow|Mirelle|turbine,Who approved the turbine?,Brimhollow
extract_0001,"In the estuary review, Brimhollow approved the syndicate for Thornby without amendment. The syndicate remains in force pending the next estuary cycle.",Brimhollow|Thornby|syndicate,Who approved the syndicate?,Brimhollow
extract_0002,"In the rampart review, Ashvane approved the manifest for Wendaloo without amendment. The manifest remains in force pending the next rampart cycle.",Ashvane|Wendaloo|manifest,Who approved the manifest?,Ashvane
extract_0003,"In the foundry review, Thornby approved the protocol for Quillon without amendment. The protocol remains in force pending the next foundry cycle.",Thornby|Quillon|protocol,Who approved the protocol?,Thornby
extract_0004,"In the beacon review, Quillon approved the manifest for Ashvane without amendment. The manifest remains in force pending the next beacon cycle.",Quillon|Ashvane|manifest,Who approved the manifest?,Quillon
extract_0005,"In the reservoir review, Vextan approved the almanac for Galmont without amendment. The almanac remains in force pending the next reservoir cycle.",Vextan|Galmont|almanac,Who approved the almanac?,Vextan
extract_0006,"In the protocol review, Korrowind approved the cipher for Wendaloo without amendment. The cipher remains in force pending the next protocol cycle.",Korrowind|Wendaloo|cipher,Who approved the cipher?,Korrowind
extract_0007,"In the syndicate review, Vextan approved the protocol for Lurewick without amendment. The protocol remains in force pending the next syndicate cycle.",Vextan|Lurewick|protocol,Who approved the protocol?,Vextan
extract_0008,"In the cipher review, Wendaloo approved the lattice for Mirelle without amendment. The lattice remains in force pending the next cipher cycle.",Wendaloo|Mirelle|lattice,Who approved the lattice?,Wendaloo
extract_0009,"In the lattice review, Korrowind approved the almanac for Quillon without amendment. The almanac remains in force pending the next lattice cycle.",Korrowind|Quillon|almanac,Who approved the almanac?,Korrowind
extract_0010,"In the quorum review, Mirelle approved the almanac for Galmont without amendment. The almanac remains in force pending the next quorum cycle.",Mirelle|Galmont|almanac,Who approved the almanac?,Mirelle
extract_0011,"In the quorum review, Ashvane approved the almanac for Wendaloo without amendment. The almanac remains in force pending the next quorum cycle.",Ashvane|Wendaloo|almanac,Who approved the almanac?,Ashvane
extract_0012,"In the ledger review, Eskelund approved the protocol for Korrowind without amendment. The protocol remains in force pending the next ledger cycle.",Eskelund|Korrowind|protocol,Who approved the protocol?,Eskelund
extract_0013,"In the beacon review, Brimhollow approved the estuary for Lurewick without amendment. The estuary remains in force pending the next beacon cycle.",Brimhollow|Lurewick|estuary,Who approved the estuary?,Brimhollow
extract_0014,"In the syndicate review, Eskelund approved the quorum for Quillon without amendment. The quorum remains in force pending the next syndicate cycle.",Eskelund|Quillon|quorum,Who approved the quorum?,Eskelund
extract_0015,"In the beacon review, Brimhollow approved the protocol for Dravaile without amendment. The protocol remains in force pending the next beacon cycle.",Brimhollow|Dravaile|protocol,Who approved the protocol?,Brimhollow
