segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,entity_precision,entity_recall,entity_f1,matched_pairs,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
FBV1_0001,EmberDispatch Wildfire Crew Rotation,"The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.",BACKGROUND,BACKGROUND,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]","[""source context""]",0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact+entity_jaccard_lt_0.5
FBV1_0002,EmberDispatch Wildfire Crew Rotation,"The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",METHOD,METHOD,"[""EmberDispatch"", ""fatigue log"", ""strike team board""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,maps_to,maps_to,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0003,EmberDispatch Wildfire Crew Rotation,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,NEXT_STEP,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""engine crew roster""]","[""fuel break map"", ""desk decision"", ""air tanker slot""]",0.200000,0.333333,0.333333,0.333333,"[{""gold"": ""fuel break map"", ""pred"": ""fuel break map"", ""score"": 1.0}]",ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0004,EmberDispatch Wildfire Crew Rotation,"The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.",LIMITATION,LIMITATION,"[""EmberDispatch"", ""strike team board"", ""fuel break map""]",[],0.000000,0.000000,0.000000,0.000000,[],LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0005,EmberDispatch Wildfire Crew Rotation,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""engine crew roster""]","[""human review""]",0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0006,EmberDispatch Wildfire Crew Rotation,"In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.",DEFINE,DEFINE,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0007,EmberDispatch Wildfire Crew Rotation,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,RESULT,RESULT,"[""EmberDispatch"", ""air tanker slot"", ""strike team board""]","[""human review""]",0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,relation+entity_exact+entity_jaccard_lt_0.5
FBV1_0008,EmberDispatch Wildfire Crew Rotation,"For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.",EXAMPLE,EXAMPLE,"[""EmberDispatch"", ""fatigue log"", ""fuel break map""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0009,EmberDispatch Wildfire Crew Rotation,"The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.",DEFINE,DEFINE,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",[],0.000000,0.000000,0.000000,0.000000,[],DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV1_0010,EmberDispatch Wildfire Crew Rotation,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,NEXT_STEP,NEXT_STEP,"[""EmberDispatch"", ""fuel break map"", ""fatigue log""]",[],0.000000,0.000000,0.000000,0.000000,[],ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
