segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
DOC0004_S0003,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,ICO AI guidance; data protection; AI systems; data,data protection,data protection,data protection,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0010_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,agent memory,agent memory,agent memory,agent memory,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,none
DOC0004_S0009,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,ICO AI guidance; data protection; RouteMap; fairness; data,privacy; RouteMap,privacy; RouteMap,privacy; RouteMap,0.166667,0.166667,0.166667,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0002_S0009,NEXT_STEP,NEXT_STEP,CLAIM,CLAIM,YES,NO,NO,YES,YES,YES,NCSC secure AI guidance; RouteMap,RouteMap; RouteMap segment,RouteMap; RouteMap segment,RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,proposes_next_test,proposes_next_test,asserts,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; multiple
DOC0003_S0009,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,OWASP LLM Top 10; RouteMap; AI risk,controls; RouteMap,controls; RouteMap,controls; RouteMap,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0002_S0003,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,NCSC secure AI guidance,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0009_S0003,BACKGROUND,NEXT_STEP,BACKGROUND,NEXT_STEP,NO,YES,NO,NO,YES,NO,RouteMap; benchmark,benchmark; RouteMap,benchmark; RouteMap,benchmark; RouteMap,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,sets_context,proposes_next_test,sets_context,proposes_next_test,NO,YES,NO,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; status; relation; answer; multiple
DOC0002_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,NCSC secure AI guidance; RouteMap; benchmark; data,benchmark; RouteMap; secure AI development,benchmark; RouteMap; secure AI development,benchmark; RouteMap; secure AI development,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0009_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,RouteMap; benchmark,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
DOC0006_S0009,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,Microsoft Responsible AI Standard; fairness,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0007_S0001,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,CISA AI roadmap; RouteMap; tool risk; benchmark; data,benchmark; RouteMap,benchmark; RouteMap,benchmark; RouteMap,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0005_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,Google SAIF; AI systems; model behavior; data,secure AI development,secure AI development,secure AI development,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0005_S0008,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,Google SAIF; monitoring,,,,0.000000,0.000000,0.000000,NO,NO,NO,NEGATED,NEGATED,LIMITED,NEGATED,YES,NO,YES,limits,limits,limits,limits,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
