segment_id,gold_role,combined_role,D_role,combined_role_correct,D_role_correct,gold_entities,combined_entities,D_entities,combined_entity_jaccard,D_entity_jaccard,combined_entity_correct,D_entity_correct,gold_status,combined_status,D_status,combined_status_correct,D_status_correct,gold_relation,combined_relation,D_relation,combined_relation_correct,D_relation_correct,gold_answer,combined_answer,D_answer,combined_answer_correct,D_answer_correct,combined_strict_correct,D_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,outcome_bucket
HELDOUT2_S0001,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,AI safety evaluation; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,0.600000,0.600000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0002,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,model release governance; evidence selection; human review; audit trail,evidence selection; human review; model release governance,evidence selection; human review; model release governance,0.750000,0.750000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,NO,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,answer_blocks_D
HELDOUT2_S0003,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,privacy; consent boundary; RouteMap,consent boundary; privacy; RouteMap,consent boundary; privacy; RouteMap,1.000000,1.000000,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,answer_blocks_D
HELDOUT2_S0004,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,retrieval trace; route segment; RouteMap,retrieval; retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap; RouteMap segment,0.750000,0.750000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,answer_blocks_D
HELDOUT2_S0005,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,agent memory; benchmark; risk management; source context,agent memory; benchmark; source context,agent memory; benchmark; source context,0.750000,0.750000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0006,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,tool-use security; permission boundary; incident response,incident response; LLM application security; permission boundary; tool-use security,incident response; LLM application security; permission boundary; tool-use security,0.750000,0.750000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,sets_context,sets_context,YES,YES,NO,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,answer_blocks_D
HELDOUT2_S0007,BACKGROUND,RESULT,BACKGROUND,NO,YES,benchmark; source context; gold labels; mismatch review,benchmark; gold labels; human review; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,0.800000,0.800000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,sets_context,reports_usefulness,sets_context,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0008,BACKGROUND,CLAIM,BACKGROUND,NO,YES,evidence selection; policy context; human review,evidence selection; human review; policy context; RouteMap; RouteMap segment,evidence selection; human review; policy context; RouteMap; RouteMap segment,0.600000,0.600000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,sets_context,asserts,sets_context,NO,YES,MAYBE,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0009,BACKGROUND,METHOD,BACKGROUND,NO,YES,model release governance; audit trail; human review,audit trail; governance; model release governance,audit trail; governance; model release governance,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,sets_context,recommends,sets_context,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0010,BACKGROUND,LIMITATION,BACKGROUND,NO,YES,incident response; source context; human review,incident response,incident response,0.333333,0.333333,NO,NO,DESCRIPTIVE,LIMITED,DESCRIPTIVE,NO,YES,sets_context,limits,sets_context,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0011,CLAIM,CLAIM,CLAIM,YES,YES,AI safety evaluation; evaluation; audit trail,AI safety evaluation; audit trail; evaluation,AI safety evaluation; audit trail; evaluation,1.000000,1.000000,YES,YES,ACTIVE,ACTIVE,ACTIVE,YES,YES,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,both_strict_correct
HELDOUT2_S0012,CLAIM,METHOD,CLAIM,NO,YES,model release governance; evidence selection; risk management,governance; model release governance,governance; model release governance,0.250000,0.250000,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,asserts,recommends,asserts,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0013,CLAIM,LIMITATION,LIMITATION,NO,NO,consent boundary; permission boundary; answer support,consent boundary; permission boundary,consent boundary; permission boundary,0.666667,0.666667,NO,NO,ACTIVE,LIMITED,LIMITED,NO,NO,asserts,limits,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0014,CLAIM,CLAIM,CLAIM,YES,YES,retrieval trace; answer support; evidence selection,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,0.333333,0.333333,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_D
HELDOUT2_S0015,CLAIM,CLAIM,LIMITATION,YES,NO,agent memory; route provenance; source context,agent memory; route provenance,agent memory; route provenance,0.666667,0.666667,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,asserts,asserts,warns_about,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0016,CLAIM,CLAIM,LIMITATION,YES,NO,controls; evidence selection; human review,controls; retrieval,controls; retrieval,0.250000,0.250000,NO,NO,ACTIVE,ACTIVE,LIMITED,YES,NO,asserts,asserts,limits,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0017,CLAIM,BACKGROUND,LIMITATION,NO,NO,benchmark; source context; route segment,benchmark; RouteMap; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,0.750000,0.750000,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,asserts,sets_context,warns_about,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0018,CLAIM,CLAIM,CLAIM,YES,YES,human review; evidence selection; retrieval trace,evidence selection; human review,evidence selection; human review,0.666667,0.666667,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0019,CLAIM,EXAMPLE,CLAIM,NO,YES,tool-use security; permission boundary; controls,LLM application security; permission boundary; tool-use security,LLM application security; permission boundary; tool-use security,0.500000,0.500000,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,asserts,gives_example,asserts,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0020,CLAIM,DEFINE,CLAIM,NO,YES,audit trail; answer support; evaluation,answer support; audit trail,answer support; audit trail,0.666667,0.666667,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,asserts,defines,asserts,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0021,DEFINE,DEFINE,BACKGROUND,YES,NO,route provenance; source context; evidence selection; answer support,answer support; evidence selection; route provenance; source context,answer support; evidence selection; route provenance; source context,1.000000,1.000000,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,sets_context,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,combined_strict_only
HELDOUT2_S0022,DEFINE,CLAIM,BACKGROUND,NO,NO,retrieval trace; evidence selection; answer support,evidence selection; retrieval; retrieval trace,evidence selection; retrieval; retrieval trace,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,defines,asserts,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0023,DEFINE,DEFINE,DEFINE,YES,YES,consent boundary; permission boundary; privacy,consent boundary; permission boundary,consent boundary; permission boundary,0.666667,0.666667,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,defines,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0024,DEFINE,DEFINE,DEFINE,YES,YES,model release governance; evaluation; risk management,evaluation; governance; model release governance,evaluation; governance; model release governance,0.500000,0.500000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,defines,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0025,DEFINE,DEFINE,BACKGROUND,YES,NO,agent memory; route extraction; source context,agent memory,agent memory,0.333333,0.333333,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0026,DEFINE,METHOD,BACKGROUND,NO,NO,route segment; route extraction; RouteMap,retrieval; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,defines,recommends,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,combined_relaxed2_or_3_only
