task_id,domain,verdict,reason,applicable_checkers,parse_failure
arith_pow_1,arithmetic,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37 101,arithmetic_residue_v1,0
arith_pow_2,arithmetic,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 7 9 11 13 37,arithmetic_residue_v1,0
arith_fact_1,arithmetic,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 101,arithmetic_residue_v1,0
arith_fact_2,arithmetic,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 101,arithmetic_residue_v1,0
arith_sum_1,arithmetic,RULED_OUT_WRONG,claimed integer disagrees with exact expression residue on moduli: 9 11 13 37 101,arithmetic_residue_v1,0
code_1,python_code,RULED_OUT_WRONG,Python ast.parse raised SyntaxError at line 1: invalid syntax,python_code_parse_v1,0
code_2,python_code,RULED_OUT_WRONG,Python ast.parse raised SyntaxError at line 1: invalid syntax,python_code_parse_v1,0
code_3,python_code,RULED_OUT_WRONG,Python ast.parse raised SyntaxError at line 1: invalid syntax,python_code_parse_v1,0
code_5,python_code,RULED_OUT_WRONG,Python ast.parse raised SyntaxError at line 1: invalid syntax,python_code_parse_v1,0
code_6,python_code,RULED_OUT_WRONG,Python ast.parse raised SyntaxError at line 1: invalid syntax,python_code_parse_v1,0
json_1,json_schema,RULED_OUT_WRONG,invalid JSON at line 1 column 1: Expecting value,json_schema_constraints_v1,0
json_2,json_schema,RULED_OUT_WRONG,invalid JSON at line 1 column 1: Expecting value,json_schema_constraints_v1,0
json_3,json_schema,RULED_OUT_WRONG,invalid JSON at line 1 column 1: Expecting value,json_schema_constraints_v1,0
json_4,json_schema,RULED_OUT_WRONG,invalid JSON at line 1 column 1: Expecting value,json_schema_constraints_v1,0
json_5,json_schema,RULED_OUT_WRONG,invalid JSON at line 1 column 1: Expecting value,json_schema_constraints_v1,0
