segment_id,gold_role,gold_coarse_5,gold_coarse_4,gold_coarse_3,gold_entities,gold_status,gold_relation,gold_answer,combined_v3_role,combined_v3_role_correct,combined_v3_coarse_5_correct,combined_v3_coarse_4_correct,combined_v3_coarse_3_correct,combined_v3_entities,combined_v3_entity_jaccard,combined_v3_entity_exact,combined_v3_status,combined_v3_status_correct,combined_v3_relation,combined_v3_relation_correct,combined_v3_answer,combined_v3_answer_correct,combined_v3_strict_correct,combined_v3_relaxed_1_correct,combined_v3_relaxed_2_correct,combined_v3_relaxed_3_correct,D_role,D_role_correct,D_coarse_5_correct,D_coarse_4_correct,D_coarse_3_correct,D_entities,D_entity_jaccard,D_entity_exact,D_status,D_status_correct,D_relation,D_relation_correct,D_answer,D_answer_correct,D_strict_correct,D_relaxed_1_correct,D_relaxed_2_correct,D_relaxed_3_correct,R6_role,R6_role_correct,R6_coarse_5_correct,R6_coarse_4_correct,R6_coarse_3_correct,R6_entities,R6_entity_jaccard,R6_entity_exact,R6_status,R6_status_correct,R6_relation,R6_relation_correct,R6_answer,R6_answer_correct,R6_strict_correct,R6_relaxed_1_correct,R6_relaxed_2_correct,R6_relaxed_3_correct,R6_strict_blockers,outcome_bucket
TB001,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",ACTIVE,supports_retrieval,YES,EXAMPLE,NO,NO,NO,YES,incident response,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,incident response,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,NO,YES,incident response,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB002,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",DESCRIPTIVE,sets_context,YES,RESULT,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,YES,YES,NO,NO,NO,NO,RESULT,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,R6_role_repair_failure
TB003,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",ACTIVE,supports_retrieval,YES,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,entity; relation; multiple,R6_role_repair_success
TB004,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",ACTIVE,limits,YES,CLAIM,NO,NO,NO,NO,permission boundary,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,permission boundary,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,permission boundary,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB005,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,entity_blocks_R6
TB006,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",ACTIVE,proposes_next_test,YES,NEXT_STEP,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB007,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",ACTIVE,supports_retrieval,YES,RESULT,NO,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,RESULT,NO,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB008,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",DESCRIPTIVE,sets_context,YES,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,R6_role_repair_failure
TB009,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",ACTIVE,supports_retrieval,YES,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,entity; relation; multiple,R6_role_repair_success
TB010,EXAMPLE,INSTANCE,ACTION,SUBSTANTIVE,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",DESCRIPTIVE,gives_example,YES,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
