segment_id,title,text,gold_role,pred_role,role_failed,gold_relation,pred_relation,relation_failed,gold_operative_status,pred_operative_status,operative_status_failed,gold_answer_relevant,pred_answer_relevant,answer_relevant_failed,gold_entities,pred_entities,entity_jaccard,entity_failed,failure_pattern,notes
HELDOUT_S0001,heldout_ai_risk_sources.md,The OECD AI principles page gives policy context for trustworthy AI and names common public-interest concerns.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,AI principles; trustworthy AI; source context,AI risk,0.000,1,role+operative_status+relation+answer_relevant+entity,Source context
HELDOUT_S0002,heldout_secure_ai_release_notes.md,A vendor white paper describes the setting for secure model release reviews and explains why release evidence is collected.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,model release review; release evidence; secure AI development,model behavior,0.000,1,role+operative_status+relation+answer_relevant+entity,Source context
HELDOUT_S0003,heldout_llm_security_sources.md,This source summarizes common LLM application security issues for readers who need document-level context before annotation.,BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,NO,MAYBE,1,LLM application security; source context,RouteMap segment,0.000,1,answer_relevant+entity,Source context
HELDOUT_S0004,heldout_nist_profile_notes.md,NIST's profile document provides background for connecting AI risk management language to procurement and assurance workflows.,BACKGROUND,METHOD,1,sets_context,recommends,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,AI risk management; risk management,NIST AI RMF; risk management; AI risk,0.250,1,role+operative_status+relation+answer_relevant+entity,Framework context
HELDOUT_S0005,heldout_owasp_update_notes.md,"OWASP maintains a project hub where prompt injection, model behavior, and application controls are discussed together.",BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,NO,MAYBE,1,prompt injection; model behavior; controls,OWASP LLM Top 10; prompt injection; model behavior,0.500,1,answer_relevant+entity,Project context
HELDOUT_S0006,heldout_privacy_guidance_notes.md,The ICO guidance explains how data protection concepts frame AI design decisions before a system is deployed.,BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,NO,MAYBE,1,data protection; privacy,ICO AI guidance; data protection; data,0.250,1,answer_relevant+entity,Guidance context
HELDOUT_S0007,heldout_eu_ai_act_notes.md,"The EU AI Act places high-risk systems within a regulatory setting that includes documentation, testing, and post-market duties.",BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,NO,MAYBE,1,EU AI Act; high-risk AI; documentation,EU AI Act; AI risk,0.250,1,answer_relevant+entity,Regulatory context
HELDOUT_S0008,heldout_route_benchmark_notes.md,"A route-extraction benchmark package contains source notes, gold labels, evaluation scripts, and mismatch review files.",BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,route extraction; evaluation scripts; mismatch review; gold labels; benchmark,benchmark,0.200,1,role+operative_status+relation+answer_relevant+entity,Dataset context
HELDOUT_S0009,heldout_agent_memory_notes.md,The project README records why long-context memory needs both raw source access and compact route pointers.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,long-context memory; source context; agent memory,agent memory; long-context systems,0.250,1,role+operative_status+relation+answer_relevant+entity,Document context
HELDOUT_S0010,heldout_cisa_roadmap_notes.md,A CISA briefing introduces AI roadmap language for critical infrastructure and cyber defence audiences.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,AI roadmap,CISA AI roadmap; AI roadmap,0.500,1,role+operative_status+relation+answer_relevant+entity,Source context
