segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,notes
HELDOUT_S0001,heldout_ai_risk_sources.md,The OECD AI principles page gives policy context for trustworthy AI and names common public-interest concerns.,BACKGROUND,CLAIM,AI principles; trustworthy AI; source context,AI risk,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Source context
HELDOUT_S0002,heldout_secure_ai_release_notes.md,A vendor white paper describes the setting for secure model release reviews and explains why release evidence is collected.,BACKGROUND,CLAIM,model release review; release evidence; secure AI development,model behavior,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Source context
HELDOUT_S0003,heldout_llm_security_sources.md,This source summarizes common LLM application security issues for readers who need document-level context before annotation.,BACKGROUND,BACKGROUND,LLM application security; source context,RouteMap segment,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,Source context
HELDOUT_S0004,heldout_nist_profile_notes.md,NIST's profile document provides background for connecting AI risk management language to procurement and assurance workflows.,BACKGROUND,METHOD,AI risk management; risk management,NIST AI RMF; risk management; AI risk,DESCRIPTIVE,ACTIVE,sets_context,recommends,NO,YES,Framework context
HELDOUT_S0005,heldout_owasp_update_notes.md,"OWASP maintains a project hub where prompt injection, model behavior, and application controls are discussed together.",BACKGROUND,BACKGROUND,prompt injection; model behavior; controls,OWASP LLM Top 10; prompt injection; model behavior,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,Project context
HELDOUT_S0006,heldout_privacy_guidance_notes.md,The ICO guidance explains how data protection concepts frame AI design decisions before a system is deployed.,BACKGROUND,BACKGROUND,data protection; privacy,ICO AI guidance; data protection; data,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,Guidance context
HELDOUT_S0007,heldout_eu_ai_act_notes.md,"The EU AI Act places high-risk systems within a regulatory setting that includes documentation, testing, and post-market duties.",BACKGROUND,BACKGROUND,EU AI Act; high-risk AI; documentation,EU AI Act; AI risk,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,Regulatory context
HELDOUT_S0008,heldout_route_benchmark_notes.md,"A route-extraction benchmark package contains source notes, gold labels, evaluation scripts, and mismatch review files.",BACKGROUND,CLAIM,route extraction; evaluation scripts; mismatch review; gold labels; benchmark,benchmark,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Dataset context
HELDOUT_S0009,heldout_agent_memory_notes.md,The project README records why long-context memory needs both raw source access and compact route pointers.,BACKGROUND,CLAIM,long-context memory; source context; agent memory,agent memory; long-context systems,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Document context
HELDOUT_S0010,heldout_cisa_roadmap_notes.md,A CISA briefing introduces AI roadmap language for critical infrastructure and cyber defence audiences.,BACKGROUND,CLAIM,AI roadmap,CISA AI roadmap; AI roadmap,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Source context
HELDOUT_S0011,heldout_ai_risk_claims.md,"Monitoring is valuable, but it should be treated as an accountability signal rather than proof of safety.",CLAIM,CLAIM,monitoring,AI risk; monitoring,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0012,heldout_risk_route_claims.md,"Risk scores are more useful when their route through data, model behavior, and user impact remains visible.",CLAIM,CLAIM,model behavior,AI risk; model behavior; data,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0014,heldout_secure_ai_claims.md,Secure AI work is stronger when control evidence travels with retrieval results instead of living in a separate checklist.,CLAIM,CLAIM,secure AI development; retrieval; evaluation,retrieval,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0016,heldout_privacy_claims.md,Privacy review cannot be reduced to checkbox language even when a formal process exists.,CLAIM,CLAIM,privacy,data protection,NEGATED,NEGATED,asserts,asserts,YES,YES,General thesis
HELDOUT_S0017,heldout_retrieval_claims.md,Route-based retrieval should help most when a question requires relation context rather than repeated keywords.,CLAIM,CLAIM,retrieval; evaluation,RouteMap; retrieval,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0018,heldout_model_card_claims.md,A model card is most valuable when it explains design choices rather than simply listing controls.,CLAIM,CLAIM,controls,model behavior,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0019,heldout_eval_claims.md,"Safety evaluation needs traceable disagreement, not just a single-number score.",CLAIM,CLAIM,evaluation,RouteMap segment,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0020,heldout_context_claims.md,"Retrieval quality depends on whether relevant segments are connected, not merely present in the context window.",CLAIM,CLAIM,retrieval; evaluation,retrieval,ACTIVE,ACTIVE,asserts,asserts,YES,YES,General thesis
HELDOUT_S0021,heldout_route_definitions.md,"Route provenance names the chain of sources, roles, and relations that support an answer.",DEFINE,CLAIM,route provenance; source context,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0022,heldout_trace_definitions.md,A retrieval trace is the ordered path from query intent to selected evidence and final answer support.,DEFINE,CLAIM,retrieval trace; answer support; retrieval; evaluation,retrieval,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0023,heldout_posture_definitions.md,"AI risk posture denotes the current exposure created by model capability, deployment context, controls, and oversight.",DEFINE,CLAIM,AI risk management; controls,AI risk; model behavior,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0024,heldout_privacy_definitions.md,"A consent boundary describes where a user permission applies, expires, or must be renewed.",DEFINE,CLAIM,privacy; permission boundary,data protection,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0025,heldout_safety_case_definitions.md,"A safety case is an argument that links system hazards, mitigations, evidence, and residual uncertainty.",DEFINE,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0026,heldout_graph_definitions.md,A dependency edge names a relationship where one passage changes the interpretation or reliability of another passage.,DEFINE,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0027,heldout_eval_definitions.md,An evaluation blind spot refers to a recurring failure that the benchmark does not make observable.,DEFINE,DEFINE,benchmark; evaluation,benchmark,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,Defines a term
HELDOUT_S0029,heldout_redteam_definitions.md,"A red-team finding records a tested weakness, the attempted exploit route, and the observed system response.",DEFINE,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
