segment_id,title,text,gold_role,pred_role,role_failed,gold_relation,pred_relation,relation_failed,gold_operative_status,pred_operative_status,operative_status_failed,gold_answer_relevant,pred_answer_relevant,answer_relevant_failed,gold_entities,pred_entities,entity_jaccard,entity_failed,failure_pattern,notes
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,AI safety evaluation; policy context; risk management,governance; evaluation,0.000,1,role+operative_status+relation+answer_relevant+entity,Policy context
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,model release governance; evidence selection; human review; audit trail,human review,0.250,1,role+operative_status+relation+answer_relevant+entity,Archive context
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,MAYBE,YES,1,privacy; consent boundary; RouteMap,privacy; RouteMap,0.667,1,role+operative_status+relation+answer_relevant+entity,Guidance context
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,MAYBE,MAYBE,0,retrieval trace; route segment; RouteMap,retrieval trace; retrieval; RouteMap segment; documentation,0.167,1,entity,Document context
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,agent memory; benchmark; risk management; source context,benchmark; agent memory,0.500,1,role+operative_status+relation+answer_relevant+entity,Briefing context
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,tool-use security; permission boundary; incident response,permission boundary,0.333,1,role+operative_status+relation+answer_relevant+entity,Vocabulary context
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,benchmark; source context; gold labels; mismatch review,mismatch review; gold labels; benchmark; source context,1.000,0,role+operative_status+relation+answer_relevant,Dataset context
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,MAYBE,YES,1,evidence selection; policy context; human review,human review; retrieval; source context; RouteMap segment,0.167,1,role+operative_status+relation+answer_relevant+entity,Primer context
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,CLAIM,1,sets_context,asserts,1,DESCRIPTIVE,ACTIVE,1,NO,YES,1,model release governance; audit trail; human review,governance; audit,0.000,1,role+operative_status+relation+answer_relevant+entity,Catalog context
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,BACKGROUND,0,sets_context,sets_context,0,DESCRIPTIVE,DESCRIPTIVE,0,NO,MAYBE,1,incident response; source context; human review,monitoring; incident response,0.250,1,answer_relevant+entity,Playbook context
HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,AI safety evaluation; evaluation; audit trail,evaluation,0.333,1,entity,Thesis
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,model release governance; evidence selection; risk management,governance,0.000,1,entity,Thesis
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,METHOD,1,asserts,recommends,1,ACTIVE,ACTIVE,0,YES,YES,0,consent boundary; permission boundary; answer support,privacy; permission boundary,0.250,1,role+relation+entity,Thesis
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,retrieval trace; answer support; evidence selection,retrieval trace; answer support; retrieval; RouteMap segment,0.400,1,entity,Thesis
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,agent memory; route provenance; source context,route provenance; agent memory; evaluation,0.500,1,entity,Thesis
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,controls; evidence selection; human review,controls; retrieval,0.250,1,entity,Thesis
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,LIMITATION,1,asserts,warns_about,1,ACTIVE,LIMITED,1,YES,YES,0,benchmark; source context; route segment,benchmark; source context; RouteMap segment,0.500,1,role+operative_status+relation+entity,Thesis
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,human review; evidence selection; retrieval trace,human review; retrieval,0.250,1,entity,Thesis
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,CLAIM,CLAIM,0,asserts,asserts,0,ACTIVE,ACTIVE,0,YES,YES,0,tool-use security; permission boundary; controls,permission boundary,0.333,1,entity,Thesis
