segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
HELDOUT2_S0001,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,AI safety evaluation; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,0.600000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
HELDOUT2_S0002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,model release governance; evidence selection; human review; audit trail,evidence selection; human review; model release governance,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
HELDOUT2_S0003,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,privacy; consent boundary; RouteMap,consent boundary; privacy; RouteMap,1.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,answer
HELDOUT2_S0004,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,retrieval trace; route segment; RouteMap,retrieval; retrieval trace; RouteMap; RouteMap segment,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
HELDOUT2_S0005,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,agent memory; benchmark; risk management; source context,agent memory; benchmark; source context,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity
HELDOUT2_S0006,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,tool-use security; permission boundary; incident response,incident response; LLM application security; permission boundary; tool-use security,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,entity+answer
HELDOUT2_S0007,BACKGROUND,RESULT,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,benchmark; source context; gold labels; mismatch review,benchmark; gold labels; human review; mismatch review; source context,0.800000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,YES,role+entity+answer
HELDOUT2_S0008,BACKGROUND,CLAIM,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,evidence selection; policy context; human review,evidence selection; human review; policy context; RouteMap; RouteMap segment,0.600000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,YES,role+entity+answer
HELDOUT2_S0009,BACKGROUND,METHOD,CONTEXT,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,model release governance; audit trail; human review,audit trail; governance; model release governance,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,YES,role+entity+answer
HELDOUT2_S0010,BACKGROUND,LIMITATION,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,incident response; source context; human review,incident response,0.333333,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,YES,role+entity+answer
HELDOUT2_S0011,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,AI safety evaluation; evaluation; audit trail,AI safety evaluation; audit trail; evaluation,1.000000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,none
HELDOUT2_S0012,CLAIM,METHOD,ASSERTION,ACTION,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,model release governance; evidence selection; risk management,governance; model release governance,0.250000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,role+entity
HELDOUT2_S0013,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,consent boundary; permission boundary; answer support,consent boundary; permission boundary,0.666667,ACTIVE,LIMITED,asserts,limits,YES,YES,role+entity+status+relation
HELDOUT2_S0014,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,retrieval trace; answer support; evidence selection,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,0.333333,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
HELDOUT2_S0015,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,agent memory; route provenance; source context,agent memory; route provenance,0.666667,ACTIVE,DESCRIPTIVE,asserts,warns_about,YES,YES,entity+status+relation
HELDOUT2_S0016,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,controls; evidence selection; human review,controls; retrieval,0.250000,ACTIVE,LIMITED,asserts,limits,YES,YES,entity+status+relation
HELDOUT2_S0017,CLAIM,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,benchmark; source context; route segment,benchmark; RouteMap; RouteMap segment; source context,0.750000,ACTIVE,DESCRIPTIVE,asserts,warns_about,YES,NO,role+entity+status+relation+answer
HELDOUT2_S0018,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,human review; evidence selection; retrieval trace,evidence selection; human review,0.666667,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
HELDOUT2_S0019,CLAIM,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,tool-use security; permission boundary; controls,LLM application security; permission boundary; tool-use security,0.500000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,role+entity
HELDOUT2_S0020,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,audit trail; answer support; evaluation,answer support; audit trail,0.666667,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity
HELDOUT2_S0021,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,route provenance; source context; evidence selection; answer support,answer support; evidence selection; route provenance; source context,1.000000,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,relation
HELDOUT2_S0022,DEFINE,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,retrieval trace; evidence selection; answer support,evidence selection; retrieval; retrieval trace,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,role+entity+relation
HELDOUT2_S0023,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,consent boundary; permission boundary; privacy,consent boundary; permission boundary,0.666667,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
HELDOUT2_S0024,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,model release governance; evaluation; risk management,evaluation; governance; model release governance,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
HELDOUT2_S0025,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,agent memory; route extraction; source context,agent memory,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,entity+relation
HELDOUT2_S0026,DEFINE,METHOD,ASSERTION,ACTION,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,route segment; route extraction; RouteMap,retrieval; RouteMap; RouteMap segment,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,role+entity+relation
HELDOUT2_S0027,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,answer support; evidence selection; retrieval trace,answer support,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,entity+relation
HELDOUT2_S0028,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,audit trail; human review; model release governance,audit trail; human review; retrieval,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity
HELDOUT2_S0029,DEFINE,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,controls; tool-use security; permission boundary,controls,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,role+entity+relation
HELDOUT2_S0030,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,human review; evidence selection; controls,human review,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,sets_context,YES,YES,entity+relation
HELDOUT2_S0031,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,answer support; retrieval trace; human review,evaluation; retrieval; retrieval trace,0.200000,ACTIVE,ACTIVE,recommends,asserts,YES,YES,entity+relation
HELDOUT2_S0032,METHOD,EXAMPLE,ACTION,INSTANCE,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,model release governance; evidence selection; human review,human review,0.333333,ACTIVE,DESCRIPTIVE,recommends,sets_context,YES,YES,role+entity+status+relation
HELDOUT2_S0033,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,consent boundary; permission boundary; evidence selection,consent boundary; permission boundary; privacy,0.500000,ACTIVE,DESCRIPTIVE,maps_to,sets_context,YES,YES,entity+status+relation
