segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,entity_exact,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,civicaid permit triage; council service requests; human officer; payment status; permit evidence; planning questions,incident response,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,complaint; missing-document evidence; permit query; residents,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB003,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,deadline sensitivity; new decision; request type; required evidence; status,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB004,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,approval; assistant; legal evidence; partial screenshot; planning permission,permission boundary,0.000000,NO,ACTIVE,ACTIVE,limits,asserts,YES,YES,role+entity+relation
TB005,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,archived requests; missing attachments; pilot review; resident intent; routing errors,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB006,NEXT_STEP,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,blind annotation batch; council-style messages; manual triage spreadsheet; route classifier,,0.000000,NO,ACTIVE,DESCRIPTIVE,proposes_next_test,sets_context,YES,YES,role+entity+status+relation
TB007,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,containers; gate-out confirmation; harborflow; logistics exception tracker,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB008,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,carrier delay; customs hold; email chains; port team,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB009,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,accountable party; cause; exception; financial exposure; last verified timestamp; operations lead,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB010,EXAMPLE,BACKGROUND,INSTANCE,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,cold-chain risk; compliance review; inspection seal; refrigerated container; temperature alarm,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,gives_example,sets_context,YES,YES,role+entity+relation
TB011,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,cargo value; commodity notes; verified shipment record,,0.000000,NO,ACTIVE,ACTIVE,limits,asserts,YES,YES,role+entity+relation
TB012,NEXT_STEP,LIMITATION,ACTION,CAVEAT,ACTION,CAVEAT,SUBSTANTIVE,CAVEAT,confirmed owner; dwell time; exception; forty-eight hours,,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,limits,YES,YES,role+entity+relation
TB013,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,appointment delays; backlog monitor; clinician dependency; clinicpulse; pathway; patient-contact status; urgency,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB014,BACKGROUND,CLAIM,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,administrative booking; clinic manager; clinical review; patients,,0.000000,NO,DESCRIPTIVE,ACTIVE,sets_context,asserts,YES,YES,role+entity+status+relation
TB015,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,backlog note; blocker type; current wait age; pathway name; responsible role; route map,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB016,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,clinical risk wording; days since referral; urgent flag,,0.000000,NO,ACTIVE,DESCRIPTIVE,maps_to,sets_context,YES,YES,role+entity+status+relation
TB017,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,administrative blockers; booking teams; queue; sample,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
TB018,LIMITATION,BACKGROUND,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,evaluation; model prompt; patient identifiers; re-identification key; synthetic ids,evaluation,0.200000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,YES,role+entity+status+relation
TB019,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,battery storage sites; gridlens; inverter faults; state-of-charge anomalies; technician dispatch; thermal alerts,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB020,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,engineer notes; maintenance team; repeated faults; telemetry summaries,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,MAYBE,entity+answer
TB021,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,asset; recommended intervention; recurrence count; safety implication; severity; symptom,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,entity+status+relation+answer
TB022,LIMITATION,BACKGROUND,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,alert; operational incident; planned firmware test; scheduled work,,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,YES,role+entity+status+relation
TB023,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,balancing events; dry run; inverter trips; model; thermal warnings,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB024,NEXT_STEP,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,blind set; engineer notes; production alert rules,,0.000000,NO,ACTIVE,DESCRIPTIVE,proposes_next_test,sets_context,YES,YES,role+entity+status+relation
TB025,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,assessment target; concept gap; confidence issue; learning routes; parent follow-up; practice need; tutoring notes; tutortrail,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB026,BACKGROUND,LIMITATION,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,ability; behaviour; homework completion; lesson plan; tutors,,0.000000,NO,DESCRIPTIVE,LIMITED,sets_context,limits,YES,YES,role+entity+status+relation
TB027,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,conceptual issue; evidence sentence; exercise type; fluency-based issue; misconception; topic,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
