segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",incident response,0.000000,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB002,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB003,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",,0.000000,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB004,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",permission boundary,0.000000,ACTIVE,ACTIVE,limits,asserts,YES,YES,role+entity+relation
TB005,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",,0.000000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB006,NEXT_STEP,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",,0.000000,ACTIVE,DESCRIPTIVE,proposes_next_test,sets_context,YES,YES,role+entity+status+relation
TB007,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",,0.000000,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB008,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB009,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",,0.000000,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB010,EXAMPLE,BACKGROUND,INSTANCE,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,sets_context,YES,YES,role+entity+relation
