segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,BACKGROUND,AI safety evaluation; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,0.600000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity_exact
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,BACKGROUND,audit trail; evidence selection; human review; model release governance,evidence selection; human review; model release governance,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,answer+entity_exact
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,BACKGROUND,consent boundary; privacy; RouteMap,consent boundary; privacy; RouteMap,1.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,answer
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap; RouteMap segment,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,answer+entity_exact
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",BACKGROUND,BACKGROUND,agent memory; benchmark; risk management; source context,agent memory; benchmark; source context,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,NO,entity_exact
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,BACKGROUND,incident response; permission boundary; tool-use security,incident response; LLM application security; permission boundary; tool-use security,0.750000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,answer+entity_exact
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",BACKGROUND,RESULT,benchmark; gold labels; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,0.800000,DESCRIPTIVE,DESCRIPTIVE,sets_context,reports_usefulness,NO,YES,role+relation+answer+entity_exact
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,CLAIM,evidence selection; human review; policy context,evidence selection; human review; policy context; RouteMap; RouteMap segment,0.600000,DESCRIPTIVE,ACTIVE,sets_context,asserts,MAYBE,YES,role+status+relation+answer+entity_exact
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,METHOD,audit trail; human review; model release governance,audit trail; governance; model release governance,0.500000,DESCRIPTIVE,ACTIVE,sets_context,recommends,NO,YES,role+status+relation+answer+entity_exact
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,LIMITATION,human review; incident response; source context,incident response,0.333333,DESCRIPTIVE,LIMITED,sets_context,limits,NO,YES,role+status+relation+answer+entity_exact+entity_jaccard_lt_0.5
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",CLAIM,METHOD,evidence selection; model release governance; risk management,governance; model release governance,0.250000,ACTIVE,ACTIVE,asserts,recommends,YES,YES,role+relation+entity_exact+entity_jaccard_lt_0.5
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,LIMITATION,answer support; consent boundary; permission boundary,consent boundary; permission boundary,0.666667,ACTIVE,LIMITED,asserts,limits,YES,YES,role+status+relation+entity_exact
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,answer support; evidence selection; retrieval trace,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,0.333333,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,agent memory; route provenance; source context,agent memory; route provenance,0.666667,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,controls; evidence selection; human review,controls; retrieval,0.250000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,BACKGROUND,benchmark; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,0.750000,ACTIVE,DESCRIPTIVE,asserts,sets_context,YES,NO,role+status+relation+answer+entity_exact
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,evidence selection; human review; retrieval trace,evidence selection; human review,0.666667,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,CLAIM,EXAMPLE,controls; permission boundary; tool-use security,LLM application security; permission boundary; tool-use security,0.500000,ACTIVE,DESCRIPTIVE,asserts,gives_example,YES,YES,role+status+relation+entity_exact
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,DEFINE,answer support; audit trail; evaluation,answer support; audit trail,0.666667,ACTIVE,DESCRIPTIVE,asserts,defines,YES,YES,role+status+relation+entity_exact
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,CLAIM,answer support; evidence selection; retrieval trace,evidence selection; retrieval; retrieval trace,0.500000,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,role+status+relation+entity_exact
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,DEFINE,consent boundary; permission boundary; privacy,consent boundary; permission boundary,0.666667,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,DEFINE,evaluation; model release governance; risk management,evaluation; governance; model release governance,0.500000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact
