doc_id,segment_id,title,segment_index,text,sample_role,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,notes,pred_role_v2_noleak
DOC0002,DOC0002_S0004,02_ncsc_secure_ai_development_route_notes.md,3,"Secure AI system development means designing, building, deploying, operating, and maintaining AI systems with explicit security responsibilities and mitigations at each stage.",DEFINE,DEFINE,,,,,Kept sample_role,METHOD
DOC0001,DOC0001_S0001,01_nist_ai_rmf_route_notes.md,0,# NIST AI Risk Management Framework — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0001,DOC0001_S0002,01_nist_ai_rmf_route_notes.md,1,"## Source Metadata - Primary URL: https://www.nist.gov/itl/ai-risk-management-framework - PDF URL: https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0001,DOC0001_S0004,01_nist_ai_rmf_route_notes.md,3,"AI risk management is the structured process of identifying, measuring, prioritising, and responding to potential harms that may arise from AI design, development, deployment, or use.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,DEFINE
DOC0001,DOC0001_S0005,01_nist_ai_rmf_route_notes.md,4,"AI risk is not only a model property. It also depends on data, people, deployment setting, organisational process, affected communities, and monitoring over time.",CLAIM,CLAIM,,,,,Kept sample_role,METHOD
DOC0002,DOC0002_S0001,02_ncsc_secure_ai_development_route_notes.md,0,# NCSC Secure AI System Development — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0002,DOC0002_S0002,02_ncsc_secure_ai_development_route_notes.md,1,"## Source Metadata - Primary URL: https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development - PDF URL: https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0002,DOC0002_S0006,02_ncsc_secure_ai_development_route_notes.md,5,"Security outcomes cannot be delegated entirely to end users; organisations building AI systems need to take responsibility for foreseeable misuse, monitoring, updates, and transparency.",CLAIM,CLAIM,,,,,Kept sample_role,METHOD
DOC0002,DOC0002_S0007,02_ncsc_secure_ai_development_route_notes.md,6,"Secure operation includes logging, monitoring, update management, incident response planning, and information sharing after deployment.",CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,EXAMPLE
DOC0002,DOC0002_S0009,02_ncsc_secure_ai_development_route_notes.md,8,"RouteMap should test whether scattered passages about design, deployment, and maintenance are linked as a single lifecycle chain.",CLAIM,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,NEXT_STEP
DOC0003,DOC0003_S0001,03_owasp_llm_top10_route_notes.md,0,# OWASP Top 10 for LLM Applications — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0003,DOC0003_S0002,03_owasp_llm_top10_route_notes.md,1,"## Source Metadata - Primary URL: https://owasp.org/www-project-top-10-for-large-language-model-applications/ - Alternate URL: https://genai.owasp.org/llm-top-10/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0003,DOC0003_S0004,03_owasp_llm_top10_route_notes.md,3,"An LLM application risk is a vulnerability pattern that can allow the model, surrounding tools, data pipeline, or agent workflow to behave insecurely or expose sensitive information.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,DEFINE
DOC0003,DOC0003_S0005,03_owasp_llm_top10_route_notes.md,4,"LLM security differs from ordinary web security because prompts, tool access, retrieval context, model outputs, and agent autonomy all become part of the attack surface.",CLAIM,CLAIM,,,,,Kept sample_role,CLAIM
DOC0003,DOC0003_S0007,03_owasp_llm_top10_route_notes.md,6,Prompt injection should be annotated as a threat route where untrusted input modifies the model's intended instruction path.,CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,CLAIM
DOC0004,DOC0004_S0001,04_ico_ai_data_protection_route_notes.md,0,# ICO AI and Data Protection Guidance — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0004,DOC0004_S0002,04_ico_ai_data_protection_route_notes.md,1,"## Source Metadata - Primary URL: https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0004,DOC0004_S0004,04_ico_ai_data_protection_route_notes.md,3,"Personal data in AI includes information relating to an identified or identifiable person, including data used in training, testing, deployment, profiling, or explanation.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,DEFINE
DOC0004,DOC0004_S0005,04_ico_ai_data_protection_route_notes.md,4,"AI systems can create data protection risks because they may process large datasets, infer sensitive attributes, automate decisions, or make explanations difficult.",CLAIM,CLAIM,,,,,Kept sample_role,METHOD
DOC0004,DOC0004_S0008,04_ico_ai_data_protection_route_notes.md,7,A model that predicts user behaviour from behavioural data may require a privacy assessment even if it does not directly reveal the training data.,CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,METHOD
DOC0005,DOC0005_S0001,05_google_saif_route_notes.md,0,# Google Secure AI Framework — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0005,DOC0005_S0002,05_google_saif_route_notes.md,1,"## Source Metadata - Primary URL: https://safety.google/intl/en_sg/safety/saif/ - Alternate URL: https://cloud.google.com/use-cases/secure-ai-framework - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0005,DOC0005_S0004,05_google_saif_route_notes.md,3,"A secure AI framework is a set of practices for protecting AI systems, data, models, users, and deployment environments across the lifecycle.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,DEFINE
DOC0005,DOC0005_S0007,05_google_saif_route_notes.md,6,A data poisoning scenario should be labelled as a risk route where untrusted data enters training or retrieval and changes downstream behaviour.,CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,EXAMPLE
DOC0005,DOC0005_S0009,05_google_saif_route_notes.md,8,RouteMap should test whether the system links security controls to the risks they mitigate.,CLAIM,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,NEXT_STEP
DOC0006,DOC0006_S0001,06_microsoft_responsible_ai_standard_route_notes.md,0,# Microsoft Responsible AI Standard — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0006,DOC0006_S0002,06_microsoft_responsible_ai_standard_route_notes.md,1,"## Source Metadata - Primary URL: https://www.microsoft.com/en-us/ai/principles-and-approach - PDF URL: https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/Microsoft-Responsible-AI-Standard-General-Requirements.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0006,DOC0006_S0004,06_microsoft_responsible_ai_standard_route_notes.md,3,"A responsible AI standard converts broad principles into product-development requirements, governance checkpoints, and review practices.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,CLAIM
DOC0006,DOC0006_S0005,06_microsoft_responsible_ai_standard_route_notes.md,4,"Principles alone are not sufficient unless they are connected to concrete engineering, review, and accountability processes.",CLAIM,CLAIM,,,,,Kept sample_role,METHOD
DOC0006,DOC0006_S0010,06_microsoft_responsible_ai_standard_route_notes.md,9,RouteMap should test whether it can distinguish aspirational principle language from enforceable process language.,CLAIM,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,NEXT_STEP
DOC0007,DOC0007_S0001,07_cisa_ai_roadmap_route_notes.md,0,"## Source Metadata - Primary URL: https://www.cisa.gov/resources-tools/resources/roadmap-ai - PDF URL: https://www.cisa.gov/sites/default/files/2025-04/ARCHIVE_20232024CISARoadmapAI508.pdf - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0007,DOC0007_S0003,07_cisa_ai_roadmap_route_notes.md,2,"An AI roadmap is a strategic plan that links organisational mission, capabilities, risks, governance, and operational priorities.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,LIMITATION
DOC0007,DOC0007_S0004,07_cisa_ai_roadmap_route_notes.md,3,"AI can improve cyber defence, but it can also expand adversary capabilities, introduce new dependencies, and require new forms of assurance.",CLAIM,CLAIM,,,,,Kept sample_role,CLAIM
DOC0007,DOC0007_S0009,07_cisa_ai_roadmap_route_notes.md,8,A passage about using AI to improve cyber operations should be treated differently from a passage warning about adversarial AI misuse.,CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,EXAMPLE
DOC0008,DOC0008_S0001,08_eu_ai_act_risk_management_route_notes.md,0,# EU AI Act Risk Management — Route Notes,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0008,DOC0008_S0002,08_eu_ai_act_risk_management_route_notes.md,1,"## Source Metadata - Primary URL: https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-9 - Alternate URL: https://artificialintelligenceact.eu/article/9/ - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0008,DOC0008_S0004,08_eu_ai_act_risk_management_route_notes.md,3,"A risk management system for high-risk AI is a continuous process for identifying, analysing, evaluating, mitigating, and reviewing risks across the system lifecycle.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,METHOD
DOC0008,DOC0008_S0005,08_eu_ai_act_risk_management_route_notes.md,4,Risk management is not a one-time document; it must be maintained and updated as the AI system and its deployment conditions change.,CLAIM,CLAIM,,,,,Kept sample_role,LIMITATION
DOC0008,DOC0008_S0008,08_eu_ai_act_risk_management_route_notes.md,7,A model used in a high-risk setting may require special attention to vulnerable groups and foreseeable misuse.,CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,LIMITATION
DOC0009,DOC0009_S0001,09_route_extraction_benchmark_design_notes.md,0,# Route Extraction Benchmark Design — Seed Document,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0009,DOC0009_S0002,09_route_extraction_benchmark_design_notes.md,1,"## Source Metadata - Primary URL: local://routemap-benchmark-design - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0009,DOC0009_S0009,09_route_extraction_benchmark_design_notes.md,8,The next benchmark version should include 100 to 300 human-labelled passages and 20 to 75 QA queries.,CLAIM,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,NEXT_STEP
