variant,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB001,CivicAid Permit Triage; council service requests; planning questions; permit evidence; payment status; human officer,CivicAid Permit Triage; CivicAid Permit; council service requests; council service requests separating; evidence payment status; human officer reviews; Permit; permit evidence payment,6,8,5,0.625000,0.833333,0.714286,0.555556,"[{""gold"": ""CivicAid Permit Triage"", ""pred"": ""CivicAid Permit Triage"", ""score"": 1.0}, {""gold"": ""council service requests"", ""pred"": ""council service requests"", ""score"": 1.0}, {""gold"": ""permit evidence"", ""pred"": ""permit evidence payment"", ""score"": 0.7894736842105263}, {""gold"": ""human officer"", ""pred"": ""human officer reviews"", ""score"": 0.7878787878787878}, {""gold"": ""payment status"", ""pred"": ""evidence payment status"", ""score"": 0.7428571428571429}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB002,residents; complaint; permit query; missing-document evidence,long message containing; often submit one; often submit one long; one long message; one long message containing; residents often submit; residents often submit one; submit one long,4,8,0,0.000000,0.000000,0.000000,0.000000,[]
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB003,request type; required evidence; deadline sensitivity; status; new decision,classify each sentence; evidence deadline sensitivity; request type required; request type required evidence; required evidence deadline; required evidence deadline sensitivity; type required evidence; type required evidence deadline,5,8,3,0.375000,0.600000,0.461538,0.300000,"[{""gold"": ""required evidence"", ""pred"": ""type required evidence"", ""score"": 0.8717948717948718}, {""gold"": ""deadline sensitivity"", ""pred"": ""evidence deadline sensitivity"", ""score"": 0.8163265306122449}, {""gold"": ""request type"", ""pred"": ""request type required"", ""score"": 0.7272727272727273}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB004,assistant; planning permission; approval; partial screenshot; legal evidence,issue planning permission; issue planning permission promise; permission promise approval; planning permission promise; planning permission promise approval; sufficient legal evidence; assistant must; issue planning,5,8,3,0.375000,0.600000,0.461538,0.300000,"[{""gold"": ""planning permission"", ""pred"": ""issue planning permission"", ""score"": 0.8636363636363636}, {""gold"": ""assistant"", ""pred"": ""assistant must"", ""score"": 0.782608695652174}, {""gold"": ""legal evidence"", ""pred"": ""sufficient legal evidence"", ""score"": 0.717948717948718}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB005,pilot review; archived requests; routing errors; missing attachments; resident intent,archived requests found; fifty archived requests; fifty archived requests found; most routing errors; most routing errors came; resident s intent; routing errors came; archived requests,5,8,3,0.375000,0.600000,0.461538,0.300000,"[{""gold"": ""archived requests"", ""pred"": ""archived requests"", ""score"": 1.0}, {""gold"": ""resident intent"", ""pred"": ""resident s intent"", ""score"": 0.9375}, {""gold"": ""routing errors"", ""pred"": ""most routing errors"", ""score"": 0.8387096774193549}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB006,blind annotation batch; council-style messages; route classifier; manual triage spreadsheet,blind annotation batch; current manual triage; current manual triage spreadsheet; manual triage spreadsheet; Next build; route classifier against; unseen council-style messages; annotation batch,4,8,4,0.500000,1.000000,0.666667,0.500000,"[{""gold"": ""blind annotation batch"", ""pred"": ""blind annotation batch"", ""score"": 1.0}, {""gold"": ""manual triage spreadsheet"", ""pred"": ""manual triage spreadsheet"", ""score"": 1.0}, {""gold"": ""council-style messages"", ""pred"": ""unseen council-style messages"", ""score"": 0.8571428571428571}, {""gold"": ""route classifier"", ""pred"": ""route classifier against"", ""score"": 0.8}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB007,HarborFlow; logistics exception tracker; containers; gate-out confirmation,delayed inspected damaged; logistics exception tracker; missing gate-out confirmation; delayed inspected; exception tracker; gate-out confirmation; inspected damaged; logistics exception,4,8,2,0.250000,0.500000,0.333333,0.200000,"[{""gold"": ""gate-out confirmation"", ""pred"": ""gate-out confirmation"", ""score"": 1.0}, {""gold"": ""logistics exception tracker"", ""pred"": ""logistics exception tracker"", ""score"": 1.0}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB008,port team; email chains; customs hold; carrier delay,currently handles exceptions; currently handles exceptions through; exceptions through email; exceptions through email chains; handles exceptions through; handles exceptions through email; port team currently; port team currently handles,4,8,1,0.125000,0.250000,0.166667,0.090909,"[{""gold"": ""port team"", ""pred"": ""port team currently"", ""score"": 0.6428571428571429}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB009,exception; cause; accountable party; last verified timestamp; financial exposure; operations lead,accountable party last; accountable party last verified; cause accountable party; cause accountable party last; Each exception; last verified timestamp; operations lead sees; party last verified,6,8,4,0.500000,0.666667,0.571429,0.400000,"[{""gold"": ""last verified timestamp"", ""pred"": ""last verified timestamp"", ""score"": 1.0}, {""gold"": ""operations lead"", ""pred"": ""operations lead sees"", ""score"": 0.875}, {""gold"": ""accountable party"", ""pred"": ""accountable party last"", ""score"": 0.8717948717948718}, {""gold"": ""exception"", ""pred"": ""Each exception"", ""score"": 0.782608695652174}]"
noun_chunks_topk,M3_fuzzy_difflib,0.6,TB010,refrigerated container; temperature alarm; inspection seal; cold-chain risk; compliance review,both cold-chain risk; missing inspection seal; both cold-chain; cold-chain risk; compliance review; inspection seal; missing inspection; refrigerated container,5,8,4,0.500000,0.800000,0.615385,0.444444,"[{""gold"": ""cold-chain risk"", ""pred"": ""cold-chain risk"", ""score"": 1.0}, {""gold"": ""compliance review"", ""pred"": ""compliance review"", ""score"": 1.0}, {""gold"": ""inspection seal"", ""pred"": ""inspection seal"", ""score"": 1.0}, {""gold"": ""refrigerated container"", ""pred"": ""refrigerated container"", ""score"": 1.0}]"
