segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse5_correct,D_coarse5_correct,R6_coarse5_correct,combined_coarse4_correct,D_coarse4_correct,R6_coarse4_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
HELDOUT2_S0001,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AI safety evaluation; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,0.600000,0.600000,0.600000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,model release governance; evidence selection; human review; audit trail,evidence selection; human review; model release governance,evidence selection; human review; model release governance,evidence selection; human review; model release governance,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
HELDOUT2_S0003,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,privacy; consent boundary; RouteMap,consent boundary; privacy; RouteMap,consent boundary; privacy; RouteMap,consent boundary; privacy; RouteMap,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,answer_blocks_R6,answer
HELDOUT2_S0004,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,retrieval trace; route segment; RouteMap,retrieval; retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap; RouteMap segment,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
HELDOUT2_S0005,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,agent memory; benchmark; risk management; source context,agent memory; benchmark; source context,agent memory; benchmark; source context,agent memory; benchmark; source context,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0006,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,tool-use security; permission boundary; incident response,incident response; LLM application security; permission boundary; tool-use security,incident response; LLM application security; permission boundary; tool-use security,incident response; LLM application security; permission boundary; tool-use security,0.750000,0.750000,0.750000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
HELDOUT2_S0007,BACKGROUND,RESULT,BACKGROUND,RESULT,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,benchmark; source context; gold labels; mismatch review,benchmark; gold labels; human review; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,0.800000,0.800000,0.800000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,reports_usefulness,sets_context,reports_usefulness,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; relation; answer; multiple
HELDOUT2_S0008,BACKGROUND,CLAIM,BACKGROUND,CLAIM,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,evidence selection; policy context; human review,evidence selection; human review; policy context; RouteMap; RouteMap segment,evidence selection; human review; policy context; RouteMap; RouteMap segment,evidence selection; human review; policy context; RouteMap; RouteMap segment,0.600000,0.600000,0.600000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,sets_context,asserts,sets_context,asserts,NO,YES,NO,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
HELDOUT2_S0009,BACKGROUND,METHOD,BACKGROUND,METHOD,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,model release governance; audit trail; human review,audit trail; governance; model release governance,audit trail; governance; model release governance,audit trail; governance; model release governance,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,sets_context,recommends,sets_context,recommends,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
HELDOUT2_S0010,BACKGROUND,LIMITATION,BACKGROUND,LIMITATION,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,incident response; source context; human review,incident response,incident response,incident response,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,LIMITED,DESCRIPTIVE,LIMITED,NO,YES,NO,sets_context,limits,sets_context,limits,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
