split,segment_id,dataset_family,boundary_pair,title,text,gold_role,contrast_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,difficulty,notes
expanded_train_v2,EXPAND_S0001,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0001.md,A route-aware system loses answer support when model release governance is separated from route extraction.,CLAIM,DEFINE,model release governance; route extraction; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0002,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0002.md,privacy should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,privacy; human review; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0005,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0005.md,retrieval trace should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0006,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0006.md,route provenance improves RouteMap reliability only when gold labels remains visible to downstream reviewers.,CLAIM,DEFINE,route provenance; gold labels; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0007,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0007.md,A route-aware system loses answer support when RouteMap is separated from LLM application security.,CLAIM,DEFINE,RouteMap; LLM application security; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0008,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0008.md,route extraction should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,route extraction; privacy; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0010,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0010.md,A route-aware system loses answer support when evaluation is separated from route extraction.,CLAIM,DEFINE,evaluation; route extraction; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0011,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0011.md,human review should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,human review; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0012,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0012.md,evidence selection improves RouteMap reliability only when incident response remains visible to downstream reviewers.,CLAIM,DEFINE,evidence selection; incident response; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0013,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0013.md,A route-aware system loses answer support when tool-use security is separated from answer support.,CLAIM,DEFINE,tool-use security; answer support; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0016,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0016.md,A route-aware system loses answer support when audit trail is separated from LLM application security.,CLAIM,DEFINE,audit trail; LLM application security; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0017,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0017.md,answer support should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,answer support; privacy; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0018,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0018.md,policy context improves RouteMap reliability only when retrieval trace remains visible to downstream reviewers.,CLAIM,DEFINE,policy context; retrieval trace; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0019,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0019.md,A route-aware system loses answer support when controls is separated from route extraction.,CLAIM,DEFINE,controls; route extraction; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0020,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0020.md,risk management should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,DEFINE,risk management; human review,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0022,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0022.md,A route-aware system loses answer support when mismatch review is separated from answer support.,CLAIM,DEFINE,mismatch review; answer support; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0024,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0024.md,RouteMap segment improves RouteMap reliability only when gold labels remains visible to downstream reviewers.,CLAIM,DEFINE,RouteMap segment; gold labels; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0025,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0025.md,A route-aware system loses answer support when secure AI development is separated from LLM application security.,CLAIM,DEFINE,secure AI development; LLM application security; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than DEFINE for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0026,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0026.md,The phrase LLM application security marks the identity of the route feature connected to privacy.,DEFINE,CLAIM,LLM application security; privacy,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0027,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0027.md,AI safety evaluation names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,AI safety evaluation; retrieval trace,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0030,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0030.md,consent boundary names the boundary where incident response becomes part of the route record.,DEFINE,CLAIM,consent boundary; incident response,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
