gold_entity,mapped_canonical,confidence,support_count,example_rows,reason,approved
ability,,none,0,,no_candidate,
access control,controls,low,1,TB061,cooccurs_without_string_match,
accountable party,,none,0,,no_candidate,
action,,none,0,,no_candidate,
administrative blockers,,none,0,,no_candidate,
administrative booking,,none,0,,no_candidate,
agency notification,,none,0,,no_candidate,
alert,,none,0,,no_candidate,
alerts,controls,low,1,TB032,cooccurs_without_string_match,
another piece,,none,0,,no_candidate,
appointment delays,,none,0,,no_candidate,
approval,permission boundary,low,1,TB004,cooccurs_without_string_match,
approval bypasses,controls,low,1,TB031,cooccurs_without_string_match,
approval gate,controls,low,1,TB033,cooccurs_without_string_match,
approver,controls,low,2,TB032; TB036,cooccurs_without_string_match,
archived requests,,none,0,,no_candidate,
assessment target,,none,0,,no_candidate,
asset,,none,0,,no_candidate,
assistant,permission boundary,low,1,TB004,cooccurs_without_string_match,
audit,,none,0,,no_candidate,
backlog monitor,,none,0,,no_candidate,
backlog note,,none,0,,no_candidate,
balancing events,,none,0,,no_candidate,
bank-detail changes,controls,low,1,TB031,cooccurs_without_string_match,
basic algebra,,none,0,,no_candidate,
battery storage sites,,none,0,,no_candidate,
behaviour,,none,0,,no_candidate,
blind annotation batch,,none,0,,no_candidate,
blind corpus,benchmark,low,1,TB048,cooccurs_without_string_match,
blind review set,evaluation,low,1,TB042,cooccurs_without_string_match,
blind set,evaluation,low,1,TB066,cooccurs_without_string_match,
blocked culvert reports,,none,0,,no_candidate,
blocked culverts,,none,0,,no_candidate,
blocker type,,none,0,,no_candidate,
booking teams,,none,0,,no_candidate,
borderline cases,human review,low,1,TB030,cooccurs_without_string_match,
bridge-depth notes,,none,0,,no_candidate,
busy event,,none,0,,no_candidate,
calibration rule,,none,0,,no_candidate,
carbon evidence,,none,0,,no_candidate,
cargo value,,none,0,,no_candidate,
carrier delay,,none,0,,no_candidate,
case,controls,low,1,TB036,cooccurs_without_string_match,
case handlers,,none,0,,no_candidate,
case route,,none,0,,no_candidate,
case summaries,benchmark,low,1,TB048,cooccurs_without_string_match,
catalogue descriptions,,none,0,,no_candidate,
catalogue notes,evaluation,low,1,TB072,cooccurs_without_string_match,
cause,,none,0,,no_candidate,
certificate number,,none,0,,no_candidate,
certification,,none,0,,no_candidate,
certification status,,none,0,,no_candidate,
civicaid permit triage,incident response,low,1,TB001,cooccurs_without_string_match,
claim,,none,0,,no_candidate,
client,,none,0,,no_candidate,
client instruction,,none,0,,no_candidate,
clinic manager,,none,0,,no_candidate,
clinical review,,none,0,,no_candidate,
clinical risk wording,,none,0,,no_candidate,
clinician dependency,,none,0,,no_candidate,
clinicpulse,,none,0,,no_candidate,
cold-chain risk,,none,0,,no_candidate,
commodity notes,,none,0,,no_candidate,
complaint,,none,0,,no_candidate,
compliance review,,none,0,,no_candidate,
concept gap,,none,0,,no_candidate,
conceptual issue,,none,0,,no_candidate,
condition concern,,none,0,,no_candidate,
confidence,,none,0,,no_candidate,
confidence issue,,none,0,,no_candidate,
confidentiality,human review,low,1,TB046,cooccurs_without_string_match,
confirmed owner,,none,0,,no_candidate,
conservation risk,,none,0,,no_candidate,
containers,,none,0,,no_candidate,
contract draft,,none,0,,no_candidate,
control,controls,high,1,TB033,punctuation_or_singular_match; matches_existing_ontology_synonym_or_canonical_form,yes
cosmetic defect,,none,0,,no_candidate,
council service requests,incident response,low,1,TB001,cooccurs_without_string_match,
council-style messages,,none,0,,no_candidate,
counsel review,,none,0,,no_candidate,
crowd flow,controls,low,1,TB061,cooccurs_without_string_match,
crowd-flow monitoring,,none,0,,no_candidate,
curator,evaluation,low,1,TB072,cooccurs_without_string_match,
curators,,none,0,,no_candidate,
current owner,,none,0,,no_candidate,
current wait age,,none,0,,no_candidate,
customs hold,,none,0,,no_candidate,
data gap,,none,0,,no_candidate,
data-gap detection,,none,0,,no_candidate,
days since referral,,none,0,,no_candidate,
deadline,,none,0,,no_candidate,
deadline reminders,,none,0,,no_candidate,
deadline sensitivity,,none,0,,no_candidate,
defect type,,none,0,,no_candidate,
digitisation need,,none,0,,no_candidate,
digitisation needs,,none,0,,no_candidate,
disclosure deadline,,none,0,,no_candidate,
display recommendation,,none,0,,no_candidate,
document type,,none,0,,no_candidate,
downtime label,,none,0,,no_candidate,
downtime risk,,none,0,,no_candidate,
dry run,,none,0,,no_candidate,
due date,,none,0,,no_candidate,
duplicate check,controls,low,1,TB034,cooccurs_without_string_match,
duplicate invoice patterns,controls,low,1,TB031,cooccurs_without_string_match,
duplicate invoices,controls,low,1,TB035,cooccurs_without_string_match,
duty officer,,none,0,,no_candidate,
dwell time,,none,0,,no_candidate,
email chains,,none,0,,no_candidate,
engineer notes,,none,0,,no_candidate,
escalating risk,,none,0,,no_candidate,
evaluation,evaluation,high,1,TB072,punctuation_or_singular_match; matches_existing_ontology_synonym_or_canonical_form,yes
evaluation folder,evaluation,medium,1,TB018,substring_match,yes
eventmesh,controls,low,1,TB061,cooccurs_without_string_match,
evidence,controls,low,1,TB036,cooccurs_without_string_match,
evidence collection,,none,0,,no_candidate,
evidence field,controls,low,1,TB033,cooccurs_without_string_match,
evidence phrase,,none,0,,no_candidate,
evidence request,,none,0,,no_candidate,
evidence sentence,,none,0,,no_candidate,
evidence source,,none,0,,no_candidate,
exception,,none,0,,no_candidate,
exercise type,,none,0,,no_candidate,
expired certificate,,none,0,,no_candidate,
extractor,,none,0,,no_candidate,
factory inspection notes,,none,0,,no_candidate,
factual evidence,,none,0,,no_candidate,
