segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,entity_exact,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,DEFINE,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]",incident response,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,gives_example,YES,YES,role+entity+status+relation
TB002,BACKGROUND,RESULT,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]",,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,reports_usefulness,YES,YES,role+entity+relation
TB003,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]",,0.000000,NO,ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,entity+relation
TB004,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]",permission boundary,0.000000,NO,ACTIVE,ACTIVE,limits,asserts,YES,YES,role+entity+relation
TB005,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]",,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB006,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]",,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
TB007,DEFINE,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]",,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,role+entity+status+relation
TB008,BACKGROUND,DEFINE,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]",,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,defines,YES,YES,role+entity+relation
TB009,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]",,0.000000,NO,ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,entity+relation
TB010,EXAMPLE,CLAIM,INSTANCE,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]",,0.000000,NO,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,role+entity+status+relation
TB011,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,"[""cargo value"", ""commodity notes"", ""verified shipment record""]",,0.000000,NO,ACTIVE,ACTIVE,limits,recommends,YES,YES,role+entity+relation
TB012,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,"[""exception"", ""dwell time"", ""forty-eight hours"", ""confirmed owner""]",,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
TB013,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""ClinicPulse"", ""backlog monitor"", ""appointment delays"", ""pathway"", ""urgency"", ""clinician dependency"", ""patient-contact status""]",,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,defines,YES,YES,entity+status+relation
TB014,BACKGROUND,CLAIM,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,"[""clinic manager"", ""clinical review"", ""administrative booking"", ""patients""]",,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,gives_example,YES,YES,role+entity+relation
TB015,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,"[""route map"", ""pathway name"", ""current wait age"", ""blocker type"", ""responsible role"", ""backlog note""]",,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB016,METHOD,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""urgent flag"", ""clinical risk wording"", ""days since referral""]",,0.000000,NO,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,role+entity+relation
TB017,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""administrative blockers"", ""booking teams"", ""queue"", ""sample""]",,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB018,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,"[""patient identifiers"", ""model prompt"", ""synthetic IDs"", ""re-identification key"", ""evaluation folder""]",evaluation,0.000000,NO,ACTIVE,NEGATED,limits,limits,YES,YES,entity+status
TB019,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,"[""GridLens"", ""battery storage sites"", ""inverter faults"", ""thermal alerts"", ""state-of-charge anomalies"", ""technician dispatch""]",,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,defines,YES,YES,entity+status+relation
