segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,entity_exact,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB001,DEFINE,EXAMPLE,ASSERTION,INSTANCE,CONTENT,ACTION,SUBSTANTIVE,SUBSTANTIVE,CivicAid Permit Triage; council service requests; human officer; payment status; permit evidence; planning questions,incident response,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,gives_example,YES,YES,role+entity+status+relation
TB002,BACKGROUND,RESULT,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,complaint; missing-document evidence; permit query; residents,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,reports_usefulness,YES,YES,role+entity+relation
TB003,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,deadline sensitivity; new decision; request type; required evidence; status,,0.000000,NO,ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,entity+relation
TB004,LIMITATION,CLAIM,CAVEAT,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,approval; assistant; legal evidence; partial screenshot; planning permission,permission boundary,0.000000,NO,ACTIVE,ACTIVE,limits,asserts,YES,YES,role+entity+relation
TB005,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,archived requests; missing attachments; pilot review; resident intent; routing errors,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB006,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,blind annotation batch; council-style messages; manual triage spreadsheet; route classifier,,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
TB007,DEFINE,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,containers; gate-out confirmation; HarborFlow; logistics exception tracker,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,role+entity+status+relation
TB008,BACKGROUND,DEFINE,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,carrier delay; customs hold; email chains; port team,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,defines,YES,YES,role+entity+relation
TB009,METHOD,METHOD,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,accountable party; cause; exception; financial exposure; last verified timestamp; operations lead,,0.000000,NO,ACTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,entity+relation
TB010,EXAMPLE,CLAIM,INSTANCE,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,cold-chain risk; compliance review; inspection seal; refrigerated container; temperature alarm,,0.000000,NO,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,role+entity+status+relation
