segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
FBV2_0001,Blood Bank Platelet Allocation,A second pass should track platelet expiry window from intake to closure and record when trauma cooler appears. The team can then see whether blood bank platelet allocation case 1-01 predicts a route change.,NEXT_STEP,NEXT_STEP,blood bank platelet allocation case 1-01; platelet expiry window; trauma cooler,allocation case 1-01; allocation case 1-01 predicts; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; case 1-01 predicts; platelet allocation case,0.000000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0002,Blood Bank Platelet Allocation,A sample handoff begins with crossmatch tray in place and donor batch record missing from the packet. blood bank platelet allocation case 1-02 gives the reviewer the reason for keeping the file open.,EXAMPLE,EXAMPLE,blood bank platelet allocation case 1-02; crossmatch tray; donor batch record,allocation case 1-02; allocation case 1-02 gives; bank platelet allocation; bank platelet allocation case; batch record missing; blood bank platelet; blood bank platelet allocation; case 1-02 gives,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0003,Blood Bank Platelet Allocation,"Sort oncology ward request by time, attach night courier sheet, and send blood bank platelet allocation case 1-03 to the lane with the matching staff owner. Leave disputed entries open.",METHOD,METHOD,blood bank platelet allocation case 1-03; night courier sheet; oncology ward request,Leave disputed entries; Leave disputed entries open; matching staff owner Leave; owner Leave disputed; owner Leave disputed entries; Sort oncology ward; Sort oncology ward request; staff owner Leave,0.000000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0004,Blood Bank Platelet Allocation,"On this desk, trauma cooler is the shared reference the team checks before any reassignment. It links blood fridge log with blood bank platelet allocation case 1-04 so the same object is visible to everyone.",DEFINE,DEFINE,blood bank platelet allocation case 1-04; blood fridge log; trauma cooler,allocation case 1-04; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; blood fridge log; desk trauma cooler; links blood fridge,0.100000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0005,Blood Bank Platelet Allocation,donor batch record sits beside compatibility hold at the opening desk while blood bank platelet allocation case 1-05 waits for review. Staff read the packet to understand the day before any routing choice moves.,BACKGROUND,BACKGROUND,blood bank platelet allocation case 1-05; compatibility hold; donor batch record,allocation case 1-05; allocation case 1-05 waits; any routing choice; any routing choice moves; bank platelet allocation; bank platelet allocation case; batch record sits; review Staff read,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact+entity_jaccard_lt_0.5
FBV2_0006,Blood Bank Platelet Allocation,A coordinator should treat night courier sheet with care when platelet expiry window has no matching timestamp. blood bank platelet allocation case 1-06 remains open until the file catches up.,LIMITATION,LIMITATION,blood bank platelet allocation case 1-06; night courier sheet; platelet expiry window,1-06 remains open; 1-06 remains open until; allocation case 1-06; allocation case 1-06 remains; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation,0.000000,LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0007,Blood Bank Platelet Allocation,A desk sample showed blood fridge log reducing search time when crossmatch tray was also attached. blood bank platelet allocation case 1-07 was the field most often opened during review.,RESULT,RESULT,blood bank platelet allocation case 1-07; blood fridge log; crossmatch tray,allocation case 1-07; allocation case 1-07 was; also attached blood; also attached blood bank; attached blood bank; attached blood bank platelet; bank platelet allocation; bank platelet allocation case,0.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0008,Blood Bank Platelet Allocation,The safer choice comes from reading compatibility hold beside oncology ward request. Treating blood bank platelet allocation case 1-08 alone as decisive makes the handoff weaker.,CLAIM,CLAIM,blood bank platelet allocation case 1-08; compatibility hold; oncology ward request,blood bank; compatibility hold; oncology ward request; platelet allocation case 1-08,0.400000,NEGATED,NEGATED,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0009,Blood Bank Platelet Allocation,"One Tuesday file carries platelet expiry window, trauma cooler, and a late note about blood bank platelet allocation case 1-09. The desk uses that mix to show how a small mismatch changes routing.",EXAMPLE,EXAMPLE,blood bank platelet allocation case 1-09; platelet expiry window; trauma cooler,about blood bank; about blood bank platelet; allocation case 1-09; bank platelet allocation; One Tuesday file; One Tuesday file carries; Tuesday file carries; Tuesday file carries platelet,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0010,Blood Bank Platelet Allocation,"First compare crossmatch tray with donor batch record, then place blood bank platelet allocation case 1-10 in the matching queue. If the two records disagree, hold the case for desk review.",METHOD,METHOD,blood bank platelet allocation case 1-10; crossmatch tray; donor batch record,allocation case 1-10; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; compare crossmatch tray; First compare crossmatch; First compare crossmatch tray,0.000000,ACTIVE,ACTIVE,requires,requires,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0011,Blood Bank Platelet Allocation,A sample of closed files showed oncology ward request missing from several late cases. The same sample had night courier sheet and blood bank platelet allocation case 1-11 in the files that moved cleanly.,RESULT,RESULT,blood bank platelet allocation case 1-11; night courier sheet; oncology ward request,allocation case 1-11; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; closed files showed; closed files showed oncology; files showed oncology,0.000000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0012,Blood Bank Platelet Allocation,The desk can misread trauma cooler when blood fridge log arrives late. blood bank platelet allocation case 1-12 stays provisional while the two records are reconciled.,LIMITATION,LIMITATION,blood bank platelet allocation case 1-12; blood fridge log; trauma cooler,1-12 stays provisional; 1-12 stays provisional while; allocation case 1-12; allocation case 1-12 stays; arrives late blood; arrives late blood bank; bank platelet allocation; bank platelet allocation case,0.000000,LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0013,Blood Bank Platelet Allocation,A follow-up table should pair donor batch record with the owner who handled compatibility hold. That table would show whether blood bank platelet allocation case 1-13 belongs earlier in the queue.,NEXT_STEP,NEXT_STEP,blood bank platelet allocation case 1-13; compatibility hold; donor batch record,1-13 belongs earlier; allocation case 1-13; allocation case 1-13 belongs; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; case 1-13 belongs,0.000000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0014,Blood Bank Platelet Allocation,"At shift handover, night courier sheet and platelet expiry window frame the queue that includes blood bank platelet allocation case 1-14. The note gives the coordinator enough scene detail to place later entries.",BACKGROUND,BACKGROUND,blood bank platelet allocation case 1-14; night courier sheet; platelet expiry window,allocation case 1-14; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; coordinator enough scene; coordinator enough scene detail; enough scene detail,0.000000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact+entity_jaccard_lt_0.5
FBV2_0015,Blood Bank Platelet Allocation,A coordinator can trust blood fridge log more when crossmatch tray matches the same timeline. That pairing keeps blood bank platelet allocation case 1-15 from becoming the sole signal.,CLAIM,CLAIM,blood bank platelet allocation case 1-15; blood fridge log; crossmatch tray,allocation case 1-15; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; blood fridge log; blood fridge log more; can trust blood,0.100000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0016,Blood Bank Platelet Allocation,"The phrase compatibility hold points to the record where oncology ward request and blood bank platelet allocation case 1-16 are stored together. Staff use it only for the routing object, not for the entire service.",DEFINE,DEFINE,blood bank platelet allocation case 1-16; compatibility hold; oncology ward request,allocation case 1-16; bank platelet allocation; bank platelet allocation case; blood bank platelet; blood bank platelet allocation; compatibility hold points; oncology ward request; stored together Staff,0.100000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0017,Interlibrary Loan Queue,Reviewers counted more timely handoffs when request slip was checked before copyright page count. The audit trail pointed back to library interlibrary loan case 2-01 on the disputed cases.,RESULT,RESULT,copyright page count; library interlibrary loan case 2-01; request slip,audit trail pointed; audit trail pointed back; copyright page count; counted more timely; counted more timely handoffs; interlibrary loan case; Reviewers counted more; Reviewers counted more timely,0.100000,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,supports_retrieval,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0018,Interlibrary Loan Queue,lending library notice loses value when patron pickup shelf is copied from an older shift. The case tied to library interlibrary loan case 2-02 needs review before it moves.,LIMITATION,LIMITATION,lending library notice; library interlibrary loan case 2-02; patron pickup shelf,2-02 needs review; case 2-02 needs; case 2-02 needs review; interlibrary loan case; interlibrary loan case 2-02; lending library notice; lending library notice loses; library interlibrary loan,0.100000,LIMITED,LIMITED,warns_about,warns_about,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0019,Interlibrary Loan Queue,"One file has scanner station arriving before shipping label, while library interlibrary loan case 2-03 remains unsigned. The coordinator keeps the case open until the two desk records match.",EXAMPLE,EXAMPLE,library interlibrary loan case 2-03; scanner station; shipping label,2-03 remains unsigned; case 2-03 remains; case 2-03 remains unsigned; case open until; desk records match; interlibrary loan case; interlibrary loan case 2-03; label while library,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0020,Interlibrary Loan Queue,A desk sample showed copyright page count reducing search time when journal issue record was also attached. library interlibrary loan case 2-04 was the field most often opened during review.,RESULT,RESULT,copyright page count; journal issue record; library interlibrary loan case 2-04,also attached library; also attached library interlibrary; attached library interlibrary; attached library interlibrary loan; case 2-04 was; copyright page count; copyright page count reducing; count reducing search,0.100000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0021,Interlibrary Loan Queue,"The phrase patron pickup shelf points to the record where renewal hold and library interlibrary loan case 2-05 are stored together. Staff use it only for the routing object, not for the entire service.",DEFINE,DEFINE,library interlibrary loan case 2-05; patron pickup shelf; renewal hold,interlibrary loan case; interlibrary loan case 2-05; library interlibrary loan; library interlibrary loan case; loan case 2-05; patron pickup shelf; patron pickup shelf points; stored together Staff,0.100000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0022,Interlibrary Loan Queue,"Map shipping label to request slip, then send library interlibrary loan case 2-06 to the same queue. The case remains visible until the owner confirms receipt.",METHOD,METHOD,library interlibrary loan case 2-06; request slip; shipping label,case remains visible; case remains visible until; interlibrary loan case; interlibrary loan case 2-06; library interlibrary loan; library interlibrary loan case; loan case 2-06; Map shipping label,0.000000,ACTIVE,ACTIVE,recommends,recommends,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0023,Interlibrary Loan Queue,lending library notice is filed next to journal issue record whenever library interlibrary loan case 2-07 is active. That arrangement shows which parts of the work are already on the board.,BACKGROUND,BACKGROUND,journal issue record; lending library notice; library interlibrary loan case 2-07,interlibrary loan case 2-07; journal issue record; lending library notice,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity_exact
FBV2_0024,Interlibrary Loan Queue,A caller asks about renewal hold while the desk is still waiting for scanner station. The coordinator checks library interlibrary loan case 2-08 before assigning the next owner.,EXAMPLE,EXAMPLE,library interlibrary loan case 2-08; renewal hold; scanner station,about renewal hold; about renewal hold while; asks about renewal; asks about renewal hold; caller asks about; caller asks about renewal; checks library interlibrary; checks library interlibrary loan,0.000000,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0025,Interlibrary Loan Queue,The team can run a two-week check on request slip and record how often copyright page count changes the decision. library interlibrary loan case 2-09 should be logged before and after the desk action.,NEXT_STEP,NEXT_STEP,copyright page count; library interlibrary loan case 2-09; request slip,copyright page count; copyright page count changes; decision library interlibrary; decision library interlibrary loan; how often copyright; how often copyright page; interlibrary loan case; interlibrary loan case 2-09,0.100000,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity_exact+entity_jaccard_lt_0.5
FBV2_0026,Interlibrary Loan Queue,The desk gains a clearer queue when lending library notice and patron pickup shelf travel together. Separating them leaves library interlibrary loan case 2-10 too much room to steer the decision.,CLAIM,CLAIM,lending library notice; library interlibrary loan case 2-10; patron pickup shelf,2-10 too much; Separating them leaves; Separating them leaves library; shelf travel together Separating; together Separating them; together Separating them leaves; travel together Separating; travel together Separating them,0.000000,ACTIVE,ACTIVE,asserts,asserts,YES,YES,entity_exact+entity_jaccard_lt_0.5
