segment_id,title,text,gold_role,pred_rule,pred_nb,pred_hybrid,agreement_pattern,needs_review,likely_ambiguity_type,suggested_review_question,notes,adjudicated_role,adjudication_status,adjudication_reason,rubric_issue,review_priority
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,background_vs_claim,"Is this source context, or a substantive claim?",Policy context,BACKGROUND,ACCEPT_GOLD,Policy overview frames source context rather than a reusable thesis.,BACKGROUND_CLAIM_BOUNDARY,P1
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,CLAIM,EXAMPLE,CLAIM,all_wrong_different,YES,background_vs_claim,"Is this source context, or a substantive claim?",Archive context,BACKGROUND,ACCEPT_GOLD,Release archive describes document contents and rationale.,NONE,P1
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,CLAIM,NEXT_STEP,CLAIM,all_wrong_different,YES,background_vs_claim,"Is this source context, or a substantive claim?",Guidance context,BACKGROUND,ACCEPT_GOLD,Privacy handbook gives context before annotation work.,NONE,P1
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,CLAIM,EXAMPLE,CLAIM,all_wrong_different,YES,background_vs_claim,"Is this source context, or a substantive claim?",Vocabulary context,BACKGROUND,ACCEPT_GOLD,Tool-use security note records vocabulary context.,NONE,P1
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,CLAIM,LIMITATION,CLAIM,all_wrong_different,YES,background_vs_claim,"Is this source context, or a substantive claim?",Primer context,BACKGROUND,ACCEPT_GOLD,Evidence selection primer describes policy context for reviewers.,BACKGROUND_CLAIM_BOUNDARY,P1
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,background_vs_claim,"Is this source context, or a substantive claim?",Catalog context,BACKGROUND,ACCEPT_GOLD,Governance catalog summarizes terminology and approval roles.,NONE,P1
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,LIMITATION,BACKGROUND,LIMITATION,all_wrong_different,YES,background_vs_claim,"Is this source context, or a substantive claim?",Thesis,CLAIM,ACCEPT_GOLD,Sentence asserts a reusable thesis about benchmark design weakness.,BACKGROUND_CLAIM_BOUNDARY,P1
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,LIMITATION,DEFINE,LIMITATION,all_wrong_different,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Thesis,CLAIM,ACCEPT_GOLD,Sentence argues what an audit trail demonstrates without answer support.,LIMITATION_CLAIM_BOUNDARY,P1
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,DEFINE,ACCEPT_GOLD,Denotes gives the identity of model release governance.,CLAIM_DEFINE_BOUNDARY,P1
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,DEFINE,ACCEPT_GOLD,"Names records that reconstruct a decision, so this defines audit trail.",CLAIM_DEFINE_BOUNDARY,P1
