doc_id,title,segment_id,source_doc,source_topic,segment_index,route_question,text,segment_text,role,entities,operative_status,relation,answer_relevance,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevance,annotation_notes,gold_answer_relevant,answer_relevant
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0001,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,1,How should a wildfire operations desk route crew rotation decisions?,"The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.","The source note comes from a local operations desk that tracks strike team board, air tanker slot, and fatigue log during busy shifts. It frames the work area for EmberDispatch before any recommendation is made.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0002,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,2,How should a wildfire operations desk route crew rotation decisions?,"The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.","The coordinator should map the strike team board against the fuel break map before releasing the next task. If the two records disagree, the item stays with fatigue log until the discrepancy is cleared.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0003,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,3,How should a wildfire operations desk route crew rotation decisions?,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,A follow-up sample should hold out cases where fuel break map arrives after the first desk decision. The team can then measure whether air tanker slot changes the route or only confirms it.,,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0004,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,4,How should a wildfire operations desk route crew rotation decisions?,"The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.","The strike team board can lag behind radio updates, so it may overestimate how current the routing picture is. That caveat matters most when fatigue log is already working from a printed copy.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0005,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,5,How should a wildfire operations desk route crew rotation decisions?,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0006,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,6,How should a wildfire operations desk route crew rotation decisions?,"In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.","In this desk, the strike team board means the current shared view of crews, holds, and constraints for EmberDispatch. Staff treat it as the reference object that links fuel break map to engine crew roster.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0007,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,7,How should a wildfire operations desk route crew rotation decisions?,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,A sample of completed handoffs showed that EmberDispatch made the oldest unresolved cases easier to find. Reviewers reported that fuel break map gave the clearest evidence when a route was challenged.,,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0008,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,8,How should a wildfire operations desk route crew rotation decisions?,"For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.","For example, a coordinator might receive a air tanker slot that lists engine crew roster as available while fuel break map says the work cannot start. In that case, EmberDispatch keeps the case open until fatigue log confirms the current state.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0009,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,9,How should a wildfire operations desk route crew rotation decisions?,"The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.","The term air tanker slot refers to the recorded item that tells the coordinator what can move, wait, or be checked again. It is narrower than the whole EmberDispatch file because it only covers the visible queue state.",,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,FBV1_0010,FBV1_DOC_01_wildfire_crew_dispatch,EmberDispatch Wildfire Crew Rotation,10,How should a wildfire operations desk route crew rotation decisions?,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,The next review should compare strike team board entries with actual outcomes from fatigue log. That test would show whether EmberDispatch is routing hard cases earlier or merely documenting them later.,,,,,,,,,,,fresh_blind_v1_human_annotation_template,,
