segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,notes
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,BACKGROUND,CLAIM,AI safety evaluation; policy context; risk management,governance; evaluation,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Policy context
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",BACKGROUND,CLAIM,model release governance; evidence selection; human review; audit trail,human review,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Archive context
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,BACKGROUND,CLAIM,privacy; consent boundary; RouteMap,privacy; RouteMap,DESCRIPTIVE,ACTIVE,sets_context,asserts,MAYBE,YES,Guidance context
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,retrieval trace; route segment; RouteMap,retrieval trace; retrieval; RouteMap segment; documentation,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,Document context
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",BACKGROUND,CLAIM,agent memory; benchmark; risk management; source context,benchmark; agent memory,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Briefing context
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,BACKGROUND,CLAIM,tool-use security; permission boundary; incident response,permission boundary,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Vocabulary context
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",BACKGROUND,CLAIM,benchmark; source context; gold labels; mismatch review,mismatch review; gold labels; benchmark; source context,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Dataset context
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,BACKGROUND,CLAIM,evidence selection; policy context; human review,human review; retrieval; source context; RouteMap segment,DESCRIPTIVE,ACTIVE,sets_context,asserts,MAYBE,YES,Primer context
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",BACKGROUND,CLAIM,model release governance; audit trail; human review,governance; audit,DESCRIPTIVE,ACTIVE,sets_context,asserts,NO,YES,Catalog context
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,BACKGROUND,incident response; source context; human review,monitoring; incident response,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,NO,MAYBE,Playbook context
HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,CLAIM,CLAIM,AI safety evaluation; evaluation; audit trail,evaluation,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",CLAIM,CLAIM,model release governance; evidence selection; risk management,governance,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,METHOD,consent boundary; permission boundary; answer support,privacy; permission boundary,ACTIVE,ACTIVE,asserts,recommends,YES,YES,Thesis
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,retrieval trace; answer support; evidence selection,retrieval trace; answer support; retrieval; RouteMap segment,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,agent memory; route provenance; source context,route provenance; agent memory; evaluation,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,controls; evidence selection; human review,controls; retrieval,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,LIMITATION,benchmark; source context; route segment,benchmark; source context; RouteMap segment,ACTIVE,LIMITED,asserts,warns_about,YES,YES,Thesis
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,human review; evidence selection; retrieval trace,human review; retrieval,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,CLAIM,CLAIM,tool-use security; permission boundary; controls,permission boundary,ACTIVE,ACTIVE,asserts,asserts,YES,YES,Thesis
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,LIMITATION,audit trail; answer support; evaluation,answer support; audit,ACTIVE,LIMITED,asserts,warns_about,YES,YES,Thesis
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",DEFINE,CLAIM,route provenance; source context; evidence selection; answer support,answer support; source context; route provenance,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,CLAIM,retrieval trace; evidence selection; answer support,retrieval trace; retrieval,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,CLAIM,consent boundary; permission boundary; privacy,privacy; permission boundary,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,CLAIM,model release governance; evaluation; risk management,governance; evaluation,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,DEFINE,CLAIM,agent memory; route extraction; source context,agent memory,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,DEFINE,DEFINE,route segment; route extraction; RouteMap,retrieval; RouteMap segment,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,Definition
HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,DEFINE,DEFINE,answer support; evidence selection; retrieval trace,answer support,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,Definition
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,CLAIM,audit trail; human review; model release governance,human review; retrieval; audit,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,CLAIM,controls; tool-use security; permission boundary,controls,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,CLAIM,human review; evidence selection; controls,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Definition
HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",METHOD,CLAIM,answer support; retrieval trace; human review,retrieval trace; retrieval,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,CLAIM,model release governance; evidence selection; human review,release evidence; human review,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,METHOD,METHOD,consent boundary; permission boundary; evidence selection,privacy; permission boundary,ACTIVE,ACTIVE,maps_to,recommends,YES,YES,Procedure
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,CLAIM,agent memory; route provenance; source context,RouteMap segment,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,CLAIM,tool-use security; permission boundary; route segment,permission boundary; RouteMap segment,ACTIVE,ACTIVE,requires,asserts,YES,YES,Procedure
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,CLAIM,incident response; retrieval trace; controls,controls; retrieval,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,Procedure
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",METHOD,METHOD,benchmark; policy context; route segment,benchmark; source context,ACTIVE,ACTIVE,recommends,recommends,YES,YES,Procedure
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,METHOD,CLAIM,human review; evidence selection; answer support,human review; retrieval,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,CLAIM,audit trail; answer support; human review,human review; answer support; audit,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",METHOD,CLAIM,route segment; evidence selection; human review,RouteMap segment,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,RESULT,METHOD,evaluation; route provenance; answer support,route provenance; RouteMap segment; evaluation,DESCRIPTIVE,ACTIVE,supports_retrieval,recommends,YES,YES,Observed outcome
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,CLAIM,model release governance; evidence selection; human review,human review,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Observed outcome
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,METHOD,consent boundary; permission boundary; privacy,privacy; permission boundary,DESCRIPTIVE,ACTIVE,reports_usefulness,recommends,YES,YES,Observed outcome
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,CLAIM,agent memory; source context; route provenance,agent memory,DESCRIPTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,Observed outcome
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,RESULT,tool-use security; permission boundary; human review,secure AI development; permission boundary,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,Observed outcome
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,RESULT,METHOD,benchmark; route segment; evaluation,benchmark,DESCRIPTIVE,ACTIVE,reports_usefulness,recommends,YES,YES,Observed outcome
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,CLAIM,human review; retrieval trace; evidence selection,human review; retrieval trace; retrieval,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Observed outcome
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,RESULT,audit trail; answer support; model release governance,answer support; audit,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,Observed outcome
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,CLAIM,evidence selection; source context; route segment,retrieval; source context; RouteMap segment,DESCRIPTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,Observed outcome
HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,RESULT,CLAIM,mismatch review; policy context; claims,mismatch review,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Observed outcome
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,LIMITATION,NEXT_STEP,benchmark; policy context; evaluation,benchmark,LIMITED,ACTIVE,warns_about,proposes_next_test,YES,YES,Caveat
