segment_id,title,text,gold_entities,pred_entities_current,pred_entities_ontology_v1,current_jaccard,ontology_v1_jaccard,category,current_missing,ontology_missing,current_extra,ontology_extra,zero_overlap_current,zero_overlap_ontology_v1
HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,AI safety evaluation; policy context; risk management,evaluation; governance,AI safety evaluation; evaluation; governance; policy context; risk management,0.000000,0.600000,ontology_v1_wins,AI safety evaluation; policy context; risk management,,evaluation; governance,evaluation; governance,YES,NO
HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",audit trail; evidence selection; human review; model release governance,human review,evidence selection; human review; model release governance,0.250000,0.750000,ontology_v1_wins,audit trail; evidence selection; model release governance,audit trail,,,NO,NO
HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,consent boundary; privacy; RouteMap,privacy; RouteMap,consent boundary; privacy; RouteMap,0.666667,1.000000,ontology_v1_wins,consent boundary,,,,NO,NO
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap segment; documentation,retrieval; retrieval trace; RouteMap; RouteMap segment,0.400000,0.750000,ontology_v1_wins,RouteMap,,retrieval; documentation,retrieval,NO,NO
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",agent memory; benchmark; risk management; source context,agent memory; benchmark,agent memory; benchmark; source context,0.500000,0.750000,ontology_v1_wins,risk management; source context,risk management,,,NO,NO
HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,incident response; permission boundary; tool-use security,permission boundary,incident response; LLM application security; permission boundary; tool-use security,0.333333,0.750000,ontology_v1_wins,incident response; tool-use security,,,LLM application security,NO,NO
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",benchmark; gold labels; mismatch review; source context,benchmark; gold labels; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,1.000000,0.800000,current_extractor_wins,,,,human review,NO,NO
HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,evidence selection; human review; policy context,human review; retrieval; RouteMap segment; source context,evidence selection; human review; policy context; RouteMap; RouteMap segment,0.166667,0.600000,ontology_v1_wins,evidence selection; policy context,,retrieval; RouteMap segment; source context,RouteMap; RouteMap segment,NO,NO
HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",audit trail; human review; model release governance,governance; audit,audit trail; governance; model release governance,0.000000,0.500000,ontology_v1_wins,audit trail; human review; model release governance,human review,governance; audit,governance,YES,NO
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,human review; incident response; source context,incident response; monitoring,incident response,0.250000,0.333333,ontology_v1_wins,human review; source context,human review; source context,monitoring,,NO,NO
HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,AI safety evaluation; audit trail; evaluation,evaluation,AI safety evaluation; audit trail; evaluation,0.333333,1.000000,ontology_v1_wins,AI safety evaluation; audit trail,,,,NO,NO
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",evidence selection; model release governance; risk management,governance,governance; model release governance,0.000000,0.250000,ontology_v1_wins,evidence selection; model release governance; risk management,evidence selection; risk management,governance,governance,YES,NO
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,answer support; consent boundary; permission boundary,permission boundary; privacy,consent boundary; permission boundary,0.250000,0.666667,ontology_v1_wins,answer support; consent boundary,answer support,privacy,,NO,NO
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",answer support; evidence selection; retrieval trace,answer support; retrieval; retrieval trace; RouteMap segment,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,0.400000,0.333333,current_extractor_wins,evidence selection,evidence selection,retrieval; RouteMap segment,retrieval; RouteMap; RouteMap segment,NO,NO
