segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
EXPAND_S0003,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,consent boundary; incident response; risk management,consent boundary; human review; incident response; RouteMap,0.400000,ACTIVE,NEGATED,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0004,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,permission boundary; answer support; risk management,answer support; permission boundary; RouteMap,0.500000,ACTIVE,NEGATED,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0014,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,incident response; risk management,incident response,0.500000,ACTIVE,DESCRIPTIVE,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0028,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,model release governance; route extraction,benchmark; governance; model release governance; route extraction; RouteMap; RouteMap segment,0.333333,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,MAYBE,entity+answer
EXPAND_S0029,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,privacy; human review,human review; privacy,1.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,none
EXPAND_S0039,DEFINE,DEFINE,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,evidence selection; incident response,evidence selection; incident response,1.000000,DESCRIPTIVE,DESCRIPTIVE,defines,defines,YES,YES,none
EXPAND_S0053,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,LLM application security; privacy; evaluation,benchmark; LLM application security; privacy,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
EXPAND_S0054,RESULT,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,AI safety evaluation; retrieval trace; evaluation,AI safety evaluation; evaluation; retrieval; retrieval trace,0.750000,DESCRIPTIVE,ACTIVE,reports_usefulness,limits,YES,YES,role+entity+status+relation
EXPAND_S0064,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,evaluation; route extraction,evaluation; mismatch review; route extraction; RouteMap,0.500000,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
EXPAND_S0078,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,RouteMap segment; gold labels; risk management,gold labels; human review; RouteMap; RouteMap segment,0.400000,ACTIVE,NEGATED,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0079,CLAIM,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,secure AI development; LLM application security; risk management,answer support; LLM application security; RouteMap; secure AI development,0.400000,ACTIVE,DESCRIPTIVE,asserts,limits,YES,YES,role+entity+status+relation
EXPAND_S0089,CLAIM,CLAIM,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,route extraction; privacy; risk management,route extraction; RouteMap,0.250000,ACTIVE,ACTIVE,asserts,asserts,YES,NO,entity+answer
EXPAND_S0103,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,mismatch review; answer support; source context,answer support; benchmark; mismatch review,0.500000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,NO,entity+answer
EXPAND_S0104,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,gold labels; risk management; source context,gold labels; policy context,0.250000,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,MAYBE,entity
EXPAND_S0114,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,route provenance; gold labels; source context,gold labels; human review; route provenance; RouteMap; RouteMap segment,0.333333,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,MAYBE,YES,entity+answer
